Implementation smell,Namespace,Class,File,Method,Description
Long Parameter List,ZeroInstall.Services.Solvers,SelectionCandidateProvider,F:\newReposMay17\0install_0install-win\src\Backend\Services.Interfaces\Solvers\SelectionCandidateProvider.cs,SelectionCandidateProvider,The method has 5 parameters.
Long Statement,ZeroInstall.Services.Fetchers,FetcherBase,F:\newReposMay17\0install_0install-win\src\Backend\Services.Interfaces\Fetchers\FetcherBase.cs,Retrieve,The length of the statement  "	implementation.RetrievalMethods.OrderBy (x => x' RetrievalMethodRanker.Instance).TryAny (retrievalMethod => Retrieve (retrievalMethod' implementation.ManifestDigest)); " is 167.
Long Statement,ZeroInstall.Services.Fetchers,FetcherBase,F:\newReposMay17\0install_0install-win\src\Backend\Services.Interfaces\Fetchers\FetcherBase.cs,RunNative,The length of the statement  "		if (!Handler.Ask (externalRetrievalMethod.ConfirmationQuestion' defaultAnswer: false' alternateMessage: externalRetrievalMethod.ConfirmationQuestion)) " is 150.
Long Statement,ZeroInstall.Services.PackageManagers,ExternalImplementation,F:\newReposMay17\0install_0install-win\src\Backend\Services.Interfaces\PackageManagers\ExternalImplementation.cs,FromID,The length of the statement  "	var implementation = new ExternalImplementation (distribution: parts [1]' package: parts [2]' version: new ImplementationVersion (parts [3])) { " is 143.
Long Statement,ZeroInstall.Services.PackageManagers,ExternalImplementation,F:\newReposMay17\0install_0install-win\src\Backend\Services.Interfaces\PackageManagers\ExternalImplementation.cs,Equals,The length of the statement  "	return base.Equals (other) && Distribution == other.Distribution && Package == other.Package && IsInstalled == other.IsInstalled && QuickTestFile == other.QuickTestFile; " is 169.
Long Statement,ZeroInstall.Services.PackageManagers,ExternalRetrievalMethod,F:\newReposMay17\0install_0install-win\src\Backend\Services.Interfaces\PackageManagers\ExternalRetrievalMethod.cs,Equals,The length of the statement  "	return base.Equals (other) && Distro == other.Distro && PackageID == other.PackageID && Size == other.Size && ConfirmationQuestion == other.ConfirmationQuestion && Equals (Install' other.Install); " is 196.
Long Statement,ZeroInstall.Services.Solvers,SelectionCandidateProvider,F:\newReposMay17\0install_0install-win\src\Backend\Services.Interfaces\Solvers\SelectionCandidateProvider.cs,GetFeeds,The length of the statement  "			throw new IOException (string.Format ("Failed to load feed {1} manually registered for interface {0}. Try '0install remove-feed {0} {1}'."' requirements.InterfaceUri.ToStringRfc ()' reference.Source.ToStringRfc ())' ex); " is 220.
Long Statement,ZeroInstall.Services.Solvers,SelectionCandidateProvider,F:\newReposMay17\0install_0install-win\src\Backend\Services.Interfaces\Solvers\SelectionCandidateProvider.cs,GetNativeFeedPaths,The length of the statement  "	return Locations.GetLoadDataPaths ("0install.net"' true' "native_feeds"' interfaceUri.PrettyEscape ()).Select (x => new FeedUri (x)); " is 133.
Long Statement,ZeroInstall.Services.Solvers,SelectionCandidateProvider,F:\newReposMay17\0install_0install-win\src\Backend\Services.Interfaces\Solvers\SelectionCandidateProvider.cs,GetSitePackagePaths,The length of the statement  "	var sitePackageDirs = Locations.GetLoadDataPaths ("0install.net"' isFile: false' resource: interfaceUri.EscapeComponent ().Prepend ("site-packages")); " is 150.
Long Statement,ZeroInstall.Services.Solvers,SelectionCandidateProvider,F:\newReposMay17\0install_0install-win\src\Backend\Services.Interfaces\Solvers\SelectionCandidateProvider.cs,AddFeedToDict,The length of the statement  "		if (reference.Architecture.IsCompatible (requirements.Architecture) && (reference.Languages.Count == 0 || reference.Languages.ContainsAny (requirements.Languages' ignoreCountry: true))) " is 185.
Long Statement,ZeroInstall.Services.Solvers,SelectionCandidateProvider,F:\newReposMay17\0install_0install-win\src\Backend\Services.Interfaces\Solvers\SelectionCandidateProvider.cs,GetCandidates,The length of the statement  "				yield return new SelectionCandidate (new FeedUri (FeedUri.FromDistributionPrefix + feedUri)' feedPreferences' externalImplementation' requirements); " is 148.
