Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
Application,2,5,0,0,5,82,8,0,0,0,1,0
CruciatusCommand,1,9,0,0,0,131,26,0,0,0.44,5,3
CruciatusFactory,4,5,7,0,1,135,7,0,0,0,9,12
MessageBox,0,1,0,0,1,90,17,0,0,-1,4,0
ConditionType,0,0,0,0,0,6,0,0,0,-1,0,2
Info,3,1,0,0,0,16,1,0,0,0,1,1
ByProperty,2,9,0,0,5,119,18,0,1,0,4,1
ByXPath,1,4,0,0,1,34,4,0,1,0,1,1
DisplayOrientation,0,0,0,0,0,10,0,0,0,-1,0,1
RotationManager,1,4,0,0,2,131,6,0,0,0,1,0
By,0,10,0,0,8,103,10,2,0,-1,2,11
ClickStrategies,0,0,0,0,0,23,0,0,0,-1,0,1
CruciatusElementProperties,1,1,6,0,0,67,1,0,0,0,0,1
ExpandStrategy,0,0,0,0,0,14,0,0,0,-1,0,1
IScreenshoter,0,1,0,0,0,13,1,1,0,-1,0,2
Screenshot,2,5,0,0,4,62,10,0,0,0,0,1
Screenshoter,0,1,0,0,1,26,7,0,1,-1,1,1
SendKeysExt,7,12,0,6,9,131,13,0,1,0.25,0,1
GetTextStrategies,0,0,0,0,0,19,0,0,0,-1,0,1
IKeyboard,0,9,0,0,0,53,9,2,0,-1,0,1
KeyboardSimulatorExt,2,13,0,0,12,156,14,0,1,0.31,0,1
MouseSimulatorExt,1,12,1,0,11,169,22,0,0,0,2,1
MouseButton,0,0,0,0,0,15,0,0,0,-1,0,4
NoSuchElementException,0,4,0,0,3,33,4,0,1,-1,0,1
CruciatusException,0,4,0,0,3,33,4,1,0,-1,0,0
AutomationElementHelper,0,6,0,0,0,68,14,0,0,-1,2,6
AutomationPropertyHelper,0,1,0,0,0,10,1,0,0,-1,0,1
ScreenCoordinatesHelper,1,1,0,0,0,20,2,0,0,0,0,1
Menu,0,4,0,0,4,75,9,0,1,-1,3,1
SaveFileDialog,0,2,4,0,2,67,2,0,1,-1,3,0
OpenFileDialog,0,2,3,0,2,58,2,0,1,-1,3,0
CheckBox,0,4,2,0,4,68,6,0,1,-1,2,1
ComboBox,0,8,2,0,8,191,40,0,1,-1,5,3
CruciatusElement,2,22,5,0,21,350,42,8,0,0.73,8,13
DataGrid,0,5,2,0,5,191,26,0,1,-1,4,1
ListBox,0,3,0,0,3,92,15,0,1,-1,4,1
TabItem,0,2,1,0,2,42,3,0,1,-1,2,0
IScreenshoterExtension,0,2,0,0,2,30,3,0,0,-1,2,0
AutomationElementExtension,1,7,0,0,0,112,27,0,0,0.29,2,0
CruciatusElementExtension,0,9,0,0,9,109,11,0,0,-1,7,0
PropertyItem,2,9,4,0,2,76,9,0,1,0.56,2,1
DesktopTreeXPathNavigator,1,16,10,0,13,143,20,0,0,0.31,2,1
ElementItem,3,12,4,0,1,102,13,1,1,0.33,4,2
RootItem,0,4,3,0,0,39,4,0,2,-1,0,1
XPathItem,0,8,4,0,1,31,8,2,0,-1,0,3
KeyboardSimulatorType,0,0,0,0,0,15,0,0,0,-1,0,2
CruciatusSettings,9,2,12,0,1,154,2,0,0,0,5,1
SaveFileDialogUid,0,1,4,0,1,47,1,0,0,-1,0,1
OpenFileDialogUid,0,1,3,0,1,39,1,0,0,-1,0,1
MessageBoxButtonUid,0,1,5,0,1,55,1,0,0,-1,4,1
OkCancelType,0,1,2,0,1,31,1,0,0,-1,0,1
OkType,0,1,1,0,1,23,1,0,0,-1,0,1
YesNoCancelType,0,1,3,0,1,39,1,0,0,-1,0,1
YesNoType,0,1,2,0,1,31,1,0,0,-1,0,1
