Design smell,Namespace,Class,File,Cause
Unutilized Abstraction,FreePIE.Core.Common.Extensions,CollectionExtensions,D:\research\architectureSmells\repos\AndersMalmgren_FreePIE\FreePIE.Core\Common\Extensions\CollectionExtensions.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,FreePIE.Core.Common.Extensions,TypeExtensions,D:\research\architectureSmells\repos\AndersMalmgren_FreePIE\FreePIE.Core\Common\Extensions\TypeExtensions.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,FreePIE.GUI.Common,StringExtensions,D:\research\architectureSmells\repos\AndersMalmgren_FreePIE\FreePIE.Core\Common\Extensions\StringExtensions.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,FreePIE.Core.Model,Choice,D:\research\architectureSmells\repos\AndersMalmgren_FreePIE\FreePIE.Core\Model\Choice.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Caption' Value
Unnecessary Abstraction,FreePIE.Core.Persistence.Paths,IPortable,D:\research\architectureSmells\repos\AndersMalmgren_FreePIE\FreePIE.Core\Persistence\Paths\IPortable.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: IsPortable
Imperative Abstraction,FreePIE.Core.ScriptEngine.CodeCompletion,InfoTransformHelper,D:\research\architectureSmells\repos\AndersMalmgren_FreePIE\FreePIE.Core\ScriptEngine\CodeCompletion\InfoTransformHelper.cs,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: ConstructExpressionInfoTree
Unnecessary Abstraction,FreePIE.Core.ScriptEngine.Globals.ScriptHelpers,NeedIndexer,D:\research\architectureSmells\repos\AndersMalmgren_FreePIE\FreePIE.Core\ScriptEngine\Globals\ScriptHelpers\IScriptHelper.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
Unnecessary Abstraction,FreePIE.Core.ScriptEngine.Globals.ScriptHelpers,IScriptHelper,D:\research\architectureSmells\repos\AndersMalmgren_FreePIE\FreePIE.Core\ScriptEngine\Globals\ScriptHelpers\IScriptHelper.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
Unutilized Abstraction,FreePIE.Core.ScriptEngine.Python,PythonExtensions,D:\research\architectureSmells\repos\AndersMalmgren_FreePIE\FreePIE.Core\ScriptEngine\Python\PythonScriptEngine.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,FreePIE.Core.ScriptEngine.Python,Extensions,D:\research\architectureSmells\repos\AndersMalmgren_FreePIE\FreePIE.Core\ScriptEngine\Python\PythonScriptEngine.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,FreePIE.Core.ScriptEngine.Python,StringBuilderExtensions,D:\research\architectureSmells\repos\AndersMalmgren_FreePIE\FreePIE.Core\ScriptEngine\Python\PythonScriptParser.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,FreePIE.Core.Services,ServiceBootstrapper,D:\research\architectureSmells\repos\AndersMalmgren_FreePIE\FreePIE.Core\Services\ServiceBootstrapper.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Deficient Encapsulation,FreePIE.Core.Model.Events,TrayNotificationEvent,D:\research\architectureSmells\repos\AndersMalmgren_FreePIE\FreePIE.Core\Model\Events\TrayNotificationEvent.cs,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: EventTime
Broken Hierarchy,FreePIE.Core.Persistence.Paths,PortablePaths,D:\research\architectureSmells\repos\AndersMalmgren_FreePIE\FreePIE.Core\Persistence\Paths\PortablePaths.cs,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): FreePIE.Core.Persistence.Paths.Paths
Broken Hierarchy,FreePIE.Core.Persistence.Paths,UacCompliantPaths,D:\research\architectureSmells\repos\AndersMalmgren_FreePIE\FreePIE.Core\Persistence\Paths\UacCompliantPaths.cs,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): FreePIE.Core.Persistence.Paths.Paths
Broken Hierarchy,FreePIE.Core.ScriptEngine.ThreadTiming.Strategies,ThreadYieldMicroSecondsStrategy,D:\research\architectureSmells\repos\AndersMalmgren_FreePIE\FreePIE.Core\ScriptEngine\ThreadTiming\Strategies\ThreadYieldMicroSecondsStrategy.cs,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): FreePIE.Core.ScriptEngine.ThreadTiming.Strategies.YieldThreadStrategy
