Implementation smell,Namespace,Class,File,Method,Description
Magic Number,MotorDemo,MotorDemo,D:\research\architectureSmells\repos\AndresTraks_BulletSharp\demos\Generic\MotorDemo\MotorDemo.cs,OnInitialize,The following statement contains a magic number: Freelook.Eye = new Vector3(8' 4' 8);
Magic Number,MotorDemo,MotorDemo,D:\research\architectureSmells\repos\AndresTraks_BulletSharp\demos\Generic\MotorDemo\MotorDemo.cs,OnInitialize,The following statement contains a magic number: Freelook.Eye = new Vector3(8' 4' 8);
Magic Number,MotorDemo,MotorDemo,D:\research\architectureSmells\repos\AndresTraks_BulletSharp\demos\Generic\MotorDemo\MotorDemo.cs,OnInitialize,The following statement contains a magic number: Freelook.Eye = new Vector3(8' 4' 8);
Magic Number,MotorDemo,MotorDemo,D:\research\architectureSmells\repos\AndresTraks_BulletSharp\demos\Generic\MotorDemo\MotorDemo.cs,OnInitializePhysics,The following statement contains a magic number: Vector3 worldAabbMin = new Vector3(-10000' -10000' -10000);
Magic Number,MotorDemo,MotorDemo,D:\research\architectureSmells\repos\AndresTraks_BulletSharp\demos\Generic\MotorDemo\MotorDemo.cs,OnInitializePhysics,The following statement contains a magic number: Vector3 worldAabbMin = new Vector3(-10000' -10000' -10000);
Magic Number,MotorDemo,MotorDemo,D:\research\architectureSmells\repos\AndresTraks_BulletSharp\demos\Generic\MotorDemo\MotorDemo.cs,OnInitializePhysics,The following statement contains a magic number: Vector3 worldAabbMin = new Vector3(-10000' -10000' -10000);
Magic Number,MotorDemo,MotorDemo,D:\research\architectureSmells\repos\AndresTraks_BulletSharp\demos\Generic\MotorDemo\MotorDemo.cs,OnInitializePhysics,The following statement contains a magic number: Vector3 worldAabbMax = new Vector3(10000' 10000' 10000);
Magic Number,MotorDemo,MotorDemo,D:\research\architectureSmells\repos\AndresTraks_BulletSharp\demos\Generic\MotorDemo\MotorDemo.cs,OnInitializePhysics,The following statement contains a magic number: Vector3 worldAabbMax = new Vector3(10000' 10000' 10000);
Magic Number,MotorDemo,MotorDemo,D:\research\architectureSmells\repos\AndresTraks_BulletSharp\demos\Generic\MotorDemo\MotorDemo.cs,OnInitializePhysics,The following statement contains a magic number: Vector3 worldAabbMax = new Vector3(10000' 10000' 10000);
Magic Number,MotorDemo,MotorDemo,D:\research\architectureSmells\repos\AndresTraks_BulletSharp\demos\Generic\MotorDemo\MotorDemo.cs,OnInitializePhysics,The following statement contains a magic number: World.Gravity = new Vector3(0' -10' 0);
