Method,LOC,CC,PC
Coords3:GetCoords,9,1,0
Coords4:GetCoordsAsString,11,1,0
GenericReader:GenericReader,2,1,1
GenericReader:GenericReader,2,1,2
GenericReader:GenericReader,2,1,1
GenericReader:GenericReader,2,1,2
GenericReader:ReadPackedGuid,13,3,0
GenericReader:ReadStringNumber,9,2,0
GenericReader:ReadStringNull,11,3,0
GenericReader:ReadCoords3,7,1,0
GenericReader:ReadCoords4,8,1,0
GenericReader:ReadStruct,7,1,0
Program:Main,6,2,1
Extractor:Extractor,4,1,1
Extractor:Extractor,4,1,0
Extractor:Init,34,6,0
Extractor:DumpToFile,19,3,0
Extractor:WriteFormat,17,4,6
Extractor:zsp,16,5,3
