Namespace,Type,Method,LOC,CC,PC
DataTableStorageSample.Model,CustomerEntity,CustomerEntity,1,1,0
DataTableStorageSample.Model,CustomerEntity,CustomerEntity,4,1,2
DataTableStorageSample,Program,Main,15,1,1
DataTableStorageSample,Program,CreateTableAsync,27,2,0
DataTableStorageSample,Program,BasicTableOperationsAsync,18,1,1
DataTableStorageSample,Program,AdvancedTableOperationsAsync,11,1,1
DataTableStorageSample,Program,CreateStorageAccountFromConnectionString,19,1,1
DataTableStorageSample,Program,InsertOrMergeEntityAsync,12,2,2
DataTableStorageSample,Program,RetrieveEntityUsingPointQueryAsync,10,2,3
DataTableStorageSample,Program,DeleteEntityAsync,8,2,2
DataTableStorageSample,Program,BatchInsertOfCustomerEntitiesAsync,20,3,1
DataTableStorageSample,Program,PartitionRangeQueryAsync,24,1,4
DataTableStorageSample,Program,PartitionScanAsync,16,1,2
DataTableStorageSample,Program,DeleteTableAsync,3,1,1
