Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
Microsoft.Azure.Commands.ApplicationInsights,ApplicationInsightsBaseCmdlet,15,13,2,0,0,209,26,12,0,1,13,13,Microsoft.Azure.Commands.ApplicationInsights.DocumentTypes' Microsoft.Azure.Commands.ApplicationInsights.RecordTypes' Microsoft.Azure.Commands.ApplicationInsights.ApplicationInsightsManagementClientWrapper' Microsoft.Azure.Commands.ApplicationInsights.Models.PSApiKey' Microsoft.Azure.Commands.ApplicationInsights.Models.PSApiKeyTableView' Microsoft.Azure.Commands.ApplicationInsights.Models.PSApplicationInsightsComponent' Microsoft.Azure.Commands.ApplicationInsights.Models.PSApplicationInsightsComponentTableView' Microsoft.Azure.Commands.ApplicationInsights.Models.PSApplicationInsightsComponentWithPricingPlan' Microsoft.Azure.Commands.ApplicationInsights.Models.PSDailyCap' Microsoft.Azure.Commands.ApplicationInsights.Models.PSDailyCapStatus' Microsoft.Azure.Commands.ApplicationInsights.Models.PSExportConfiguration' Microsoft.Azure.Commands.ApplicationInsights.Models.PSExportConfigurationTableView' Microsoft.Azure.Commands.ApplicationInsights.Models.PSPricingPlan,Microsoft.Azure.Commands.ApplicationInsights.RemoveApplicationInsightsComponentContinuousExport' Microsoft.Azure.Commands.ApplicationInsights.RemoveApplicationInsightsComponent' Microsoft.Azure.Commands.ApplicationInsights.RemoveApplicationComponentInsightsApiKey' Microsoft.Azure.Commands.ApplicationInsights.NewAzureApplicationInsightsApiKeyCommand' Microsoft.Azure.Commands.ApplicationInsights.NewAzureApplicationInsights' Microsoft.Azure.Commands.ApplicationInsights.GetApplicationInsightsContinuousExportCommand' Microsoft.Azure.Commands.ApplicationInsights.GetApplicationInsightsCommand' Microsoft.Azure.Commands.ApplicationInsights.GetApplicationInsightsApiKeyCommand' Microsoft.Azure.Commands.ApplicationInsights.SetApplicationInsightsDailyCapCommand' Microsoft.Azure.Commands.ApplicationInsights.SetApplicationInsightsPricingPlanCommand' Microsoft.Azure.Commands.ApplicationInsights.Models.PSExportConfiguration' Microsoft.Azure.Commands.ApplicationInsights.NewAzureApplicationInsightsContinuousExportCommand' Microsoft.Azure.Commands.ApplicationInsights.SetApplicationInsightsContinuousExportCommand
Microsoft.Azure.Commands.ApplicationInsights,ApplicationType,4,0,0,4,0,7,0,0,0,-1,0,1,,Microsoft.Azure.Commands.ApplicationInsights.NewAzureApplicationInsights
Microsoft.Azure.Commands.ApplicationInsights,DocumentTypes,10,0,0,10,0,13,0,0,0,-1,0,3,,Microsoft.Azure.Commands.ApplicationInsights.NewAzureApplicationInsightsContinuousExportCommand' Microsoft.Azure.Commands.ApplicationInsights.SetApplicationInsightsContinuousExportCommand' Microsoft.Azure.Commands.ApplicationInsights.ApplicationInsightsBaseCmdlet
Microsoft.Azure.Commands.ApplicationInsights,RecordTypes,10,0,0,10,0,13,0,0,0,-1,0,1,,Microsoft.Azure.Commands.ApplicationInsights.ApplicationInsightsBaseCmdlet
Microsoft.Azure.Commands.ApplicationInsights,PermissionType,3,0,0,3,0,6,0,0,0,-1,0,1,,Microsoft.Azure.Commands.ApplicationInsights.NewAzureApplicationInsightsApiKeyCommand
Microsoft.Azure.Commands.ApplicationInsights,PricingPlans,3,0,0,3,0,6,0,0,0,-1,0,1,,Microsoft.Azure.Commands.ApplicationInsights.SetApplicationInsightsPricingPlanCommand
Microsoft.Azure.Commands.ApplicationInsights,ApplicationInsightsManagementClientWrapper,0,2,3,0,2,19,2,0,0,-1,0,1,,Microsoft.Azure.Commands.ApplicationInsights.ApplicationInsightsBaseCmdlet
Microsoft.Azure.Commands.ApplicationInsights,GetApplicationInsightsCommand,0,1,4,0,1,95,5,0,1,-1,3,0,Microsoft.Azure.Commands.ApplicationInsights.ApplicationInsightsBaseCmdlet' Microsoft.Azure.Commands.ApplicationInsights.Utilities' Microsoft.Azure.Commands.ApplicationInsights.Models.PSApplicationInsightsComponent,
Microsoft.Azure.Commands.ApplicationInsights,GetApplicationInsightsApiKeyCommand,0,1,5,0,1,80,4,0,1,-1,3,0,Microsoft.Azure.Commands.ApplicationInsights.ApplicationInsightsBaseCmdlet' Microsoft.Azure.Commands.ApplicationInsights.Models.PSApiKey' Microsoft.Azure.Commands.ApplicationInsights.Models.PSApplicationInsightsComponent,
Microsoft.Azure.Commands.ApplicationInsights,GetApplicationInsightsContinuousExportCommand,0,1,5,0,1,80,4,0,1,-1,3,0,Microsoft.Azure.Commands.ApplicationInsights.ApplicationInsightsBaseCmdlet' Microsoft.Azure.Commands.ApplicationInsights.Models.PSApplicationInsightsComponent' Microsoft.Azure.Commands.ApplicationInsights.Models.PSExportConfiguration,
