Project,Namespace,Ca types,Ce types
Commands.Utilities,Microsoft.Azure.Commands.Common.Storage.Adapters,Microsoft.Azure.Commands.Management.Storage.Models.RDFEStorageProvider,Microsoft.Azure.Commands.Common.Authentication.Abstractions.IAzureEnvironment
Commands.Utilities,Microsoft.Azure.Commands.Management.Storage.Models,,Microsoft.Azure.Commands.Common.Authentication.Abstractions.IAzureEnvironment' Microsoft.Azure.Commands.Common.Storage.Adapters.CloudStorageService
Commands.Utilities,Microsoft.WindowsAzure.Commands.Storage.Adapters,,Microsoft.WindowsAzure.Commands.Common.Storage.IStorageService' Microsoft.Azure.Commands.Common.Authentication.Abstractions.IAzureContext' Microsoft.WindowsAzure.Commands.Common.Storage.IStorageServiceProvider' Microsoft.Azure.Commands.Common.Authentication.Abstractions.IStorageContext' Microsoft.WindowsAzure.Commands.Common.Storage.AzureStorageContext' Microsoft.WindowsAzure.Commands.Utilities.Common.TestMockSupport
Commands.Utilities,Microsoft.WindowsAzure.Commands.Common.Storage,Microsoft.WindowsAzure.Commands.Storage.Adapters.AzureContextAdapterExtensions' Microsoft.WindowsAzure.Commands.Utilities.CloudService.CloudServiceClient' Microsoft.WindowsAzure.Commands.Utilities.Websites.WebsitesClient,Microsoft.WindowsAzure.Commands.Utilities.Common.TestMockSupport' Microsoft.WindowsAzure.Commands.Utilities.Common.GeneralUtilities
Commands.Utilities,Microsoft.WindowsAzure.Commands.Utilities.CloudService,Microsoft.WindowsAzure.Commands.CloudService.Development.Scaffolding.AddAzureWebRoleCommand' Microsoft.WindowsAzure.Commands.CloudService.Development.Scaffolding.AddAzureWorkerRoleCommand' Microsoft.WindowsAzure.Commands.Utilities.Websites.WebsitesClient' Microsoft.WindowsAzure.Commands.CloudService.PublishAzureServiceProjectCommand' Microsoft.WindowsAzure.Commands.CloudService.RemoveAzureServiceCommand' Microsoft.WindowsAzure.Commands.CloudService.StartAzureServiceCommand' Microsoft.WindowsAzure.Commands.CloudService.StopAzureServiceCommand' Microsoft.WindowsAzure.Commands.CloudService.TestAzureNameCommand' Microsoft.WindowsAzure.Commands.CloudService.Development.SetAzureServiceProjectCommand' Microsoft.WindowsAzure.Commands.CloudService.Development.GetAzureServiceProjectRoleRuntimeCommand' Microsoft.WindowsAzure.Commands.CloudService.Development.StartAzureEmulatorCommand' Microsoft.WindowsAzure.Commands.CloudService.Development.Scaffolding.NewAzureServiceProjectCommand' Microsoft.WindowsAzure.Commands.Utilities.CloudService.AzureTools.CsPack' Microsoft.WindowsAzure.Commands.Utilities.Common.CommonUtilities' Microsoft.WindowsAzure.Commands.CloudService.Development.DisableAzureServiceProjectRemoteDesktopCommand' Microsoft.WindowsAzure.Commands.CloudService.Development.EnableAzureServiceProjectRemoteDesktopCommand' Microsoft.WindowsAzure.Commands.CloudService.Development.SaveAzureServiceProjectPackageCommand' Microsoft.WindowsAzure.Commands.CloudService.Development.SetAzureServiceProjectRoleCommand' Microsoft.WindowsAzure.Commands.CloudService.Development.StopAzureEmulatorCommand' Microsoft.WindowsAzure.Commands.Utilities.CloudService.AzureTools.CsRun' Microsoft.WindowsAzure.Commands.Utilities.CloudService.Scaffolding.NodeRules' Microsoft.WindowsAzure.Commands.Utilities.CloudService.Scaffolding.PHPRules,Microsoft.WindowsAzure.Commands.Utilities.Common.CommonUtilities' Microsoft.WindowsAzure.Commands.Utilities.Properties.Resources' Microsoft.WindowsAzure.Commands.Utilities.Common.XmlSchema.ServiceConfigurationSchema.RoleSettings' Microsoft.WindowsAzure.Commands.Utilities.Common.XmlSchema.ServiceConfigurationSchema.ConfigurationSetting' Microsoft.WindowsAzure.Commands.Utilities.Common.GeneralUtilities' Microsoft.WindowsAzure.Commands.Utilities.Common.XmlSchema.ServiceConfigurationSchema.ServiceConfiguration' Microsoft.WindowsAzure.Commands.Utilities.Common.XmlSchema.ServiceConfigurationSchema.Certificate' Microsoft.WindowsAzure.Commands.Utilities.CloudService.Model.Deployment' Microsoft.WindowsAzure.Commands.Utilities.CloudService.Model.RoleInstance' Microsoft.WindowsAzure.Commands.Utilities.CloudService.Model.DeploymentStatus' Microsoft.WindowsAzure.Commands.Utilities.Common.CloudBlobUtility' Microsoft.Azure.Commands.Common.Authentication.Abstractions.IAzureSubscription' Microsoft.Azure.Commands.Common.Authentication.IClientFactory' Microsoft.Azure.Commands.Common.Authentication.Abstractions.IAzureSession' Microsoft.Azure.Commands.Common.Authentication.AzureSession' Microsoft.Azure.Commands.Common.Authentication.Abstractions.Endpoint' Microsoft.Azure.Commands.Common.Authentication.Abstractions.AzureEnvironment' Microsoft.WindowsAzure.Commands.Utilities.Common.AzureSMProfile' Microsoft.Azure.Commands.Common.Authentication.Abstractions.AzureSubscription' Microsoft.WindowsAzure.Commands.Utilities.CloudService.AzureTools.AzureTool' Microsoft.WindowsAzure.Commands.Common.DevEnv' Microsoft.WindowsAzure.Commands.Utilities.Common.ProcessHelper' Microsoft.WindowsAzure.Commands.Common.Storage.StorageUtilities' Microsoft.WindowsAzure.Commands.Utilities.Common.XmlSchema.ServiceDefinitionSchema.Startup' Microsoft.WindowsAzure.Commands.Utilities.Common.XmlSchema.ServiceDefinitionSchema.Task' Microsoft.WindowsAzure.Commands.Common.RuntimeType' Microsoft.WindowsAzure.Commands.Utilities.Common.XmlSchema.ServiceDefinitionSchema.WebRole' Microsoft.WindowsAzure.Commands.Utilities.Common.XmlSchema.ServiceDefinitionSchema.WorkerRole' Microsoft.WindowsAzure.Commands.Utilities.Common.XmlSchema.ServiceDefinitionSchema.Variable' Microsoft.WindowsAzure.Commands.Common.Properties.Resources' Microsoft.WindowsAzure.Commands.Common.Validate' Microsoft.Azure.Commands.Common.Authentication.Abstractions.FileUtilities' Microsoft.WindowsAzure.Commands.Utilities.Common.XmlSchema.ServiceDefinitionSchema.ServiceDefinition' Microsoft.WindowsAzure.Commands.Utilities.CloudService.Scaffolding.ScaffoldParams' Microsoft.WindowsAzure.Commands.Utilities.CloudService.Scaffolding.Scaffold' Microsoft.WindowsAzure.Commands.Utilities.CloudService.AzureTools.CsPack' Microsoft.WindowsAzure.Commands.Utilities.CloudService.AzureTools.CsRun' Microsoft.WindowsAzure.Commands.Utilities.CloudService.AzureTools.StorageEmulator' Microsoft.Azure.Commands.Common.Authentication.IDataStore' Microsoft.Azure.ServiceManagemenet.Common.ProfileClient' Microsoft.WindowsAzure.Commands.Utilities.Common.XmlSchema.ServiceConfigurationSchema.TargetSetting' Microsoft.WindowsAzure.Commands.Common.XmlUtilities' Microsoft.WindowsAzure.Commands.Utilities.Common.XmlSchema.ServiceDefinitionSchema.Endpoints' Microsoft.WindowsAzure.Commands.Utilities.Common.XmlSchema.ServiceDefinitionSchema.InputEndpoint' Microsoft.WindowsAzure.Commands.Utilities.Common.XmlSchema.ServiceDefinitionSchema.ExecutionContext' Microsoft.WindowsAzure.Commands.ServiceManagement.Model.DeploymentSlotType
Commands.Utilities,Microsoft.WindowsAzure.Commands.Utilities.CloudService.Model,Microsoft.WindowsAzure.Commands.CloudService.PublishAzureServiceProjectCommand' Microsoft.WindowsAzure.Commands.Utilities.CloudService.CloudServiceClient,
Commands.Utilities,Microsoft.WindowsAzure.Commands.Utilities.Common.AzureTools,Microsoft.WindowsAzure.Commands.Utilities.CloudService.AzureTools.AzureTool,
Commands.Utilities,Microsoft.WindowsAzure.Commands.Utilities.CloudService.AzureTools,Microsoft.WindowsAzure.Commands.CloudService.Development.DisableAzureServiceProjectRemoteDesktopCommand' Microsoft.WindowsAzure.Commands.CloudService.Development.EnableAzureServiceProjectRemoteDesktopCommand' Microsoft.WindowsAzure.Commands.CloudService.Development.SaveAzureServiceProjectPackageCommand' Microsoft.WindowsAzure.Commands.CloudService.Development.StartAzureEmulatorCommand' Microsoft.WindowsAzure.Commands.CloudService.Development.StopAzureEmulatorCommand' Microsoft.WindowsAzure.Commands.Utilities.CloudService.CloudServiceClient' Microsoft.WindowsAzure.Commands.Utilities.CloudService.CloudServiceProject,Microsoft.WindowsAzure.Commands.Utilities.Properties.Resources' Microsoft.WindowsAzure.Commands.Utilities.Common.AzureTools.AzureSdkVersionInfo' Microsoft.WindowsAzure.Commands.Utilities.Common.ProcessHelper' Microsoft.WindowsAzure.Commands.Utilities.CloudService.CloudProjectPathInfo' Microsoft.WindowsAzure.Commands.Utilities.Common.XmlSchema.ServiceDefinitionSchema.ServiceDefinition' Microsoft.WindowsAzure.Commands.Utilities.Common.XmlSchema.ServiceDefinitionSchema.WebRole' Microsoft.WindowsAzure.Commands.Utilities.Common.XmlSchema.ServiceDefinitionSchema.WorkerRole' Microsoft.WindowsAzure.Commands.Utilities.Common.XmlSchema.ServiceDefinitionSchema.Sites' Microsoft.WindowsAzure.Commands.Utilities.Common.XmlSchema.ServiceDefinitionSchema.Site' Microsoft.WindowsAzure.Commands.Common.DevEnv' Microsoft.Azure.Commands.Common.Authentication.Abstractions.FileUtilities' Microsoft.WindowsAzure.Commands.Utilities.CloudService.ComputeEmulatorMode' Microsoft.WindowsAzure.Commands.Common.Properties.Resources
Commands.Utilities,Microsoft.WindowsAzure.Commands.Utilities.Common,Microsoft.WindowsAzure.Commands.Utilities.CloudService.CloudServiceClient' Microsoft.WindowsAzure.Commands.ServiceManagement.Extensions.BaseAzureServiceExtensionCmdlet' Microsoft.WindowsAzure.Commands.CloudService.Development.DisableAzureServiceProjectRemoteDesktopCommand' Microsoft.WindowsAzure.Commands.CloudService.Development.EnableAzureServiceProjectRemoteDesktopCommand' Microsoft.WindowsAzure.Commands.CloudService.Development.SaveAzureServiceProjectPackageCommand' Microsoft.WindowsAzure.Commands.CloudService.Development.SetAzureServiceProjectRoleCommand' Microsoft.WindowsAzure.Commands.CloudService.Development.StartAzureEmulatorCommand' Microsoft.WindowsAzure.Commands.Utilities.CloudService.AddRole' Microsoft.WindowsAzure.Commands.Utilities.CloudService.SetSettings' Microsoft.WindowsAzure.Commands.ServiceManagement.IaaS.Network.AddAzureVirtualIP' Microsoft.WindowsAzure.Commands.ServiceManagement.IaaS.RemoveAzureVirtualIP' Microsoft.WindowsAzure.Commands.ServiceManagement.IaaS.SetAzureReservedIPAssociationCmdlet' Microsoft.WindowsAzure.Commands.ServiceManagement.IaaS.NewAzureReservedIPCmdlet' Microsoft.WindowsAzure.Commands.ServiceManagement.IaaS.RemoveAzureReservedIPCmdlet' Microsoft.WindowsAzure.Commands.Websites.SetAzureWebsiteCommand' Microsoft.WindowsAzure.Commands.ServiceManagement.Extensions.ExtensionManager' Microsoft.WindowsAzure.Commands.ServiceManagement.IaaS.IaaSDeploymentManagementCmdletBase' Microsoft.WindowsAzure.Commands.ServiceManagement.IaaS.NewAzureVMConfigCommand' Microsoft.WindowsAzure.Commands.ServiceManagement.Model.VhdDownloaderModel' Microsoft.WindowsAzure.Commands.ServiceManagement.HostedServices.NewAzureDeploymentCommand' Microsoft.WindowsAzure.Commands.ServiceManagement.HostedServices.SetAzureDeploymentCommand,Microsoft.Azure.Commands.Common.Authentication.IClientFactory' Microsoft.Azure.Commands.Common.Authentication.Abstractions.IAzureSession' Microsoft.Azure.Commands.Common.Authentication.AzureSession' Microsoft.Azure.Commands.Common.Authentication.Abstractions.Endpoint' Microsoft.Azure.Commands.Common.Authentication.Abstractions.AzureEnvironment' Microsoft.Azure.Commands.Common.Authentication.Abstractions.IAzureContext' Microsoft.Azure.Commands.Common.Authentication.IDataStore' Microsoft.Azure.Commands.Common.Authentication.Abstractions.FileUtilities' Microsoft.WindowsAzure.Commands.Utilities.Properties.Resources' Microsoft.WindowsAzure.Commands.Utilities.CloudService.ServiceSettings' Microsoft.WindowsAzure.Commands.Utilities.CloudService.CloudProjectPathInfo' Microsoft.WindowsAzure.Commands.Utilities.CloudService.CloudServiceProject' Microsoft.WindowsAzure.Commands.Utilities.CloudService.ServiceComponents' Microsoft.WindowsAzure.Commands.Utilities.Common.XmlSchema.ServiceConfigurationSchema.ServiceConfiguration' Microsoft.WindowsAzure.Commands.Utilities.Common.XmlSchema.ServiceConfigurationSchema.RoleSettings
Commands.Utilities,Microsoft.WindowsAzure.Commands.Utilities.CloudService.Scaffolding,Microsoft.WindowsAzure.Commands.Utilities.CloudService.CloudServiceProject,Microsoft.WindowsAzure.Commands.Utilities.CloudService.RoleInfo' Microsoft.WindowsAzure.Commands.Utilities.CloudService.ServiceComponents' Microsoft.WindowsAzure.Commands.Utilities.CloudService.PowerShellProjectPathInfo' Microsoft.WindowsAzure.Commands.Utilities.Common.XmlSchema.ServiceConfigurationSchema.RoleSettings' Microsoft.WindowsAzure.Commands.Utilities.Common.XmlSchema.ServiceConfigurationSchema.ServiceConfiguration' Microsoft.WindowsAzure.Commands.Common.XmlUtilities' Microsoft.WindowsAzure.Commands.Common.DevEnv' Microsoft.WindowsAzure.Commands.Utilities.Common.XmlSchema.ServiceDefinitionSchema.WebRole' Microsoft.WindowsAzure.Commands.Utilities.Common.XmlSchema.ServiceDefinitionSchema.ServiceDefinition' Microsoft.WindowsAzure.Commands.Utilities.Common.XmlSchema.ServiceDefinitionSchema.WorkerRole' Microsoft.Azure.Commands.Common.Authentication.IDataStore' Microsoft.Azure.Commands.Common.Authentication.Abstractions.FileUtilities' Microsoft.WindowsAzure.Commands.Common.Properties.Resources
