Implementation smell,Namespace,Class,File,Method,Description
Long Method,Microsoft.Azure.HDInsight.Job,JobOperations,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Customizations\JobOperations.Customizations.cs,GetWithHttpMessagesAsync,The method has 157 lines of code.
Long Method,Microsoft.Azure.HDInsight.Job,JobOperations,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Customizations\JobOperations.Customizations.cs,KillWithHttpMessagesAsync,The method has 158 lines of code.
Long Method,Microsoft.Azure.HDInsight.Job,JobOperations,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Customizations\JobOperations.Customizations.cs,ListWithHttpMessagesAsync,The method has 157 lines of code.
Long Method,Microsoft.Azure.HDInsight.Job,JobOperations,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Customizations\JobOperations.Customizations.cs,ListAfterJobIdWithHttpMessagesAsync,The method has 171 lines of code.
Long Method,Microsoft.Azure.HDInsight.Job,JobOperations,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Customizations\JobOperations.Customizations.cs,SubmitHiveJobWithHttpMessagesAsync,The method has 159 lines of code.
Long Method,Microsoft.Azure.HDInsight.Job,JobOperations,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Customizations\JobOperations.Customizations.cs,SubmitMapReduceJobWithHttpMessagesAsync,The method has 159 lines of code.
Long Method,Microsoft.Azure.HDInsight.Job,JobOperations,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Customizations\JobOperations.Customizations.cs,SubmitMapReduceStreamingJobWithHttpMessagesAsync,The method has 159 lines of code.
Long Method,Microsoft.Azure.HDInsight.Job,JobOperations,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Customizations\JobOperations.Customizations.cs,SubmitPigJobWithHttpMessagesAsync,The method has 159 lines of code.
Long Method,Microsoft.Azure.HDInsight.Job,JobOperations,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Customizations\JobOperations.Customizations.cs,SubmitSqoopJobWithHttpMessagesAsync,The method has 159 lines of code.
Long Method,Microsoft.Azure.HDInsight.Job,JobOperations,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Customizations\JobOperations.Customizations.cs,GetAppStateWithHttpMessagesAsync,The method has 143 lines of code.
Complex Method,Microsoft.Azure.HDInsight.Job,JobOperations,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Customizations\JobOperations.Customizations.cs,GetWithHttpMessagesAsync,Cyclomatic complexity of the method is 24
Complex Method,Microsoft.Azure.HDInsight.Job,JobOperations,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Customizations\JobOperations.Customizations.cs,KillWithHttpMessagesAsync,Cyclomatic complexity of the method is 25
Complex Method,Microsoft.Azure.HDInsight.Job,JobOperations,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Customizations\JobOperations.Customizations.cs,ListWithHttpMessagesAsync,Cyclomatic complexity of the method is 24
Complex Method,Microsoft.Azure.HDInsight.Job,JobOperations,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Customizations\JobOperations.Customizations.cs,ListAfterJobIdWithHttpMessagesAsync,Cyclomatic complexity of the method is 27
Complex Method,Microsoft.Azure.HDInsight.Job,JobOperations,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Customizations\JobOperations.Customizations.cs,SubmitHiveJobWithHttpMessagesAsync,Cyclomatic complexity of the method is 25
Complex Method,Microsoft.Azure.HDInsight.Job,JobOperations,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Customizations\JobOperations.Customizations.cs,SubmitMapReduceJobWithHttpMessagesAsync,Cyclomatic complexity of the method is 25
Complex Method,Microsoft.Azure.HDInsight.Job,JobOperations,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Customizations\JobOperations.Customizations.cs,SubmitMapReduceStreamingJobWithHttpMessagesAsync,Cyclomatic complexity of the method is 25
Complex Method,Microsoft.Azure.HDInsight.Job,JobOperations,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Customizations\JobOperations.Customizations.cs,SubmitPigJobWithHttpMessagesAsync,Cyclomatic complexity of the method is 25
Complex Method,Microsoft.Azure.HDInsight.Job,JobOperations,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Customizations\JobOperations.Customizations.cs,SubmitSqoopJobWithHttpMessagesAsync,Cyclomatic complexity of the method is 25
Complex Method,Microsoft.Azure.HDInsight.Job,JobOperations,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Customizations\JobOperations.Customizations.cs,GetAppStateWithHttpMessagesAsync,Cyclomatic complexity of the method is 21
Complex Method,Microsoft.Azure.HDInsight.Job.Models,MapReduceStreamingJobSubmissionParameters,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Customizations\Models\MapReduceStreamingJobSubmissionParameters.cs,GetJobPostRequestContent,Cyclomatic complexity of the method is 10
