Project,Namespace,Ca types,Ce types
RiotSharp,RiotSharp.Caching,RiotSharp.Endpoints.StaticDataEndpoint.StaticDataEndpoints' RiotSharp.Endpoints.StaticDataEndpoint.Realm.StaticRealmEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.SummonerSpell.StaticSummonerSpellEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.Champion.StaticChampionEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.Map.StaticMapEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.Item.StaticItemEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.StaticEndpointProvider' RiotSharp.Endpoints.StaticDataEndpoint.Version.StaticVersionEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.Rune.StaticRuneEndpoint' RiotSharp.Endpoints.SummonerEndpoint.SummonerEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.ProfileIcons.StaticProfileIconEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.ReforgedRune.StaticReforgedRuneEndpoint' RiotSharp.Endpoints.MatchEndpoint.MatchEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.Mastery.StaticMasteryEndpoint' RiotSharp.RiotApi' RiotSharp.Endpoints.StaticDataEndpoint.LanguageStrings.StaticLanguageEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.StaticEndpointBase,
RiotSharp,RiotSharp.Endpoints.ChampionEndpoint,RiotSharp.RiotApi' RiotSharp.Endpoints.Interfaces.IChampionEndpoint,RiotSharp.Endpoints.Interfaces.IChampionEndpoint' RiotSharp.Http.Interfaces.IRateLimitedRequester' RiotSharp.Misc.Region
RiotSharp,RiotSharp.Endpoints.ChampionMasteryEndpoint,RiotSharp.Endpoints.Interfaces.IChampionMasteryEndpoint' RiotSharp.RiotApi,RiotSharp.Misc.Converters.DateTimeConverterFromLong' RiotSharp.Endpoints.Interfaces.IChampionMasteryEndpoint' RiotSharp.Http.Interfaces.IRateLimitedRequester' RiotSharp.Misc.Region
RiotSharp,RiotSharp.Endpoints.Interfaces,RiotSharp.RiotApi' RiotSharp.Endpoints.ChampionEndpoint.ChampionEndpoint' RiotSharp.Interfaces.IRiotApi' RiotSharp.Endpoints.ChampionMasteryEndpoint.ChampionMasteryEndpoint' RiotSharp.Endpoints.LeagueEndpoint.LeagueEndpoint' RiotSharp.Endpoints.MatchEndpoint.MatchEndpoint' RiotSharp.Endpoints.SpectatorEndpoint.SpectatorEndpoint' RiotSharp.Endpoints.StatusEndpoint.StatusEndpoint' RiotSharp.Endpoints.SummonerEndpoint.SummonerEndpoint' RiotSharp.Endpoints.ThirdPartyEndpoint.ThirdPartyEndpoint,RiotSharp.Endpoints.ChampionEndpoint.ChampionRotation' RiotSharp.Misc.Region' RiotSharp.Endpoints.ChampionMasteryEndpoint.ChampionMastery' RiotSharp.Endpoints.LeagueEndpoint.Enums.Division' RiotSharp.Endpoints.LeagueEndpoint.Enums.Tier' RiotSharp.Endpoints.LeagueEndpoint.League' RiotSharp.Endpoints.LeagueEndpoint.LeagueEntry' RiotSharp.Misc.Queue' RiotSharp.Endpoints.MatchEndpoint.Match' RiotSharp.Endpoints.MatchEndpoint.MatchList' RiotSharp.Endpoints.MatchEndpoint.MatchTimeline' RiotSharp.Endpoints.MatchEndpoint.Enums.Season' RiotSharp.Endpoints.SpectatorEndpoint.CurrentGame' RiotSharp.Endpoints.SpectatorEndpoint.FeaturedGames' RiotSharp.Endpoints.StatusEndpoint.ShardStatus' RiotSharp.Endpoints.SummonerEndpoint.Summoner
RiotSharp,RiotSharp.Endpoints.Interfaces.Static,RiotSharp.Endpoints.StaticDataEndpoint.Champion.StaticChampionEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.StaticDataEndpoints' RiotSharp.RiotApi' RiotSharp.Interfaces.IRiotApi' RiotSharp.Endpoints.StaticDataEndpoint.StaticEndpointProvider' RiotSharp.Endpoints.StaticDataEndpoint.StaticEndpointBase' RiotSharp.Endpoints.StaticDataEndpoint.Item.StaticItemEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.LanguageStrings.StaticLanguageEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.Map.StaticMapEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.Mastery.StaticMasteryEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.ProfileIcons.StaticProfileIconEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.Realm.StaticRealmEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.ReforgedRune.StaticReforgedRuneEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.Rune.StaticRuneEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.SummonerSpell.StaticSummonerSpellEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.TarballLinks.StaticTarballLinkEndPoint' RiotSharp.Endpoints.StaticDataEndpoint.Version.StaticVersionEndpoint,RiotSharp.Endpoints.StaticDataEndpoint.Champion.ChampionListStatic' RiotSharp.Endpoints.StaticDataEndpoint.Champion.ChampionStatic' RiotSharp.Misc.Language' RiotSharp.Endpoints.StaticDataEndpoint.Item.ItemListStatic' RiotSharp.Endpoints.StaticDataEndpoint.LanguageStrings.LanguageStringsStatic' RiotSharp.Endpoints.StaticDataEndpoint.Map.MapStatic' RiotSharp.Endpoints.StaticDataEndpoint.Mastery.MasteryListStatic' RiotSharp.Endpoints.StaticDataEndpoint.ProfileIcons.ProfileIconListStatic' RiotSharp.Endpoints.StaticDataEndpoint.Realm.RealmStatic' RiotSharp.Misc.Region' RiotSharp.Endpoints.StaticDataEndpoint.ReforgedRune.ReforgedRunePathStatic' RiotSharp.Endpoints.StaticDataEndpoint.Rune.RuneListStatic' RiotSharp.Endpoints.StaticDataEndpoint.SummonerSpell.SummonerSpellListStatic
RiotSharp,RiotSharp.Endpoints.LeagueEndpoint.Enums.Converters,RiotSharp.Endpoints.LeagueEndpoint.MiniSeries' RiotSharp.Endpoints.LeagueEndpoint.Enums.Tier,RiotSharp.Endpoints.LeagueEndpoint.Enums.Tier
RiotSharp,RiotSharp.Endpoints.LeagueEndpoint.Enums,RiotSharp.Endpoints.Interfaces.ILeagueEndpoint' RiotSharp.Endpoints.LeagueEndpoint.LeagueEndpoint' RiotSharp.Endpoints.MatchEndpoint.Participant' RiotSharp.Endpoints.LeagueEndpoint.League' RiotSharp.Endpoints.LeagueEndpoint.Enums.Converters.TierConverter,RiotSharp.Endpoints.LeagueEndpoint.Enums.Converters.TierConverter
RiotSharp,RiotSharp.Endpoints.LeagueEndpoint,RiotSharp.Endpoints.Interfaces.ILeagueEndpoint' RiotSharp.RiotApi,RiotSharp.Endpoints.LeagueEndpoint.Enums.Tier' RiotSharp.Endpoints.Interfaces.ILeagueEndpoint' RiotSharp.Endpoints.LeagueEndpoint.Enums.Division' RiotSharp.Http.Interfaces.IRateLimitedRequester' RiotSharp.Misc.Region' RiotSharp.Endpoints.LeagueEndpoint.Enums.Converters.CharArrayConverter
RiotSharp,RiotSharp.Endpoints.MatchEndpoint,RiotSharp.Endpoints.Interfaces.IMatchEndpoint' RiotSharp.Interfaces.ITournamentRiotApi' RiotSharp.TournamentRiotApi' RiotSharp.RiotApi,RiotSharp.Misc.Converters.DateTimeConverterFromLong' RiotSharp.Misc.Converters.TimeSpanConverterFromSeconds' RiotSharp.Caching.ICache' RiotSharp.Endpoints.Interfaces.IMatchEndpoint' RiotSharp.Endpoints.MatchEndpoint.Enums.Season' RiotSharp.Http.Interfaces.IRateLimitedRequester' RiotSharp.Misc.Region' RiotSharp.Endpoints.MatchEndpoint.Enums.AscendedType' RiotSharp.Endpoints.MatchEndpoint.Enums.BuildingType' RiotSharp.Endpoints.MatchEndpoint.Enums.CapturedPoint' RiotSharp.Endpoints.MatchEndpoint.Enums.LaneType' RiotSharp.Endpoints.MatchEndpoint.Enums.LevelUpType' RiotSharp.Endpoints.MatchEndpoint.Enums.MatchEventType' RiotSharp.Endpoints.MatchEndpoint.Enums.MonsterSubType' RiotSharp.Endpoints.MatchEndpoint.Enums.MonsterType' RiotSharp.Endpoints.MatchEndpoint.Enums.TowerType' RiotSharp.Endpoints.MatchEndpoint.Enums.WardType' RiotSharp.Misc.Converters.TimeSpanConverterFromMilliseconds' RiotSharp.Misc.Converters.PlatformConverter' RiotSharp.Misc.Converters.PlatformToRegionConverter' RiotSharp.Misc.Lane' RiotSharp.Misc.Platform' RiotSharp.Misc.Role' RiotSharp.Misc.GameType' RiotSharp.Misc.MapType' RiotSharp.Endpoints.LeagueEndpoint.Enums.Tier
RiotSharp,RiotSharp.Endpoints.MatchEndpoint.Enums,RiotSharp.Endpoints.MatchEndpoint.MatchEvent' RiotSharp.Endpoints.MatchEndpoint.Enums.Converters.AscendedTypeConverter' RiotSharp.Endpoints.MatchEndpoint.Enums.Converters.BuildingTypeConverter' RiotSharp.Endpoints.MatchEndpoint.Enums.Converters.CapturedPointConverter' RiotSharp.Endpoints.MatchEndpoint.Enums.Converters.LaneTypeConverter' RiotSharp.Endpoints.MatchEndpoint.Enums.Converters.LevelUpTypeConverter' RiotSharp.Endpoints.MatchEndpoint.Enums.Converters.MatchEventTypeConverter' RiotSharp.Endpoints.MatchEndpoint.Enums.Converters.MonsterSubTypeConverter' RiotSharp.Endpoints.MatchEndpoint.Enums.Converters.MonsterTypeConverter' RiotSharp.Endpoints.MatchEndpoint.MatchReference' RiotSharp.Endpoints.MatchEndpoint.MatchSummary' RiotSharp.Misc.Util' RiotSharp.Endpoints.Interfaces.IMatchEndpoint' RiotSharp.Endpoints.MatchEndpoint.MatchEndpoint' RiotSharp.Endpoints.MatchEndpoint.Enums.Converters.SeasonConverter' RiotSharp.Endpoints.MatchEndpoint.Enums.Converters.TowerTypeConverter' RiotSharp.Endpoints.MatchEndpoint.Enums.Converters.WardTypeConverter,RiotSharp.Endpoints.MatchEndpoint.Enums.Converters.AscendedTypeConverter' RiotSharp.Endpoints.MatchEndpoint.Enums.Converters.BuildingTypeConverter' RiotSharp.Endpoints.MatchEndpoint.Enums.Converters.CapturedPointConverter' RiotSharp.Endpoints.MatchEndpoint.Enums.Converters.LaneTypeConverter' RiotSharp.Endpoints.MatchEndpoint.Enums.Converters.LevelUpTypeConverter' RiotSharp.Endpoints.MatchEndpoint.Enums.Converters.MatchEventTypeConverter' RiotSharp.Endpoints.MatchEndpoint.Enums.Converters.MonsterSubTypeConverter' RiotSharp.Endpoints.MatchEndpoint.Enums.Converters.MonsterTypeConverter' RiotSharp.Endpoints.MatchEndpoint.Enums.Converters.SeasonConverter' RiotSharp.Endpoints.MatchEndpoint.Enums.Converters.TowerTypeConverter' RiotSharp.Endpoints.MatchEndpoint.Enums.Converters.WardTypeConverter
