Method,LOC,CC,PC
ToConsoleFastVisitor:MarkCurrentKeyAsUsed,2,1,1
ToConsoleFastVisitor:Print,3,1,1
ToConsoleFastVisitor:Print,9,3,1
ToConsoleVisitorNice:VisitSingleton,4,1,3
ToConsoleVisitorNice:StartObject,5,1,4
ToConsoleVisitorNice:StartField,4,1,1
ToConsoleVisitorNice:NeedScalarAsObject,3,1,0
ToConsoleVisitorNice:ScalarAsObject,2,1,1
ToConsoleVisitorNice:NeedScalarAsText,3,1,0
ToConsoleVisitorNice:ScalarAsText,3,1,1
ToConsoleVisitorNice:OidReference,3,1,1
ToConsoleVisitorNice:StartInlineObject,5,1,3
ToConsoleVisitorNice:EndInlineObject,3,1,0
ToConsoleVisitorNice:StartList,7,1,0
ToConsoleVisitorNice:StartItem,4,1,0
ToConsoleVisitorNice:EndItem,3,1,0
ToConsoleVisitorNice:EndList,4,1,0
ToConsoleVisitorNice:StartDictionary,7,1,0
ToConsoleVisitorNice:StartDictKey,4,1,0
ToConsoleVisitorNice:EndDictKey,2,1,0
ToConsoleVisitorNice:StartDictValue,4,1,0
ToConsoleVisitorNice:EndDictValue,3,1,0
ToConsoleVisitorNice:EndDictionary,4,1,0
ToConsoleVisitorNice:EndField,2,1,0
ToConsoleVisitorNice:EndObject,3,1,0
ToConsoleVisitorNice:StartRelation,7,1,1
ToConsoleVisitorNice:StartRelationKey,5,1,0
ToConsoleVisitorNice:EndRelationKey,3,1,0
ToConsoleVisitorNice:StartRelationValue,5,1,0
ToConsoleVisitorNice:EndRelationValue,4,1,0
ToConsoleVisitorNice:EndRelation,4,1,0
ToConsoleVisitorNice:InlineBackRef,3,1,1
ToConsoleVisitorNice:InlineRef,3,1,1
ToConsoleVisitor:VisitSingleton,4,1,3
ToConsoleVisitor:StartObject,5,1,4
ToConsoleVisitor:StartField,4,1,1
ToConsoleVisitor:NeedScalarAsObject,3,1,0
ToConsoleVisitor:ScalarAsObject,3,1,1
ToConsoleVisitor:NeedScalarAsText,3,1,0
ToConsoleVisitor:ScalarAsText,3,1,1
ToConsoleVisitor:OidReference,3,1,1
ToConsoleVisitor:StartInlineObject,4,1,3
ToConsoleVisitor:EndInlineObject,3,1,0
ToConsoleVisitor:StartList,4,1,0
ToConsoleVisitor:StartItem,4,1,0
ToConsoleVisitor:EndItem,3,1,0
ToConsoleVisitor:EndList,3,1,0
ToConsoleVisitor:StartDictionary,4,1,0
ToConsoleVisitor:StartDictKey,4,1,0
ToConsoleVisitor:EndDictKey,3,1,0
ToConsoleVisitor:StartDictValue,4,1,0
ToConsoleVisitor:EndDictValue,3,1,0
ToConsoleVisitor:EndDictionary,3,1,0
ToConsoleVisitor:EndField,3,1,0
ToConsoleVisitor:EndObject,3,1,0
ToConsoleVisitor:StartRelation,4,1,1
ToConsoleVisitor:StartRelationKey,4,1,0
ToConsoleVisitor:EndRelationKey,3,1,0
ToConsoleVisitor:StartRelationValue,4,1,0
ToConsoleVisitor:EndRelationValue,3,1,0
ToConsoleVisitor:InlineBackRef,3,1,1
ToConsoleVisitor:InlineRef,3,1,1
ToConsoleVisitor:EndRelation,2,1,0
ToNullVisitor:VisitSingleton,3,1,3
ToNullVisitor:StartObject,3,1,4
ToNullVisitor:StartField,3,1,1
ToNullVisitor:NeedScalarAsObject,3,1,0
ToNullVisitor:ScalarAsObject,2,1,1
ToNullVisitor:NeedScalarAsText,3,1,0
ToNullVisitor:ScalarAsText,2,1,1
ToNullVisitor:OidReference,2,1,1
ToNullVisitor:StartInlineObject,3,1,3
ToNullVisitor:EndInlineObject,2,1,0
ToNullVisitor:StartList,3,1,0
ToNullVisitor:StartItem,3,1,0
ToNullVisitor:EndItem,2,1,0
ToNullVisitor:EndList,2,1,0
ToNullVisitor:StartDictionary,3,1,0
ToNullVisitor:StartDictKey,3,1,0
ToNullVisitor:EndDictKey,2,1,0
ToNullVisitor:StartDictValue,3,1,0
ToNullVisitor:EndDictValue,2,1,0
ToNullVisitor:EndDictionary,2,1,0
ToNullVisitor:EndField,2,1,0
ToNullVisitor:EndObject,2,1,0
ToNullVisitor:StartRelation,3,1,1
ToNullVisitor:StartRelationKey,3,1,0
ToNullVisitor:EndRelationKey,2,1,0
ToNullVisitor:StartRelationValue,3,1,0
ToNullVisitor:EndRelationValue,2,1,0
ToNullVisitor:EndRelation,2,1,0
ToNullVisitor:InlineBackRef,2,1,1
ToNullVisitor:InlineRef,2,1,1
Program:Main,141,4,1
