Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
TweetBoxCore,EntityContext,4,7,4,0,5,94,11,0,0,0.43,8,1,BrightstarDB.Samples.EntityFramework.TweetBoxCore.HashTag' BrightstarDB.Samples.EntityFramework.TweetBoxCore.SocialNetworkAccount' BrightstarDB.Samples.EntityFramework.TweetBoxCore.Tweet' BrightstarDB.Samples.EntityFramework.TweetBoxCore.User' BrightstarDB.Samples.EntityFramework.TweetBoxCore.IHashTag' BrightstarDB.Samples.EntityFramework.TweetBoxCore.ISocialNetworkAccount' BrightstarDB.Samples.EntityFramework.TweetBoxCore.ITweet' BrightstarDB.Samples.EntityFramework.TweetBoxCore.IUser,BrightstarDB.Samples.EntityFramework.TweetBoxCore.Program
BrightstarDB.Samples.EntityFramework.TweetBoxCore,HashTag,0,12,12,0,12,201,12,0,1,-1,2,1,BrightstarDB.Samples.EntityFramework.TweetBoxCore.IHashTag' BrightstarDB.Samples.EntityFramework.TweetBoxCore.ITweet,TweetBoxCore.EntityContext
BrightstarDB.Samples.EntityFramework.TweetBoxCore,SocialNetworkAccount,0,12,16,0,12,229,12,0,1,-1,2,2,BrightstarDB.Samples.EntityFramework.TweetBoxCore.ISocialNetworkAccount' BrightstarDB.Samples.EntityFramework.TweetBoxCore.IUser,BrightstarDB.Samples.EntityFramework.TweetBoxCore.Program' TweetBoxCore.EntityContext
BrightstarDB.Samples.EntityFramework.TweetBoxCore,Tweet,0,12,20,0,12,289,12,0,1,-1,3,1,BrightstarDB.Samples.EntityFramework.TweetBoxCore.IHashTag' BrightstarDB.Samples.EntityFramework.TweetBoxCore.ITweet' BrightstarDB.Samples.EntityFramework.TweetBoxCore.IUser,TweetBoxCore.EntityContext
BrightstarDB.Samples.EntityFramework.TweetBoxCore,User,0,12,32,0,12,453,12,0,1,-1,3,1,BrightstarDB.Samples.EntityFramework.TweetBoxCore.ISocialNetworkAccount' BrightstarDB.Samples.EntityFramework.TweetBoxCore.ITweet' BrightstarDB.Samples.EntityFramework.TweetBoxCore.IUser,TweetBoxCore.EntityContext
BrightstarDB.Samples.EntityFramework.TweetBoxCore,IHashTag,0,0,3,0,0,18,0,1,0,-1,1,5,BrightstarDB.Samples.EntityFramework.TweetBoxCore.ITweet,BrightstarDB.Samples.EntityFramework.TweetBoxCore.ITweet' BrightstarDB.Samples.EntityFramework.TweetBoxCore.Program' TweetBoxCore.EntityContext' BrightstarDB.Samples.EntityFramework.TweetBoxCore.HashTag' BrightstarDB.Samples.EntityFramework.TweetBoxCore.Tweet
BrightstarDB.Samples.EntityFramework.TweetBoxCore,ISocialNetworkAccount,0,0,4,0,0,22,0,1,0,-1,1,4,BrightstarDB.Samples.EntityFramework.TweetBoxCore.IUser,TweetBoxCore.EntityContext' BrightstarDB.Samples.EntityFramework.TweetBoxCore.SocialNetworkAccount' BrightstarDB.Samples.EntityFramework.TweetBoxCore.User' BrightstarDB.Samples.EntityFramework.TweetBoxCore.IUser
BrightstarDB.Samples.EntityFramework.TweetBoxCore,ITweet,0,0,5,0,0,25,0,1,0,-1,2,6,BrightstarDB.Samples.EntityFramework.TweetBoxCore.IHashTag' BrightstarDB.Samples.EntityFramework.TweetBoxCore.IUser,BrightstarDB.Samples.EntityFramework.TweetBoxCore.IHashTag' BrightstarDB.Samples.EntityFramework.TweetBoxCore.IUser' TweetBoxCore.EntityContext' BrightstarDB.Samples.EntityFramework.TweetBoxCore.HashTag' BrightstarDB.Samples.EntityFramework.TweetBoxCore.Tweet' BrightstarDB.Samples.EntityFramework.TweetBoxCore.User
BrightstarDB.Samples.EntityFramework.TweetBoxCore,IUser,0,0,8,0,0,40,0,1,0,-1,2,7,BrightstarDB.Samples.EntityFramework.TweetBoxCore.ISocialNetworkAccount' BrightstarDB.Samples.EntityFramework.TweetBoxCore.ITweet,BrightstarDB.Samples.EntityFramework.TweetBoxCore.ISocialNetworkAccount' BrightstarDB.Samples.EntityFramework.TweetBoxCore.ITweet' BrightstarDB.Samples.EntityFramework.TweetBoxCore.Program' TweetBoxCore.EntityContext' BrightstarDB.Samples.EntityFramework.TweetBoxCore.SocialNetworkAccount' BrightstarDB.Samples.EntityFramework.TweetBoxCore.Tweet' BrightstarDB.Samples.EntityFramework.TweetBoxCore.User
BrightstarDB.Samples.EntityFramework.TweetBoxCore,Program,6,9,0,0,5,256,18,0,0,0,5,0,TweetBoxCore.EntityContext' BrightstarDB.Samples.EntityFramework.TweetBoxCore.SocialNetworkAccount' BrightstarDB.Samples.EntityFramework.TweetBoxCore.IHashTag' BrightstarDB.Samples.EntityFramework.TweetBoxCore.IUser' BrightstarDB.Samples.SamplesConfiguration,
BrightstarDB.Samples,SamplesConfiguration,1,1,0,1,1,18,2,0,0,0,0,1,,BrightstarDB.Samples.EntityFramework.TweetBoxCore.Program
