Implementation smell,Namespace,Class,File,Method,Description
Long Method,CatapultGame,Catapult,F:\newReposMay17\CartBlanche_MonoGame-Samples\CatapultNetWars\Catapult\Catapult.cs,Update,The method has 123 lines of code.
Complex Method,CatapultGame,Catapult,F:\newReposMay17\CartBlanche_MonoGame-Samples\CatapultNetWars\Catapult\Catapult.cs,Update,Cyclomatic complexity of the method is 52
Complex Method,CatapultGame,Catapult,F:\newReposMay17\CartBlanche_MonoGame-Samples\CatapultNetWars\Catapult\Catapult.cs,Draw,Cyclomatic complexity of the method is 29
Complex Method,CatapultGame,NetworkSessionComponent,F:\newReposMay17\CartBlanche_MonoGame-Samples\CatapultNetWars\Networking\NetworkSessionComponent.cs,NetworkSessionEnded,Cyclomatic complexity of the method is 13
Complex Method,CatapultGame,NetworkSessionComponent,F:\newReposMay17\CartBlanche_MonoGame-Samples\CatapultNetWars\Networking\NetworkSessionComponent.cs,ChooseGamers,Cyclomatic complexity of the method is 9
Complex Method,CatapultGame,GameplayScreen,F:\newReposMay17\CartBlanche_MonoGame-Samples\CatapultNetWars\Screens\GameplayScreen.cs,Update,Cyclomatic complexity of the method is 11
Complex Method,CatapultGame,GameplayScreen,F:\newReposMay17\CartBlanche_MonoGame-Samples\CatapultNetWars\Screens\GameplayScreen.cs,HandleInput,Cyclomatic complexity of the method is 17
Complex Method,CatapultGame,GameplayScreen,F:\newReposMay17\CartBlanche_MonoGame-Samples\CatapultNetWars\Screens\GameplayScreen.cs,UpdateNetworkSession,Cyclomatic complexity of the method is 8
Complex Method,CatapultGame,GameplayScreen,F:\newReposMay17\CartBlanche_MonoGame-Samples\CatapultNetWars\Screens\GameplayScreen.cs,ReadIncomingPackets,Cyclomatic complexity of the method is 22
Complex Method,CatapultGame,GameplayScreen,F:\newReposMay17\CartBlanche_MonoGame-Samples\CatapultNetWars\Screens\GameplayScreen.cs,DrawHud,Cyclomatic complexity of the method is 13
Complex Method,GameStateManagement,InputState,F:\newReposMay17\CartBlanche_MonoGame-Samples\CatapultNetWars\ScreenManager\InputState.cs,UpdateMouseStates,Cyclomatic complexity of the method is 9
Complex Method,GameStateManagement,MenuScreen,F:\newReposMay17\CartBlanche_MonoGame-Samples\CatapultNetWars\ScreenManager\MenuScreen.cs,HandleInput,Cyclomatic complexity of the method is 17
Complex Method,GameStateManagement,ScreenManager,F:\newReposMay17\CartBlanche_MonoGame-Samples\CatapultNetWars\ScreenManager\ScreenManager.cs,Update,Cyclomatic complexity of the method is 8
Complex Method,GameStateManagement,ScreenManager,F:\newReposMay17\CartBlanche_MonoGame-Samples\CatapultNetWars\ScreenManager\ScreenManager.cs,SerializeState,Cyclomatic complexity of the method is 14
Complex Method,GameStateManagement,ScreenManager,F:\newReposMay17\CartBlanche_MonoGame-Samples\CatapultNetWars\ScreenManager\ScreenManager.cs,DeserializeState,Cyclomatic complexity of the method is 15
Complex Method,GameStateManagement,MessageBoxScreen,F:\newReposMay17\CartBlanche_MonoGame-Samples\CatapultNetWars\Screens\MessageBoxScreen.cs,HandleInput,Cyclomatic complexity of the method is 9
