Project,Namespace,Ca types,Ce types
Catel.Core.NET46,Catel.ApiCop,Catel.ApiCop.Rules.InitializationApiCopRule' Catel.ApiCop.Rules.TooManyDependenciesApiCopRule' Catel.ApiCop.Rules.UnusedFeatureApiCopRule' Catel.IoC.TypeFactory' Catel.Runtime.Serialization.SerializerBase<TSerializationContext>' Catel.ApiCop.Listeners.TextFileApiCopListener,Catel.Argument' Catel.Reflection.StaticHelper' Catel.Reflection.AssemblyHelper
Catel.Core.NET46,Catel.ApiCop.Listeners,,Catel.Argument' Catel.ApiCop.TextApiCopListenerBase
Catel.Core.NET46,Catel.ApiCop.Rules,Catel.Runtime.Serialization.SerializerBase<TSerializationContext>,Catel.ApiCop.ApiCopRuleLevel' Catel.Data.PropertyBag' Catel.ApiCop.IApiCop' Catel.Argument
Catel.Core.NET46,Catel,Catel.ApiCop.ApiCop' Catel.ApiCop.ApiCopListenerBase' Catel.ApiCop.ApiCopManager' Catel.ApiCop.ApiCopResult' Catel.ApiCop.Listeners.TextFileApiCopListener' Catel.ApiCop.Rules.UnusedFeatureApiCopRule' Catel.Caching.CacheStorage<TKey;TValue>' Catel.Collections.CollectionExtensions' Catel.Collections.DictionaryExtensions' Catel.ComponentModel.DisplayNameAttribute' System.ComponentModel.EditEventArgs' System.ComponentModel.PropertyChangedEventArgsExtensions' Catel.Configuration.ConfigurationService' Catel.Configuration.DynamicConfiguration' Catel.Configuration.DynamicConfigurationSerializerModifier' Catel.Configuration.ConfigurationExtensions' Catel.Configuration.IConfigurationServiceExtensions' Catel.Data.ValidateModelAttribute' Catel.Data.IModelExtensions' Catel.Data.IValidatableExtensions' Catel.Data.IValidatableModelExtensions' Catel.Data.IValidationContextExtensions' Catel.Data.ValidatableModelBase' Catel.Data.CatelTypeInfo' Catel.Data.ChangeNotificationWrapper' Catel.Data.CompositeValidator' Catel.Data.CompositeValidatorProvider' Catel.Data.ModelBaseExtensions' Catel.Data.ObservableObjectExtensions' Catel.Data.ValidationExtensions' Catel.Data.ValidationContextChange' Catel.Data.ValidationContextHelper' Catel.Data.XmlNameMapper<T>' Catel.Data.ModelBase' Catel.Data.ObservableObject' Catel.Data.PropertyBag' Catel.Data.PropertyData' Catel.Data.PropertyDataManager' Catel.Data.PropertyValue' Catel.Data.SavableModelBase<T>' Catel.Data.ValidationContext' Catel.Data.ValidationResult' Catel.Data.FieldValidationResult' Catel.Data.BusinessRuleValidationResult' Catel.Data.ValidationSummary' Catel.Data.ValidatorProviderBase' Catel.ExceptionHandling.BufferedEventArgs' Catel.ExceptionHandling.RetryingEventArgs' Catel.ExceptionHandling.ExceptionHandler' Catel.ExceptionHandling.ExceptionHandler<TException>' Catel.ExceptionHandling.ExceptionInheritanceComparer' Catel.ExceptionHandling.ExceptionService' Catel.ExceptionHandling.ExceptionHandlerExtensions' Catel.ExceptionHandling.ExceptionServiceExtensions' Catel.ExceptionHandling.BufferPolicy' Catel.ExceptionHandling.RetryPolicy' Catel.IoC.ServiceLocatorRegistrationAttribute' Catel.IoC.CatelDependencyResolver' Catel.IoC.FirstInterfaceRegistrationConvention' Catel.IoC.NamingRegistrationConvention' Catel.IoC.DependencyResolverManager' Catel.IoC.MissingTypeEventArgs' Catel.IoC.TypeInstantiatedEventArgs' Catel.IoC.TypeRegisteredEventArgs' Catel.IoC.CircularDependencyException' Catel.IoC.DependencyResolverExtensions' Catel.IoC.RegistrationConventionHandlerExtensions' Catel.IoC.ServiceLocatorExtensions' Catel.IoC.TypeFactoryExtensions' Catel.IoC.RegistrationConventionHandler' Catel.IoC.RegistrationInfo' Catel.IoC.ServiceLocator' Catel.IoC.ServiceLocatorAutoRegistrationManager' Catel.IoC.ServiceLocatorRegistration' Catel.IoC.ServiceLocatorRegistrationGroup' Catel.IoC.TypeFactory' Catel.IoC.TypeRequestInfo' Catel.IoC.TypeRequestPath' Catel.IO.StreamExtensions' Catel.IO.Path' Catel.Linq.EnumerableExtensions' Catel.Logging.LogExtensions' Catel.Logging.JsonLogFormatter' Catel.Logging.FileLogListener' Catel.Logging.SeqLogListener' Catel.Logging.Log' Catel.Logging.LogManager' Catel.Messaging.MessageMediatorHelper' Catel.Messaging.MessageMediator' Catel.Messaging.MessageBase<TMessage;TData>' Catel.Reflection.CachedPropertyInfo' Catel.Reflection.AssemblyLoadedEventArgs' Catel.Reflection.AppDomainExtensions' Catel.Reflection.AssemblyExtensions' Catel.Reflection.DelegateExtensions' Catel.Reflection.MemberInfoExtensions' Catel.Reflection.ReflectionExtensions' Catel.Reflection.TypeInfoExtensions' Catel.Reflection.TypeExtensions' Catel.Reflection.AssemblyHelper' Catel.Reflection.DelegateHelper' Catel.Reflection.PropertyHelper' Catel.Reflection.TypeHelper' Catel.Reflection.TypeCache' Catel.Runtime.RuntimeBindingRedirect' Catel.Runtime.Serialization.ISerializationContextExtensions' Catel.Runtime.Serialization.ISerializationManagerExtensions' Catel.Runtime.Serialization.ISerializerExtensions' Catel.Runtime.Serialization.SerializationContext<TContext>' Catel.Runtime.Serialization.SerializationInfoSerializationContextInfo' Catel.Runtime.Serialization.SerializationManager' Catel.Runtime.Serialization.SerializationModelInfo' Catel.Runtime.Serialization.SerializationObject' Catel.Runtime.Serialization.SerializationScope' Catel.Runtime.Serialization.SerializerBase<TSerializationContext>' Catel.Runtime.Serialization.Binary.RedirectTypeAttribute' Catel.Runtime.Serialization.Binary.BinarySerializer' Catel.Runtime.Serialization.Xml.DataContractSerializerFactory' Catel.Runtime.Serialization.Xml.XmlHelper' Catel.Runtime.Serialization.Xml.XmlSchemaHelper' Catel.Runtime.Serialization.Xml.XmlNamespace' Catel.Runtime.Serialization.Xml.XmlNamespaceManager' Catel.Runtime.Serialization.Xml.XmlSerializationContextInfo' Catel.Runtime.Serialization.Xml.XmlSerializer' Catel.Scoping.ScopeManager<T>' Catel.Services.LanguageService' Catel.Services.LanguageResourceSource' Catel.Test.ExceptionTester' Catel.Threading.ReaderWriterLockSlimExtensions' Catel.Threading.SynchronizationContextExtensions' Catel.Threading.TaskHelper' Catel.Threading.SynchronizationContext' Catel.Core.ModuleInitializer' Catel.Reflection.BindingFlagsHelper' Catel.Caching.Policies.ExpirationPolicy' Catel.Caching.Policies.SlidingExpirationPolicy' Catel.IoC.ServiceInfo' Catel.Collections.CollectionHelper' Catel.IoC.ConstructorCacheKey' Catel.Logging.LogListenerConfiguration' Catel.Runtime.Serialization.KeyValuePairSerializerModifier' Catel.Services.ObjectConverterService' Catel.Runtime.Serialization.Binary.RedirectDeserializationBinder' Catel.Pooling.PoolableBase' Catel.Logging.LogListenerBase' Catel.Runtime.Serialization.SerializationContextHelper' Catel.Messaging.WeakActionInfo,Catel.Logging.ILog' Catel.Data.IValueValidator' Catel.IoC.IServiceLocator' Catel.ExceptionHandling.ExceptionService' Catel.Messaging.MessageMediator' Catel.Runtime.Serialization.Binary.BinarySerializer' Catel.Runtime.Serialization.Xml.XmlSerializer' Catel.Reflection.BindingFlagsHelper' Catel.Threading.TaskShim' Catel.Collections.ArrayShim' Catel.Reflection.PropertyHelper' Catel.Reflection.TypeCache' Catel.Services.ILanguageService' Catel.IoC.ServiceLocator' Catel.Reflection.TypeArray' Catel.Threading.TaskHelper' Catel.Reflection.DelegateHelper' Catel.Caching.ICacheStorage
Catel.Core.NET46,Catel.Caching,Catel.WeakEventListener<TTarget;TSource>' Catel.Data.AttributeValidatorProvider' Catel.IoC.TypeMetaData' Catel.Reflection.MemberInfoExtensions' Catel.Reflection.PropertyHelper' Catel.Runtime.Serialization.SerializationManager' Catel.Services.LanguageService,Catel.Threading.AsyncLock' Catel.Threading.Timer' Catel.Threading.Timeout' Catel.Argument' Catel.Caching.Policies.ExpirationPolicy
Catel.Core.NET46,Catel.Caching.Policies,Catel.Caching.CacheStorage<TKey;TValue>' Catel.Caching.CacheStorageValueInfo<TValue>' Catel.Caching.ExpiringEventArgs<TKey;TValue>' Catel.Caching.ICacheStorage,Catel.Threading.SynchronizationContext' Catel.Logging.ILog' Catel.FastDateTime
Catel.Core.NET46,Catel.Collections,Catel.ExceptionFactory' Catel.StringToObjectHelper' Catel.Data.CatelTypeInfo' Catel.IoC.CatelDependencyResolver' Catel.IoC.TypeFactory' Catel.IoC.TypeRequestPath' Catel.IO.StreamExtensions' Catel.Linq.EnumerableExtensions' Catel.Reflection.ObjectExtensions' Catel.Reflection.AssemblyHelper' Catel.Reflection.PropertyHelper' Catel.Reflection.TypeCache' Catel.Runtime.Serialization.Xml.DataContractSerializerFactory' Catel.Runtime.Serialization.Xml.XmlSerializerTypeInfo' Catel.Data.ModelEqualityComparer' Catel.Reflection.TypeInfoExtensions,Catel.Logging.ILog' Catel.Argument' Catel.ObjectHelper
Catel.Core.NET46,Catel.ComponentModel,,Catel.Services.ILanguageService' Catel.Argument
Catel.Core.NET46,System.ComponentModel,Catel.Data.ModelBase,Catel.Argument' Catel.Reflection.PropertyHelper
Catel.Core.NET46,Catel.Configuration,,Catel.Logging.ILog' Catel.Runtime.Serialization.ISerializationManager' Catel.Services.IObjectConverterService' Catel.Runtime.Serialization.ISerializer' Catel.Runtime.Serialization.Xml.IXmlSerializer' Catel.Argument' Catel.IO.Path' Catel.IO.ApplicationDataTarget' Catel.DisposableToken' Catel.Data.PropertyData' Catel.Runtime.Serialization.SerializerModifierBase' Catel.Runtime.Serialization.ISerializationContext' Catel.Runtime.Serialization.Xml.XmlSerializationContextInfo
