Implementation smell,Namespace,Class,File,Method,Description
Complex Method,CryptSharp.Utility,BlowfishCipher,D:\research\architectureSmells\repos\ChrisMcKee_cryptsharp\src\CryptSharp\Utility\BlowfishCipher.Constants.cs,ExpandKey,Cyclomatic complexity of the method is 8
Long Parameter List,CryptSharp.Utility,Pbkdf2,D:\research\architectureSmells\repos\ChrisMcKee_cryptsharp\src\CryptSharp\Utility\Pbkdf2.cs,Pbkdf2,The method has 5 parameters. Parameters: key' salt' iterations' computeHmacCallback' hmacLength
Long Parameter List,CryptSharp.Utility,Pbkdf2,D:\research\architectureSmells\repos\ChrisMcKee_cryptsharp\src\CryptSharp\Utility\Pbkdf2.cs,ComputeKey,The method has 6 parameters. Parameters: key' salt' iterations' computeHmacCallback' hmacLength' output
Long Parameter List,CryptSharp.Utility,Pbkdf2,D:\research\architectureSmells\repos\ChrisMcKee_cryptsharp\src\CryptSharp\Utility\Pbkdf2.cs,Reopen,The method has 5 parameters. Parameters: key' salt' iterations' computeHmacCallback' hmacLength
Long Parameter List,CryptSharp.Utility,Salsa20Core,D:\research\architectureSmells\repos\ChrisMcKee_cryptsharp\src\CryptSharp\Utility\Salsa20Core.cs,Compute,The method has 6 parameters. Parameters: rounds' input' inputOffset' output' outputOffset' x
Long Parameter List,CryptSharp.Utility,SCrypt,D:\research\architectureSmells\repos\ChrisMcKee_cryptsharp\src\CryptSharp\Utility\SCrypt.cs,ComputeKey,The method has 7 parameters. Parameters: key' salt' cost' blockSize' parallel' maxThreads' output
Long Parameter List,CryptSharp.Utility,SCrypt,D:\research\architectureSmells\repos\ChrisMcKee_cryptsharp\src\CryptSharp\Utility\SCrypt.cs,GetEffectivePbkdf2Salt,The method has 6 parameters. Parameters: key' salt' cost' blockSize' parallel' maxThreads
Long Parameter List,CryptSharp.Utility,SCrypt,D:\research\architectureSmells\repos\ChrisMcKee_cryptsharp\src\CryptSharp\Utility\SCrypt.cs,GetStream,The method has 6 parameters. Parameters: key' salt' cost' blockSize' parallel' maxThreads
Long Parameter List,CryptSharp.Utility,SCrypt,D:\research\architectureSmells\repos\ChrisMcKee_cryptsharp\src\CryptSharp\Utility\SCrypt.cs,MFcrypt,The method has 6 parameters. Parameters: P' S' cost' blockSize' parallel' maxThreads
Long Parameter List,CryptSharp.Utility,SCrypt,D:\research\architectureSmells\repos\ChrisMcKee_cryptsharp\src\CryptSharp\Utility\SCrypt.cs,ThreadSMixCalls,The method has 6 parameters. Parameters: B0' MFLen' cost' blockSize' parallel' maxThreads
Long Parameter List,CryptSharp.Utility,SCrypt,D:\research\architectureSmells\repos\ChrisMcKee_cryptsharp\src\CryptSharp\Utility\SCrypt.cs,SMix,The method has 6 parameters. Parameters: B' Boffset' Bp' Bpoffset' N' r
Long Parameter List,CryptSharp.Utility,SCrypt,D:\research\architectureSmells\repos\ChrisMcKee_cryptsharp\src\CryptSharp\Utility\SCrypt.cs,BlockMix,The method has 9 parameters. Parameters: B' Boffset' Bp' Bpoffset' x' y' scratch1' scratch2' r
Long Statement,CryptSharp,BlowfishCrypter,D:\research\architectureSmells\repos\ChrisMcKee_cryptsharp\src\CryptSharp\BlowfishCrypter.cs,Crypt,The length of the statement  "			string result = string.Format("$2a${0}${1}{2}"' rounds.ToString("00")' new string(UnixBase64.Encode(saltBytes))' new string(UnixBase64.Encode(crypt))); " is 151.
Magic Number,CryptSharp,BlowfishCrypter,D:\research\architectureSmells\repos\ChrisMcKee_cryptsharp\src\CryptSharp\BlowfishCrypter.cs,GenerateSalt,The following statement contains a magic number: return GenerateSalt(6);
Magic Number,CryptSharp,BlowfishCrypter,D:\research\architectureSmells\repos\ChrisMcKee_cryptsharp\src\CryptSharp\BlowfishCrypter.cs,GenerateSalt,The following statement contains a magic number: Helper.CheckRange("rounds"' rounds' 4' 31);
