Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
TimberWinR.Codecs,JsonCodec,1,2,0,0,2,14,2,0,1,1,2,0,TimberWinR.Parser.CodecArguments' TimberWinR.Inputs.InputListener,
TimberWinR.Codecs,Multiline,1,2,1,0,2,72,4,0,1,0,3,0,TimberWinR.Parser.CodecArguments' TimberWinR.Parser.WhatType' TimberWinR.Inputs.InputListener,
TimberWinR.Codecs,PlainCodec,1,3,0,0,2,25,4,0,1,0.67,2,0,TimberWinR.Parser.CodecArguments' TimberWinR.Inputs.InputListener,
TimberWinR,Configuration,18,13,15,0,5,270,44,0,0,0.23,7,13,TimberWinR.Manager' TimberWinR.Parser.RootObject' TimberWinR.Parser.TimberWinR' TimberWinR.Parser.InputSources' TimberWinR.Parser.OutputTargets' TimberWinR.Parser.WindowsEvent' TimberWinR.Parser.LogstashFilter,TimberWinR.Manager' TimberWinR.Diagnostics.Diagnostics' TimberWinR.Outputs.ElasticsearchOutput' TimberWinR.Outputs.StatsDOutput' TimberWinR.Outputs.RedisOutput' TimberWinR.Outputs.FileOutput' TimberWinR.Outputs.StdoutOutput' TimberWinR.UnitTests.ConfigurationTest' TimberWinR.UnitTests.DateFilterTests' TimberWinR.UnitTests.GeoIPFilterTests' TimberWinR.UnitTests.JsonFilterTests' TimberWinR.UnitTests.GrokFilterTests' TimberWinR.TestGenerator.Program
TimberWinR,ConfigurationErrors,0,0,0,0,0,67,0,0,0,-1,0,0,,
TimberWinR,MissingRequiredTagException,0,1,0,0,1,8,1,0,0,-1,0,0,,
TimberWinR,MissingRequiredAttributeException,0,1,0,0,1,9,1,0,0,-1,0,0,,
TimberWinR,InvalidAttributeNameException,0,1,0,0,1,9,1,0,0,-1,0,0,,
TimberWinR,InvalidAttributeDateValueException,0,1,0,0,1,11,1,0,0,-1,0,0,,
TimberWinR,InvalidAttributeIntegerValueException,0,1,0,0,1,9,1,0,0,-1,0,0,,
TimberWinR,InvalidAttributeValueException,0,1,0,0,1,9,1,0,0,-1,0,0,,
TimberWinR,InvalidElementNameException,0,1,0,0,1,9,1,0,0,-1,0,0,,
TimberWinR,ICodec,0,1,0,0,0,4,1,3,0,-1,1,4,TimberWinR.Inputs.InputListener,TimberWinR.Inputs.GeneratorInput' TimberWinR.Inputs.TailFileListener' TimberWinR.Inputs.StdinListener' TimberWinR.Inputs.LogsListener
TimberWinR,LogErrors,0,2,0,0,2,33,2,0,0,-1,0,2,,TimberWinR.Inputs.UdpInputListener' TimberWinR.Inputs.TcpInputListener
