Implementation smell,Namespace,Class,File,Method,Description
Complex Method,SODA,SodaRequest,D:\research\architectureSmells\repos\CityofSantaMonica_SODA.NET\SODA\SodaRequest.cs,SodaRequest,Cyclomatic complexity of the method is 8
Complex Method,SODA,SoqlQuery,D:\research\architectureSmells\repos\CityofSantaMonica_SODA.NET\SODA\SoqlQuery.cs,ToString,Cyclomatic complexity of the method is 11
Long Parameter List,SODA,SodaRequest,D:\research\architectureSmells\repos\CityofSantaMonica_SODA.NET\SODA\SodaRequest.cs,SodaRequest,The method has 8 parameters. Parameters: uri' method' appToken' username' password' dataFormat' payload' timeout
Long Statement,SODA,SodaClient,D:\research\architectureSmells\repos\CityofSantaMonica_SODA.NET\SODA\SodaClient.cs,GetMetadata,The length of the statement  "                throw new ArgumentOutOfRangeException("resourceId"' "The provided resourceId is not a valid Socrata (4x4) resource identifier."); " is 129.
Long Statement,SODA,SodaClient,D:\research\architectureSmells\repos\CityofSantaMonica_SODA.NET\SODA\SodaClient.cs,GetResource,The length of the statement  "                throw new ArgumentOutOfRangeException("resourceId"' "The provided resourceId is not a valid Socrata (4x4) resource identifier."); " is 129.
Long Statement,SODA,SodaClient,D:\research\architectureSmells\repos\CityofSantaMonica_SODA.NET\SODA\SodaClient.cs,Query,The length of the statement  "                throw new ArgumentOutOfRangeException("resourceId"' "The provided resourceId is not a valid Socrata (4x4) resource identifier."); " is 129.
Long Statement,SODA,SodaClient,D:\research\architectureSmells\repos\CityofSantaMonica_SODA.NET\SODA\SodaClient.cs,Upsert,The length of the statement  "                throw new ArgumentOutOfRangeException("resourceId"' "The provided resourceId is not a valid Socrata (4x4) resource identifier."); " is 129.
Long Statement,SODA,SodaClient,D:\research\architectureSmells\repos\CityofSantaMonica_SODA.NET\SODA\SodaClient.cs,Upsert,The length of the statement  "                throw new ArgumentOutOfRangeException("resourceId"' "The provided resourceId is not a valid Socrata (4x4) resource identifier."); " is 129.
Long Statement,SODA,SodaClient,D:\research\architectureSmells\repos\CityofSantaMonica_SODA.NET\SODA\SodaClient.cs,BatchUpsert,The length of the statement  "                throw new ArgumentOutOfRangeException("resourceId"' "The provided resourceId is not a valid Socrata (4x4) resource identifier."); " is 129.
Long Statement,SODA,SodaClient,D:\research\architectureSmells\repos\CityofSantaMonica_SODA.NET\SODA\SodaClient.cs,BatchUpsert,The length of the statement  "                throw new ArgumentOutOfRangeException("resourceId"' "The provided resourceId is not a valid Socrata (4x4) resource identifier."); " is 129.
Long Statement,SODA,SodaClient,D:\research\architectureSmells\repos\CityofSantaMonica_SODA.NET\SODA\SodaClient.cs,Replace,The length of the statement  "                throw new ArgumentOutOfRangeException("resourceId"' "The provided resourceId is not a valid Socrata (4x4) resource identifier."); " is 129.
Long Statement,SODA,SodaClient,D:\research\architectureSmells\repos\CityofSantaMonica_SODA.NET\SODA\SodaClient.cs,Replace,The length of the statement  "                throw new ArgumentOutOfRangeException("resourceId"' "The provided resourceId is not a valid Socrata (4x4) resource identifier."); " is 129.
Long Statement,SODA,SodaClient,D:\research\architectureSmells\repos\CityofSantaMonica_SODA.NET\SODA\SodaClient.cs,DeleteRow,The length of the statement  "                throw new ArgumentOutOfRangeException("resourceId"' "The provided resourceId is not a valid Socrata (4x4) resource identifier."); " is 129.
Long Statement,SODA,SodaClient,D:\research\architectureSmells\repos\CityofSantaMonica_SODA.NET\SODA\SodaClient.cs,write,The length of the statement  "            var request = new SodaRequest(uri' method' AppToken' Username' password' SodaDataFormat.JSON' payload.ToJsonString()' RequestTimeout); " is 134.
Long Statement,SODA,SodaRequest,D:\research\architectureSmells\repos\CityofSantaMonica_SODA.NET\SODA\SodaRequest.cs,ParseResponse,The length of the statement  "                        result = Newtonsoft.Json.JsonConvert.DeserializeObject<TResult>(this.ResponseMessage.Content.ReadAsStringAsync().Result); " is 121.
Long Statement,SODA,SodaRequest,D:\research\architectureSmells\repos\CityofSantaMonica_SODA.NET\SODA\SodaRequest.cs,ParseResponse,The length of the statement  "                throw new InvalidOperationException(String.Format("Couldn't deserialize the ({0}) response into an instance of type {1}."' dataFormat' typeof(TResult))' inner); " is 160.
Long Statement,SODA.Utilities,SodaUri,D:\research\architectureSmells\repos\CityofSantaMonica_SODA.NET\SODA\Utilities\SodaUri.cs,ForMetadata,The length of the statement  "                throw new ArgumentOutOfRangeException("resourceId"' "The provided resourceId is not a valid Socrata (4x4) resource identifier."); " is 129.
