Design smell,Namespace,Class,File,Cause
Unnecessary Abstraction,System.Windows.Controls.Samples,App,F:\newReposMay17\CoEST_TraceLab\Main\external\WPFToolkit\Source\Samples\App.xaml.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
Unutilized Abstraction,System.Windows.Controls.Samples,MainWindow,F:\newReposMay17\CoEST_TraceLab\Main\external\WPFToolkit\Source\Samples\MainWindow.xaml.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,System.Windows.Controls.Samples,AccordionSample,F:\newReposMay17\CoEST_TraceLab\Main\external\WPFToolkit\Source\Samples\Accordion\AccordionSample.xaml.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,System.Windows.Controls.Samples,AccordionShowcase,F:\newReposMay17\CoEST_TraceLab\Main\external\WPFToolkit\Source\Samples\Accordion\AccordionShowcase.xaml.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,System.Windows.Controls.Samples,AccordionUsage,F:\newReposMay17\CoEST_TraceLab\Main\external\WPFToolkit\Source\Samples\Accordion\AccordionUsage.xaml.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,System.Windows.Controls.Samples,AutoCompleteBoxSample,F:\newReposMay17\CoEST_TraceLab\Main\external\WPFToolkit\Source\Samples\AutoCompleteBox\AutoCompleteBoxSample.xaml.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,System.Windows.Controls.Samples,AutoCompleteComboBox,F:\newReposMay17\CoEST_TraceLab\Main\external\WPFToolkit\Source\Samples\AutoCompleteBox\AutoCompleteComboBox.xaml.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,System.Windows.Controls.Samples,AutoCompleteLambda,F:\newReposMay17\CoEST_TraceLab\Main\external\WPFToolkit\Source\Samples\AutoCompleteBox\AutoCompleteLambda.xaml.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,System.Windows.Controls.Samples,CustomEvents,F:\newReposMay17\CoEST_TraceLab\Main\external\WPFToolkit\Source\Samples\AutoCompleteBox\CustomEvents.xaml.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,System.Windows.Controls.Samples,DictionaryKeyValueConverter,F:\newReposMay17\CoEST_TraceLab\Main\external\WPFToolkit\Source\Samples\AutoCompleteBox\DictionaryKeyValueConverter.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,System.Windows.Controls.Samples,RandomEmployeeDetails,F:\newReposMay17\CoEST_TraceLab\Main\external\WPFToolkit\Source\Samples\AutoCompleteBox\RandomEmployeeDetails.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,System.Windows.Controls.Samples,SearchSuggestionSample,F:\newReposMay17\CoEST_TraceLab\Main\external\WPFToolkit\Source\Samples\AutoCompleteBox\SearchSuggestionSample.xaml.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Imperative Abstraction,System.Windows.Controls.Samples,Airport,F:\newReposMay17\CoEST_TraceLab\Main\external\WPFToolkit\Source\Samples\Common\BusinessObjects\Airport.cs,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: ToString
Unutilized Abstraction,System.Windows.Controls.Samples,City,F:\newReposMay17\CoEST_TraceLab\Main\external\WPFToolkit\Source\Samples\Common\BusinessObjects\City.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Duplicate Abstraction,System.Windows.Controls.Samples,Status,F:\newReposMay17\CoEST_TraceLab\Main\external\WPFToolkit\Source\Samples\Common\BusinessObjects\Customer.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are: Status[218' 259]' Status[273' 314]
Unutilized Abstraction,System.Windows.Controls.Samples,CustomerCollection,F:\newReposMay17\CoEST_TraceLab\Main\external\WPFToolkit\Source\Samples\Common\BusinessObjects\CustomerList.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,System.Windows.Controls.Samples,Department,F:\newReposMay17\CoEST_TraceLab\Main\external\WPFToolkit\Source\Samples\Common\BusinessObjects\Department.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Imperative Abstraction,System.Windows.Controls.Samples,Employee,F:\newReposMay17\CoEST_TraceLab\Main\external\WPFToolkit\Source\Samples\Common\BusinessObjects\Employee.cs,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: ToString
Unutilized Abstraction,System.Windows.Controls.Samples,Feature,F:\newReposMay17\CoEST_TraceLab\Main\external\WPFToolkit\Source\Samples\Common\BusinessObjects\Feature.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Imperative Abstraction,System.Windows.Controls.Samples,Words,F:\newReposMay17\CoEST_TraceLab\Main\external\WPFToolkit\Source\Samples\Common\BusinessObjects\Words.cs,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: GetAliceInWonderland
Unutilized Abstraction,System.Windows.Controls.Samples,GridLengthAnimation,F:\newReposMay17\CoEST_TraceLab\Main\external\WPFToolkit\Source\Samples\Common\GridLengthAnimation.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,System.Windows.Controls.Samples,RatingSample,F:\newReposMay17\CoEST_TraceLab\Main\external\WPFToolkit\Source\Samples\Rating\RatingSample.xaml.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,System.Windows.Controls.Samples.Properties,Settings,F:\newReposMay17\CoEST_TraceLab\Main\external\WPFToolkit\Source\Samples\Properties\Settings.Designer.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Default' defaultInstance
Unexploited Encapsulation,System.Windows.Controls.Samples,MemberInfoData,F:\newReposMay17\CoEST_TraceLab\Main\external\WPFToolkit\Source\Samples\Common\BusinessObjects\MemberInfoData.cs,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: PropertyInfo' EventInfo (in method "MemberInfoData" of class "MemberInfoData").
