Namespace,Type,Method,LOC,CC,PC
WampSharp.V2.Fluent,IWebSocketTransportSyntax,SetClientWebSocketOptions,0,1,1
WampSharp.V2.Fluent,WebSocketActivator,WebSocketActivator,4,1,1
WampSharp.V2.Fluent,WebSocketActivator,Activate,7,1,1
WampSharp.V2.Fluent,WebSocketActivator,GetConnectionFactory,10,2,1
WampSharp.V2.Fluent,WebSocketActivator,CreateBinaryConnection,3,1,1
WampSharp.V2.Fluent,WebSocketActivator,CreateTextConnection,3,1,1
WampSharp.V2.Fluent,WebSocketActivator,ActivateWebSocket,5,1,0
WampSharp.V2.Fluent,WebSocketChannelFactoryExtensions,WebSocketTransport,4,1,2
WampSharp.V2.Fluent,WebSocketChannelFactoryExtensions,WebSocketTransport,4,1,3
WampSharp.V2.Fluent,WebSocketChannelFactoryExtensions,GetWebSocketTransportSyntax,6,1,2
WampSharp.V2.Fluent,WebSocketTransportSyntax,WebSocketTransportSyntax,3,1,1
WampSharp.V2.Fluent,WebSocketTransportSyntax,SetClientWebSocketOptions,4,1,1
WampSharp.WebSockets,BinaryWebSocketConnection<TMessage>,BinaryWebSocketConnection,2,1,4
WampSharp.WebSockets,BinaryWebSocketConnection<TMessage>,BinaryWebSocketConnection,2,1,3
WampSharp.WebSockets,BinaryWebSocketWrapperConnection<TMessage>,BinaryWebSocketWrapperConnection,3,1,4
WampSharp.WebSockets,BinaryWebSocketWrapperConnection<TMessage>,BinaryWebSocketWrapperConnection,3,1,3
WampSharp.WebSockets,ControlledBinaryWebSocketConnection<TMessage>,ControlledBinaryWebSocketConnection,2,1,2
WampSharp.WebSockets,ControlledBinaryWebSocketConnection<TMessage>,ControlledBinaryWebSocketConnection,2,1,3
WampSharp.WebSockets,ControlledBinaryWebSocketConnection<TMessage>,Connect,3,1,0
WampSharp.WebSockets,ControlledTextWebSocketConnection<TMessage>,ControlledTextWebSocketConnection,2,1,2
WampSharp.WebSockets,ControlledTextWebSocketConnection<TMessage>,ControlledTextWebSocketConnection,2,1,3
WampSharp.WebSockets,ControlledTextWebSocketConnection<TMessage>,Connect,3,1,0
WampSharp.WebSockets,IWampWebSocketWrapperConnection,RunAsync,0,1,0
WampSharp.WebSockets,TextWebSocketConnection<TMessage>,TextWebSocketConnection,2,1,4
WampSharp.WebSockets,TextWebSocketConnection<TMessage>,TextWebSocketConnection,2,1,3
WampSharp.WebSockets,TextWebSocketWrapperConnection<TMessage>,TextWebSocketWrapperConnection,3,1,4
WampSharp.WebSockets,TextWebSocketWrapperConnection<TMessage>,TextWebSocketWrapperConnection,3,1,3
WampSharp.WebSockets,WebSocketWrapperConnection<TMessage;TRaw>,WebSocketWrapperConnection,6,1,4
WampSharp.WebSockets,WebSocketWrapperConnection<TMessage;TRaw>,WebSocketWrapperConnection,4,1,4
WampSharp.WebSockets,WebSocketWrapperConnection<TMessage;TRaw>,SendAsync,5,1,1
WampSharp.WebSockets,WebSocketWrapperConnection<TMessage;TRaw>,GetMessageInBytes,4,1,1
WampSharp.WebSockets,WebSocketWrapperConnection<TMessage;TRaw>,Connect,7,2,0
WampSharp.WebSockets,WebSocketWrapperConnection<TMessage;TRaw>,TryConnect,15,1,0
WampSharp.WebSockets,WebSocketWrapperConnection<TMessage;TRaw>,RunAsync,44,4,0
WampSharp.WebSockets,WebSocketWrapperConnection<TMessage;TRaw>,CloseWebSocket,17,1,0
WampSharp.WebSockets,WebSocketWrapperConnection<TMessage;TRaw>,ReadMessage,18,1,2
WampSharp.WebSockets,WebSocketWrapperConnection<TMessage;TRaw>,OnNewMessage,4,1,1
WampSharp.WebSockets,WebSocketWrapperConnection<TMessage;TRaw>,Dispose,5,1,0
WampSharp.WebSockets,ClientWebSocketWrapper,ClientWebSocketWrapper,3,1,1
WampSharp.WebSockets,ClientWebSocketWrapper,ConnectAsync,3,1,2
WampSharp.WebSockets,IClientWebSocketWrapper,ConnectAsync,0,1,2
WampSharp.WebSockets,IWebSocketWrapper,ReceiveAsync,0,1,2
WampSharp.WebSockets,IWebSocketWrapper,SendAsync,0,1,4
WampSharp.WebSockets,IWebSocketWrapper,CloseAsync,0,1,3
WampSharp.WebSockets,WebSocketWrapper,WebSocketWrapper,3,1,1
WampSharp.WebSockets,WebSocketWrapper,ReceiveAsync,3,1,2
WampSharp.WebSockets,WebSocketWrapper,SendAsync,3,1,4
WampSharp.WebSockets,WebSocketWrapper,CloseAsync,3,1,3
