Method,LOC,CC,PC
App:App,4,1,0
App:OnLaunched,11,2,1
App:OnSuspending,3,1,2
App:OnSearchActivated,9,1,1
App:OnShareTargetActivated,9,1,1
App:GetContainer,10,1,0
GroupedItemsPage:GroupedItemsPage,3,1,0
GroupedItemsPage:OnNavigatedTo,3,1,1
GroupedItemsPage:Header_Click,7,1,2
GroupedItemsPage:ItemView_ItemClick,5,1,2
GroupDetailPage:GroupDetailPage,3,1,0
GroupDetailPage:OnNavigatedTo,5,1,1
GroupDetailPage:ItemView_ItemClick,5,1,2
ItemDetailPage:ItemDetailPage,3,1,0
ItemDetailPage:OnNavigatedTo,6,1,1
BrowseView:BrowseView,3,1,0
BrowseView:OnNavigatedTo,2,1,1
DashboardView:DashboardView,3,1,0
DashboardView:OnNavigatedTo,9,1,1
DashboardView:TweetsCollectionChanged,14,3,2
DashboardView:ExecuteInBackground,3,1,1
DashboardViewModel:DashboardViewModel,7,1,5
DashboardViewModel:Start,12,2,0
DashboardViewModel:StartOAuthFlow,10,1,0
DashboardViewModel:SetupApplication,27,1,0
DashboardViewModel:StartStreaming,8,1,0
DashboardViewModel:GetTimeline,4,1,0
DashboardViewModel:GetRetweets,4,1,0
DashboardViewModel:GetMentions,4,1,0
DashboardViewModel:GetDirectMessages,5,1,0
DashboardViewModel:OnError,3,1,1
DashboardViewModel:OnNext,3,1,1
DashboardViewModel:AddTweet,3,1,1
DashboardViewModel:OnStreamed,3,1,1
DashboardViewModel:AddTweetFirst,3,1,1
TasksDataSource:TasksDataSource,104,1,0
SearchesView:SearchesView,3,1,0
SearchesView:OnNavigatedTo,4,1,1
SearchView:SearchView,3,1,0
SearchView:OnNavigatedTo,2,1,1
ShareViewModel:SetShareTarget,6,1,1
ShareViewModel:DetectContents,46,14,1
ShareView:ShareView,3,1,0
ShareView:OnNavigatedTo,2,1,1
SampleDataCommon:SampleDataCommon,7,1,5
SampleDataCommon:SetImage,5,1,1
SampleDataItem:SampleDataItem,4,1,7
SampleDataGroup:SampleDataGroup,2,1,5
SampleDataSource:SampleDataSource,48,1,0
BooleanToVisibilityConverter:Convert,3,1,4
BooleanToVisibilityConverter:ConvertBack,3,1,4
BooleanNegationConverter:Convert,3,1,4
BooleanNegationConverter:ConvertBack,3,1,4
LayoutAwarePage:LayoutAwarePage,9,1,0
LayoutAwarePage:GoHome,7,4,2
LayoutAwarePage:GoBack,5,2,2
LayoutAwarePage:StartLayoutUpdates,13,2,2
LayoutAwarePage:WindowSizeChanged,4,2,2
LayoutAwarePage:StopLayoutUpdates,11,2,2
LayoutAwarePage:DetermineVisualState,9,2,1
LayoutAwarePage:InvalidateVisualState,8,3,1
RichTextColumns:RichTextColumns,3,1,0
RichTextColumns:ResetOverflowLayout,9,2,2
RichTextColumns:MeasureOverride,56,8,1
RichTextColumns:ArrangeOverride,10,2,1
