Namespace,Type,Method,LOC,CC,PC
Coevery.Setup.Annotations,SiteNameValidAttribute,SiteNameValidAttribute,3,1,1
Coevery.Setup.Annotations,SiteNameValidAttribute,IsValid,4,1,1
Coevery.Setup.Annotations,SiteNameValidAttribute,FormatErrorMessage,5,2,1
Coevery.Setup.Annotations,UserNameValidAttribute,UserNameValidAttribute,3,1,2
Coevery.Setup.Annotations,UserNameValidAttribute,IsValid,4,1,1
Coevery.Setup.Annotations,UserNameValidAttribute,FormatErrorMessage,7,2,1
Coevery.Setup.Annotations,PasswordValidAttribute,PasswordValidAttribute,3,1,2
Coevery.Setup.Annotations,PasswordValidAttribute,IsValid,4,1,1
Coevery.Setup.Annotations,PasswordValidAttribute,FormatErrorMessage,7,2,1
Coevery.Setup.Annotations,PasswordConfirmationRequiredAttribute,PasswordConfirmationRequiredAttribute,3,1,0
Coevery.Setup.Annotations,PasswordConfirmationRequiredAttribute,FormatErrorMessage,3,1,1
Coevery.Setup.Annotations,SqlDatabaseConnectionStringAttribute,IsValid,12,2,1
Coevery.Setup.Annotations,StringLengthMin,StringLengthMin,5,2,1
Coevery.Setup.Annotations,StringLengthMin,IsValid,3,1,1
Coevery.Setup.Commands,SetupCommand,SetupCommand,3,1,1
Coevery.Setup.Commands,SetupCommand,Setup,26,2,0
Coevery.Setup.Controllers,SetupController,SetupController,8,1,4
Coevery.Setup.Controllers,SetupController,IndexViewResult,3,1,1
Coevery.Setup.Controllers,SetupController,Index,24,3,0
Coevery.Setup.Controllers,SetupController,IndexPOST,80,13,1
Coevery.Setup.Controllers,SetupController,OrderRecipes,13,3,1
Coevery.Setup,Routes,GetRoutes,4,2,1
Coevery.Setup,Routes,GetRoutes,21,1,0
Coevery.Setup,SetupMode,Load,48,1,1
Coevery.Setup,SafeModeText,Get,6,2,2
Coevery.Setup,SafeModeThemeService,GetRequestTheme,1,1,1
Coevery.Setup,SafeModeSiteWorkContextProvider,Get,7,2,1
Coevery.Setup,SafeModeSiteService,GetSiteSettings,7,1,0
Coevery.Setup.Services,ISetupService,Prime,0,1,0
Coevery.Setup.Services,ISetupService,Recipes,0,1,0
Coevery.Setup.Services,ISetupService,Setup,0,1,1
Coevery.Setup.Services,SetupService,SetupService,11,1,7
Coevery.Setup.Services,SetupService,Prime,3,1,0
Coevery.Setup.Services,SetupService,Recipes,3,1,0
Coevery.Setup.Services,SetupService,Setup,83,3,1
Coevery.Setup.Services,SetupService,CreateTenantData,28,2,2
Coevery.Setup.ViewModels,SetupViewModel,SetupViewModel,2,1,0
