Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
SimpleStructsAndArraysTest,ITestMutate,0,1,0,0,0,4,1,1,0,-1,0,2,,SimpleStructsAndArraysTest.MyStruct1' SimpleStructsAndArraysTest.ConstrainedTest
SimpleStructsAndArraysTest,MyStruct1,1,1,0,1,1,8,1,0,1,0,1,1,SimpleStructsAndArraysTest.ITestMutate,SimpleStructsAndArraysTest.ConstrainedTest
SimpleStructsAndArraysTest,MyStruct2,1,1,0,1,1,9,1,0,0,0,0,1,,SimpleStructsAndArraysTest.ConstrainedTest
SimpleStructsAndArraysTest,MyStruct3,1,1,0,1,1,9,1,0,0,0,0,1,,SimpleStructsAndArraysTest.ConstrainedTest
SimpleStructsAndArraysTest,ConstrainedTest,0,2,0,0,2,22,2,0,0,-1,4,1,SimpleStructsAndArraysTest.ITestMutate' SimpleStructsAndArraysTest.MyStruct1' SimpleStructsAndArraysTest.MyStruct2' SimpleStructsAndArraysTest.MyStruct3,SimpleStructsAndArraysTest.Kernel
SimpleStructsAndArraysTest,Kernel,0,5,0,0,0,224,5,0,0,-1,5,0,SimpleStructsAndArraysTest.ConstrainedTest' SimpleStructsAndArraysTest.MyStruct' SimpleStructsAndArraysTest.KVPClass' SimpleStructsAndArraysTest.KVPStruct' SimpleStructsAndArraysTest.OurList<T>,
SimpleStructsAndArraysTest,MyStruct,5,1,0,5,1,22,1,0,0,0,0,1,,SimpleStructsAndArraysTest.Kernel
SimpleStructsAndArraysTest,KVPClass,2,0,0,2,0,5,0,0,0,-1,0,1,,SimpleStructsAndArraysTest.Kernel
SimpleStructsAndArraysTest,KVPStruct,2,0,0,2,0,5,0,0,0,-1,0,1,,SimpleStructsAndArraysTest.Kernel
SimpleStructsAndArraysTest,OurList<T>,5,3,1,1,2,80,7,0,0,0,0,1,,SimpleStructsAndArraysTest.Kernel
