Implementation smell,Namespace,Class,File,Method,Description
Long Method,CharacterEditor.Forms,Editor,C:\repos\DatZach_CharacterEditor\Source\Forms\Editor.Character.cs,InitializeComponent,The method has 1732 lines of code.
Complex Method,CharacterEditor.Forms,Editor,C:\repos\DatZach_CharacterEditor\Source\Forms\Editor.Character.cs,SyncCharacterDataToGui,Cyclomatic complexity of the method is 8
Complex Method,CharacterEditor.Forms,LoadCharacterDialog,C:\repos\DatZach_CharacterEditor\Source\Forms\LoadCharacterDialog.cs,FindCubeWorldDirectoryFromRegistry,Cyclomatic complexity of the method is 13
Long Parameter List,CharacterEditor.Character,ChineseRemainder,C:\repos\DatZach_CharacterEditor\Source\Character\ChineseRemainder.cs,Solve,The method has 5 parameters. Parameters: a' b' c' x1' y1
Long Parameter List,CharacterEditor.Character,ChineseRemainder,C:\repos\DatZach_CharacterEditor\Source\Character\ChineseRemainder.cs,Solve,The method has 6 parameters. Parameters: a' b' r1' r2' x1' y1
Long Parameter List,CharacterEditor.Character,ChineseRemainder,C:\repos\DatZach_CharacterEditor\Source\Character\ChineseRemainder.cs,Solve,The method has 8 parameters. Parameters: a' b' c' r1' r2' r3' n0' t
Long Statement,CharacterEditor.Character,Character,C:\repos\DatZach_CharacterEditor\Source\Character\Character.cs,Read,The length of the statement  "			LastWorld = Worlds.FirstOrDefault(w => w.Seed == lastWorldSeed && w.Name == lastWorldName) ?? new World { Name = lastWorldName' Seed = lastWorldSeed }; " is 151.
Long Statement,CharacterEditor,Program,C:\repos\DatZach_CharacterEditor\Source\Program.cs,Main,The length of the statement  "                MessageBox.Show("Please close Cube World before running the Character Editor."' "Character Editor"' MessageBoxButtons.OK' MessageBoxIcon.Error); " is 144.
Long Statement,CharacterEditor.Forms,Editor,C:\repos\DatZach_CharacterEditor\Source\Forms\Editor.Character.cs,ButtonLoadNewCharacterClick,The length of the statement  "				DialogResult result = MessageBox.Show(this' "Would you like to save changes before loading a new character?"' "Character Editor"' " is 129.
Long Statement,CharacterEditor.Forms,Editor,C:\repos\DatZach_CharacterEditor\Source\Forms\Editor.Character.cs,SyncCharacterDataToGui,The length of the statement  "			comboBoxPetKind.SelectedIndex = Utility.NormalizeIndex(petEquipment.Subtype' Constants.ItemSubtypes[(int)Constants.ItemType.Pets]) + 1; " is 135.
Long Statement,CharacterEditor.Forms,Editor,C:\repos\DatZach_CharacterEditor\Source\Forms\Editor.Character.cs,SyncGuiToCharacterData,The length of the statement  "			petEquipment.Type = (byte)(comboBoxPetKind.SelectedIndex <= 0 ? (int)Constants.ItemType.None : (int)Constants.ItemType.Pets); " is 125.
Long Statement,CharacterEditor.Forms,Editor,C:\repos\DatZach_CharacterEditor\Source\Forms\Editor.Character.cs,SyncGuiToCharacterData,The length of the statement  "			petEquipment.Subtype = (byte)Utility.GoofyIndex(comboBoxPetKind.SelectedIndex - 1' Constants.ItemSubtypes[(int)Constants.ItemType.Pets]); " is 137.
