Method,LOC,CC,PC
AuthenticationConfig:ConfigureGlobal,4,1,1
AuthenticationConfig:CreateConfiguration,4,1,0
AuthenticationConfiguration:CreateAuthorizationServerSigningServiceProvider,5,1,0
AuthenticationConfiguration:CreateResourceServerEncryptionServiceProvider,5,1,0
AuthenticationHandler:AuthenticationHandler,3,1,1
AuthenticationHandler:SendAsync,33,4,2
AuthenticationHandler:SendUnauthorizedResponse,7,1,0
AuthenticationHandler:SetAuthenticateHeader,3,1,1
AuthenticationHandler:SetPrincipal,6,2,1
Principal:Create,3,1,2
CorsHandler:SendAsync,34,3,2
UserAgentClientExtensions:AuthorizeRequest,3,1,3
WebAPIResourceServer:WebAPIResourceServer,2,1,1
WebAPIResourceServer:GetPrincipal,3,1,2
