Method,LOC,CC,PC
Win32Api:SetForegroundWindow,0,1,1
Win32Api:GetForegroundWindow,0,1,0
Win32Api:AttachThreadInput,0,1,3
Win32Api:GetWindowThreadProcessId,0,1,2
Win32Api:GetCurrentThreadId,0,1,0
Win32Api:SetFocus,0,1,1
Win32Api:BringToFront,43,4,1
ProcessManager:CreateProcess,0,1,10
SafeLocalMemHandle:SafeLocalMemHandle,1,1,0
SafeLocalMemHandle:SafeLocalMemHandle,3,1,2
SafeLocalMemHandle:ConvertStringSecurityDescriptorToSecurityDescriptor,0,1,4
SafeLocalMemHandle:LocalFree,0,1,1
SafeLocalMemHandle:ReleaseHandle,3,1,0
StartupInfo:StartupInfo,4,1,0
StartupInfo:Dispose,16,4,0
ClickOnceRegistry:ClickOnceRegistry,4,1,0
ClickOnceRegistry:ReadComponents,17,5,0
ClickOnceRegistry:ReadMarks,29,8,0
RegistryKey:ToString,3,1,0
IUninstallStep:Prepare,0,1,1
IUninstallStep:PrintDebugInformation,0,1,0
IUninstallStep:Execute,0,1,0
RemoveFiles:Prepare,29,7,1
RemoveFiles:PrintDebugInformation,15,4,0
RemoveFiles:Execute,18,4,0
RemoveFiles:FindClickOnceFolder,3,1,0
RemoveFiles:FindClickOnceDataFolder,3,1,0
RemoveFiles:GetApps20Folder,5,1,0
RemoveFiles:IsWindowsXp,3,1,0
RemoveFiles:DescendIntoSubfolders,17,6,1
RemoveFiles:Dispose,2,1,0
RemoveRegistryKeys:RemoveRegistryKeys,4,1,2
RemoveRegistryKeys:Prepare,42,6,1
RemoveRegistryKeys:DeleteMatchingSubKeys,11,3,2
RemoveRegistryKeys:PrintDebugInformation,13,4,0
RemoveRegistryKeys:Execute,12,4,0
RemoveRegistryKeys:Dispose,6,1,0
RegistryMarker:RegistryMarker,4,1,2
RemoveStartMenuEntry:RemoveStartMenuEntry,3,1,1
RemoveStartMenuEntry:Prepare,20,6,1
RemoveStartMenuEntry:PrintDebugInformation,15,4,0
RemoveStartMenuEntry:Execute,18,4,0
RemoveStartMenuEntry:Dispose,2,1,0
RemoveUninstallEntry:RemoveUninstallEntry,3,1,1
RemoveUninstallEntry:Prepare,3,1,1
RemoveUninstallEntry:PrintDebugInformation,6,2,0
RemoveUninstallEntry:Execute,5,2,0
RemoveUninstallEntry:Dispose,7,2,0
Uninstaller:Uninstaller,2,1,0
Uninstaller:Uninstaller,3,1,1
Uninstaller:Uninstall,17,1,1
Uninstaller:FindComponentsToRemove,21,6,1
UninstallInfo:UninstallInfo,1,1,0
UninstallInfo:Find,16,2,1
UninstallInfo:GetPublicKeyToken,6,2,0
DelegateCommand:DelegateCommand,4,2,1
DelegateCommand:DelegateCommand,3,1,2
DelegateCommand:CanExecute,3,1,1
DelegateCommand:Execute,3,2,1
DelegateCommand:OnCanExecuteChanged,4,2,0
MessageBoxHelper:Show,16,1,7
MainWindowViewModel:MainWindowViewModel,19,1,0
MainWindowViewModel:IsStartEnabled,3,1,1
MainWindowViewModel:LogLineAction,4,1,1
MainWindowViewModel:LogAction,4,1,1
MainWindowViewModel:ProgressHandler,6,2,1
MainWindowViewModel:LaunchHelp,11,1,1
MainWindowViewModel:Start,17,2,1
MainWindowViewModel:StartAsync,50,1,0
MainWindowViewModel:Initialize,32,3,0
MainWindowViewModel:CheckForUpdates,158,6,0
MainWindowViewModel:OnPropertyChanged,4,2,1
MainWindowViewModel:Shutdown,3,1,0
Updater:CheckForUpdateAsync,20,1,0
OptionsViewModel:OptionsViewModel,7,1,0
OptionsViewModel:LoadSettings,16,1,0
OptionsViewModel:CanResetSettings,3,1,1
OptionsViewModel:ResetSettings,4,1,1
OptionsViewModel:CanSaveSettings,3,1,1
OptionsViewModel:SaveSettings,63,1,1
