Method,LOC,CC,PC
IdentifierConverter:IdentifierConverter,2,1,0
IdentifierConverter:ConvertFrom,3,1,1
IdentifierConverter:CreateFrom,11,2,1
IdentifierConverter:ConvertToString,3,1,1
IdentifierConverter:GetStandardValuesForCache,3,1,0
OpenIdAjaxOptions:OpenIdAjaxOptions,4,1,0
OpenIdHelper:OpenIdSelectorStyles,8,3,1
OpenIdHelper:OpenIdSelectorScripts,3,1,1
OpenIdHelper:OpenIdSelectorScripts,94,12,3
OpenIdHelper:OpenIdSelectorOPButton,6,1,3
OpenIdHelper:OpenIdSelectorOpenIdButton,5,1,2
OpenIdHelper:OpenIdSelector,29,9,2
OpenIdHelper:OpenIdAjaxTextBox,7,1,1
OpenIdHelper:OpenIdSelectorButton,39,6,4
OpenIdHelper:WriteScriptTagsUrls,7,2,2
OpenIdHelper:WriteScriptTags,7,1,2
OpenIdHelper:WriteScriptTags,5,1,2
OpenIdHelper:WriteScriptBlock,8,1,2
OpenIdHelper:WriteStylesheetLink,5,1,2
OpenIdHelper:WriteStylesheetLinkUrl,5,1,2
OpenIdAjaxRelyingParty:OpenIdAjaxRelyingParty,3,1,0
OpenIdAjaxRelyingParty:OpenIdAjaxRelyingParty,3,1,1
OpenIdAjaxRelyingParty:CreateRequestsAsync,45,5,4
OpenIdAjaxRelyingParty:AsAjaxDiscoveryResultAsync,9,1,2
OpenIdAjaxRelyingParty:AsAjaxPreloadedDiscoveryResultAsync,7,1,2
OpenIdAjaxRelyingParty:AsJsonDiscoveryResultAsync,27,2,2
OpenIdAjaxRelyingParty:AsJsonPreloadedDiscoveryResultAsync,24,1,2
OpenIdAjaxRelyingParty:GetRedirectUrlAsync,6,1,3
OpenIdAjaxTextBox:OpenIdAjaxTextBox,3,1,0
OpenIdAjaxTextBox:LoadPostData,3,1,2
OpenIdAjaxTextBox:RaisePostDataChangedEvent,3,1,0
OpenIdAjaxTextBox:OnLoad,4,1,1
OpenIdAjaxTextBox:OnIdentifierChanged,4,1,0
OpenIdAjaxTextBox:OnPreRender,45,4,1
OpenIdAjaxTextBox:Render,36,5,1
OpenIdAjaxTextBox:LoadPostData,12,3,2
OpenIdAjaxTextBox:RaisePostDataChangedEvent,3,1,0
OpenIdAjaxTextBox:OnTextChanged,6,2,0
OpenIdAjaxTextBox:PrepareClientJavascript,16,2,0
OpenIdButton:OpenIdButton,2,1,0
OpenIdButton:RaisePostBackEvent,13,2,1
OpenIdButton:OnPreRender,12,3,1
OpenIdButton:Render,29,6,1
OpenIdEventArgs:OpenIdEventArgs,6,1,1
OpenIdEventArgs:OpenIdEventArgs,5,1,1
OpenIdLogin:OpenIdLogin,2,1,0
OpenIdLogin:RenderControl,3,1,1
OpenIdLogin:CreateChildControls,5,1,0
OpenIdLogin:OnPreRender,4,1,1
OpenIdLogin:InitializeControls,140,9,0
OpenIdLogin:OnInit,4,1,1
OpenIdLogin:RenderChildren,15,3,1
OpenIdLogin:OnFailed,7,2,1
OpenIdLogin:OnCanceled,7,2,1
OpenIdLogin:OnRememberMeChanged,6,2,0
OpenIdLogin:IdentifierFormatValidator_ServerValidate,3,1,2
OpenIdLogin:RememberMeCheckBox_CheckedChanged,4,1,2
OpenIdLogin:LoginButton_Click,17,1,2
OpenIdLogin:RenderControlInner,3,1,1
OpenIdLogin:SetChildControlReferenceIds,9,1,0
OpenIdRelyingPartyAjaxControlBase:OpenIdRelyingPartyAjaxControlBase,6,1,0
OpenIdRelyingPartyAjaxControlBase:GetAuthenticationResponseAsync,24,3,1
OpenIdRelyingPartyAjaxControlBase:RegisterClientScriptExtension,4,1,1
OpenIdRelyingPartyAjaxControlBase:GetCallbackResult,3,1,0
OpenIdRelyingPartyAjaxControlBase:RaiseCallbackEvent,3,1,1
OpenIdRelyingPartyAjaxControlBase:GetCallbackResult,4,1,0
OpenIdRelyingPartyAjaxControlBase:RaiseCallbackEvent,11,1,1
OpenIdRelyingPartyAjaxControlBase:CreateRelyingParty,3,1,1
OpenIdRelyingPartyAjaxControlBase:PreloadDiscoveryAsync,5,1,2
OpenIdRelyingPartyAjaxControlBase:PreloadDiscoveryAsync,5,1,2
OpenIdRelyingPartyAjaxControlBase:OnUnconfirmedPositiveAssertion,6,2,0
OpenIdRelyingPartyAjaxControlBase:OnLoad,20,2,1
OpenIdRelyingPartyAjaxControlBase:OnIdentifierChanged,5,1,0
OpenIdRelyingPartyAjaxControlBase:OnPreRender,16,1,1
OpenIdRelyingPartyAjaxControlBase:Render,14,2,1
OpenIdRelyingPartyAjaxControlBase:ScriptClosingPopupOrIFrameAsync,11,1,1
OpenIdRelyingPartyAjaxControlBase:GetJsCallbackConvenienceFunction,7,1,1
OpenIdRelyingPartyAjaxControlBase:SetWebAppPathOnUserAgent,4,1,0
OpenIdRelyingPartyControlBase:OpenIdRelyingPartyControlBase,3,1,0
OpenIdRelyingPartyControlBase:LogOff,3,1,0
OpenIdRelyingPartyControlBase:LogOnAsync,6,1,1
OpenIdRelyingPartyControlBase:LogOnAsync,8,2,2
OpenIdRelyingPartyControlBase:RaisePostBackEvent,3,1,1
OpenIdRelyingPartyControlBase:Dispose,5,1,0
OpenIdRelyingPartyControlBase:CreateRequestsAsync,12,2,2
OpenIdRelyingPartyControlBase:Dispose,8,3,1
OpenIdRelyingPartyControlBase:RaisePostBackEvent,2,1,1
OpenIdRelyingPartyControlBase:CreateRequestsAsync,4,1,1
OpenIdRelyingPartyControlBase:OnLoad,32,5,1
OpenIdRelyingPartyControlBase:ScriptClosingPopupOrIFrameAsync,3,1,1
OpenIdRelyingPartyControlBase:OnIdentifierChanged,6,2,0
OpenIdRelyingPartyControlBase:ProcessResponse,28,15,1
OpenIdRelyingPartyControlBase:OnPreRender,4,1,1
OpenIdRelyingPartyControlBase:OnLoggedIn,22,9,1
OpenIdRelyingPartyControlBase:OnLoggingIn,9,2,1
OpenIdRelyingPartyControlBase:OnCanceled,8,2,1
OpenIdRelyingPartyControlBase:OnFailed,8,2,1
OpenIdRelyingPartyControlBase:CreateRelyingParty,4,1,0
OpenIdRelyingPartyControlBase:CreateRelyingParty,3,1,1
OpenIdRelyingPartyControlBase:ConfigureRelyingParty,8,2,1
OpenIdRelyingPartyControlBase:IsPopupAppropriate,13,5,1
OpenIdRelyingPartyControlBase:RenderOpenIdMessageTransmissionAsAnchorAttributes,13,2,3
OpenIdRelyingPartyControlBase:CreateIdentifierPersistingCookie,26,4,1
OpenIdRelyingPartyControlBase:CreateRequestsCoreAsync,79,10,2
OpenIdRelyingPartyControlBase:CreateGetOrPostAHrefValue,5,1,1
OpenIdRelyingPartyControlBase:ScriptPopupWindowAsync,13,1,2
OpenIdRelyingPartyControlBase:TryPresetIdentifierWithCookie,8,2,0
OpenIdSelector:OpenIdSelector,2,1,0
OpenIdSelector:Dispose,8,3,1
OpenIdSelector:CreateChildControls,10,1,0
OpenIdSelector:EnsureChildControlsAreCreatedSafe,11,2,0
OpenIdSelector:OnInit,5,1,1
OpenIdSelector:OnPreRender,31,2,1
OpenIdSelector:Render,36,3,1
OpenIdSelector:EnsureValidButtons,7,2,0
OpenIdTextBox:OpenIdTextBox,2,1,0
OpenIdTextBox:LoadPostData,3,1,2
OpenIdTextBox:RaisePostDataChangedEvent,3,1,0
OpenIdTextBox:CreateRequestsAsync,6,1,2
OpenIdTextBox:OnLoad,7,2,1
OpenIdTextBox:OnIdentifierChanged,4,1,0
OpenIdTextBox:Render,26,4,1
OpenIdTextBox:LoadPostData,10,2,2
OpenIdTextBox:RaisePostDataChangedEvent,3,1,0
OpenIdTextBox:OnTextChanged,6,2,0
OpenIdTextBox:CreateRequestsCore,9,3,1
OpenIdTextBox:AddProfileArgs,19,2,1
SelectorButton:SelectorButton,2,1,0
SelectorButton:EnsureValid,1,1,0
SelectorButton:RenderLeadingAttributes,1,1,1
SelectorButton:RenderButtonContent,1,1,2
SelectorOpenIdButton:SelectorOpenIdButton,3,1,0
SelectorOpenIdButton:SelectorOpenIdButton,4,1,1
SelectorOpenIdButton:EnsureValid,4,1,0
SelectorOpenIdButton:RenderLeadingAttributes,4,1,1
SelectorOpenIdButton:RenderButtonContent,10,1,2
SelectorProviderButton:SelectorProviderButton,3,1,0
SelectorProviderButton:SelectorProviderButton,6,1,2
SelectorProviderButton:EnsureValid,6,1,0
SelectorProviderButton:RenderLeadingAttributes,8,2,1
SelectorProviderButton:RenderButtonContent,10,1,2
