Namespace,Type,Method,LOC,CC,PC
Org.Mentalis.Security.Cryptography,DiffieHellman,Create,3,1,0
Org.Mentalis.Security.Cryptography,DiffieHellman,Create,3,1,1
Org.Mentalis.Security.Cryptography,DiffieHellman,DiffieHellman,1,1,0
Org.Mentalis.Security.Cryptography,DiffieHellman,CreateKeyExchange,0,1,0
Org.Mentalis.Security.Cryptography,DiffieHellman,DecryptKeyExchange,0,1,1
Org.Mentalis.Security.Cryptography,DiffieHellman,ExportParameters,0,1,1
Org.Mentalis.Security.Cryptography,DiffieHellman,ImportParameters,0,1,1
Org.Mentalis.Security.Cryptography,DiffieHellman,FromXmlString,5,2,1
Org.Mentalis.Security.Cryptography,DiffieHellman,ToXmlString,3,1,1
Org.Mentalis.Security.Cryptography,DiffieHellmanManaged,DiffieHellmanManaged,1,1,0
Org.Mentalis.Security.Cryptography,DiffieHellmanManaged,DiffieHellmanManaged,7,2,3
Org.Mentalis.Security.Cryptography,DiffieHellmanManaged,DiffieHellmanManaged,8,3,3
Org.Mentalis.Security.Cryptography,DiffieHellmanManaged,DiffieHellmanManaged,7,3,3
Org.Mentalis.Security.Cryptography,DiffieHellmanManaged,Initialize,17,5,5
Org.Mentalis.Security.Cryptography,DiffieHellmanManaged,CreateKeyExchange,6,1,0
Org.Mentalis.Security.Cryptography,DiffieHellmanManaged,DecryptKeyExchange,7,1,1
Org.Mentalis.Security.Cryptography,DiffieHellmanManaged,Dispose,8,2,1
Org.Mentalis.Security.Cryptography,DiffieHellmanManaged,ExportParameters,9,2,1
Org.Mentalis.Security.Cryptography,DiffieHellmanManaged,ImportParameters,11,4,1
Org.Mentalis.Security.Cryptography,DiffieHellmanManaged,GenerateKey,24,5,4
