Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
FoundationDB.Client.Core,IFdbDatabaseHandler,0,2,3,0,0,10,2,1,0,-1,5,2,FoundationDB.Client.Core.IFdbTransactionHandler' FoundationDB.Client.FdbDatabaseOption' FoundationDB.Client.FdbOperationContext' JetBrains.Annotations.NotNullAttribute' JetBrains.Annotations.PublicAPIAttribute,FoundationDB.Client.Native.FdbNativeDatabase' FoundationDB.Client.FdbDatabase
FoundationDB.Client.Core,IFdbTransactionHandler,0,22,2,0,0,125,22,1,0,-1,14,4,FoundationDB.Client.FdbConflictRangeType' FoundationDB.Client.FdbError' FoundationDB.Client.FdbMutationType' FoundationDB.Client.FdbRangeChunk' FoundationDB.Client.FdbRangeOptions' FoundationDB.Client.FdbTransactionOption' FoundationDB.Client.FdbWatch' FoundationDB.Client.KeySelector' JetBrains.Annotations.NotNullAttribute' JetBrains.Annotations.ItemNotNullAttribute' JetBrains.Annotations.PublicAPIAttribute' JetBrains.Annotations.PureAttribute' System.Slice' System.VersionStamp,FoundationDB.Client.Core.IFdbDatabaseHandler' FoundationDB.Client.Native.FdbNativeDatabase' FoundationDB.Client.Native.FdbNativeTransaction' FoundationDB.Client.FdbTransaction
FoundationDB.Client,FdbDatabaseProviderExtensions,0,16,0,0,15,234,17,0,0,-1,11,0,FoundationDB.Client.IFdbDatabaseScopeProvider' FoundationDB.Client.Fdb' FoundationDB.Client.IFdbDatabase' FoundationDB.Client.IFdbReadOnlyTransaction' FoundationDB.Client.IFdbTransaction' FoundationDB.Layers.Directories.FdbDirectoryPath' FoundationDB.Layers.Directories.FdbDirectorySubspace' JetBrains.Annotations.NotNullAttribute' JetBrains.Annotations.PublicAPIAttribute' JetBrains.Annotations.InstantHandleAttribute' JetBrains.Annotations.PureAttribute,
FoundationDB.Client,IFdbDatabaseProvider,0,2,0,0,0,8,2,2,1,-1,2,1,FoundationDB.Client.IFdbDatabaseScopeProvider' JetBrains.Annotations.PublicAPIAttribute,FoundationDB.Client.FdbDatabase
FoundationDB.Client,IFdbDatabaseScopeProvider,0,4,3,0,0,26,4,4,0,-1,6,7,FoundationDB.Client.IFdbDatabase' FoundationDB.Client.IFdbReadOnlyTransaction' JetBrains.Annotations.CanBeNullAttribute' JetBrains.Annotations.NotNullAttribute' JetBrains.Annotations.ItemNotNullAttribute' JetBrains.Annotations.PureAttribute,FoundationDB.Client.IFdbDatabaseProvider' FoundationDB.Filters.Logging.FdbLoggingExtensions' FoundationDB.DependencyInjection.FdbDatabaseTombstoneProvider<TState>' FoundationDB.DependencyInjection.FdbDatabaseScopeProvider<TState>' FoundationDB.DependencyInjection.FdbDatabaseSingletonProvider<TState>' FoundationDB.Client.FdbDatabase' FoundationDB.Client.FdbDatabaseProviderExtensions
FoundationDB.Client,Fdb,16,38,4,0,25,2677,105,0,0,0.37,17,19,FoundationDB.Client.WriteOptions' FoundationDB.Client.BatchOperationContext' FoundationDB.Client.FdbError' FoundationDB.Client.FdbException' FoundationDB.Client.FdbRangeChunk' FoundationDB.Client.FdbRangeOptions' FoundationDB.Client.FdbStreamingMode' FoundationDB.Client.IFdbDatabase' FoundationDB.Client.IFdbReadOnlyTransaction' FoundationDB.Client.IFdbTransaction' FoundationDB.Client.KeyRange' FoundationDB.Client.KeySelector' JetBrains.Annotations.NotNullAttribute' JetBrains.Annotations.PublicAPIAttribute' JetBrains.Annotations.InstantHandleAttribute' Doxense.Diagnostics.Contracts.Contract' System.Slice,FoundationDB.Client.FdbException' FoundationDB.Client.FdbKey' FoundationDB.Client.FdbRangeQuery<T>' FoundationDB.Client.Errors' FoundationDB.Filters.Logging.FdbTransactionLog' FoundationDB.Client.Native.FdbFuture<T>' FoundationDB.Client.System' FoundationDB.Client.KeyRange' FoundationDB.Client.FdbTransaction' FoundationDB.Client.FdbDatabase' FoundationDB.Client.Options' FoundationDB.Client.Directory' FoundationDB.Client.Native.FdbFutureSingle<T>' FoundationDB.Client.FdbDatabaseProviderExtensions' FoundationDB.Client.Native.FdbFutureArray<T>' FoundationDB.Client.FdbTransactionExtensions' FoundationDB.Client.Native.FdbNativeTransaction' FoundationDB.Client.Native.FdbNativeDatabase' FoundationDB.Client.Native.FdbNative
FoundationDB.Client,Bulk,5,29,0,0,21,1226,91,0,0,0.62,0,1,,FoundationDB.Client.FdbTransactionExtensions
FoundationDB.Client,WriteOptions,0,1,4,0,1,20,1,0,0,-1,0,1,,FoundationDB.Client.Fdb
FoundationDB.Client,BatchOperationContext,0,1,12,0,1,33,1,0,0,-1,0,1,,FoundationDB.Client.Fdb
FoundationDB.Client,Errors,0,11,0,0,0,66,11,0,0,-1,9,3,FoundationDB.Client.Fdb' FoundationDB.Client.FdbDatabase' FoundationDB.Client.FdbError' FoundationDB.Client.FdbException' FoundationDB.Client.FdbKey' FoundationDB.Client.IFdbDatabase' FoundationDB.Client.IFdbTransaction' Doxense.Diagnostics.Contracts.Contract' System.Slice,FoundationDB.Client.FdbKey' FoundationDB.Client.KeyRange' FoundationDB.Client.FdbDatabase
FoundationDB.Client,Options,2,12,6,2,12,129,12,0,0,0.83,5,1,FoundationDB.Client.Fdb' JetBrains.Annotations.NotNullAttribute' JetBrains.Annotations.PublicAPIAttribute' Doxense.Diagnostics.Contracts.Contract' System.Slice,FoundationDB.Client.Native.FdbNative
FoundationDB.Client,System,14,17,0,12,16,450,50,0,0,0.53,19,2,FoundationDB.Client.Fdb' FoundationDB.Client.FdbClusterFile' FoundationDB.Client.FdbError' FoundationDB.Client.FdbException' FoundationDB.Client.FdbRangeOptions' FoundationDB.Client.FdbStreamingMode' FoundationDB.Client.FdbTransactionOption' FoundationDB.Client.IFdbDatabase' FoundationDB.Client.IFdbReadOnlyTransaction' FoundationDB.Client.KeyRange' FoundationDB.Client.KeySelector' JetBrains.Annotations.NotNullAttribute' JetBrains.Annotations.ItemNotNullAttribute' JetBrains.Annotations.ItemCanBeNullAttribute' JetBrains.Annotations.PublicAPIAttribute' Doxense.Diagnostics.Contracts.Contract' System.Slice' FoundationDB.Client.Status.FdbSystemStatus' FoundationDB.Client.Utils.TinyJsonParser,FoundationDB.Client.FdbRangeQuery<T>' FoundationDB.Client.FdbTransactionExtensions
FoundationDB.Client,FdbClusterFile,0,6,4,0,5,96,12,0,0,-1,5,1,FoundationDB.Client.FdbEndPoint' JetBrains.Annotations.NotNullAttribute' JetBrains.Annotations.ItemNotNullAttribute' JetBrains.Annotations.PublicAPIAttribute' Doxense.Diagnostics.Contracts.Contract,FoundationDB.Client.System
FoundationDB.Client,FdbClusterOption,0,0,0,0,0,7,0,0,0,-1,0,1,,FoundationDB.Client.Native.FdbNative
FoundationDB.Client,FdbConflictRangeType,0,0,0,0,0,11,0,0,0,-1,0,9,,FoundationDB.Client.Core.IFdbTransactionHandler' FoundationDB.Client.IFdbTransaction' FoundationDB.Filters.FdbTransactionFilter' FoundationDB.Client.Native.FdbNativeTransaction' FoundationDB.Client.FdbTransaction' FoundationDB.Filters.Logging.FdbTransactionLog' FoundationDB.Filters.Logging.FdbLoggedTransaction' FoundationDB.Client.Native.FdbNative' FoundationDB.Client.FdbTransactionExtensions
FoundationDB.Client,FdbConnectionOptions,1,5,10,1,1,79,16,0,0,0.6,3,0,FoundationDB.Client.IKeySubspace' JetBrains.Annotations.CanBeNullAttribute' JetBrains.Annotations.ItemNotNullAttribute,
FoundationDB.Client,FdbDatabase,12,58,14,0,34,664,88,0,2,0.59,31,4,FoundationDB.Client.Core.IFdbDatabaseHandler' FoundationDB.Client.IFdbDatabaseProvider' FoundationDB.Client.IFdbDatabaseScopeProvider' FoundationDB.Client.Fdb' FoundationDB.Client.Errors' FoundationDB.Client.FdbDatabaseOption' FoundationDB.Client.FdbKey' FoundationDB.Client.FdbOperationContext' FoundationDB.Client.FdbTransaction' FoundationDB.Client.FdbTransactionMode' FoundationDB.Client.IFdbDatabase' FoundationDB.Client.IFdbReadOnlyTransaction' FoundationDB.Client.IFdbTransaction' FoundationDB.Client.KeyRange' FoundationDB.Client.DynamicKeys' FoundationDB.Client.DynamicPartition' FoundationDB.Client.IDynamicKeySubspace' FoundationDB.Client.IKeySubspace' FoundationDB.Client.KeySubspace' FoundationDB.Client.Logging' FoundationDB.DependencyInjection.FdbDatabaseScopeProvider<TState>' FoundationDB.Layers.Directories.FdbDirectoryLayer' FoundationDB.Layers.Directories.IFdbDirectory' FoundationDB.Client.Native.FdbNative' JetBrains.Annotations.CanBeNullAttribute' JetBrains.Annotations.NotNullAttribute' JetBrains.Annotations.InstantHandleAttribute' Doxense.Diagnostics.Contracts.Contract' System.Slice' Doxense.Collections.Tuples.TuPack' Doxense.Serialization.Encoders.IKeyEncoding,FoundationDB.Client.Errors' FoundationDB.Client.Directory' FoundationDB.Client.FdbTransaction' FoundationDB.Client.FdbDatabaseExtensions
FoundationDB.Client,FdbDatabaseExtensions,0,31,0,0,28,372,37,0,0,-1,22,0,FoundationDB.Client.FdbDatabase' FoundationDB.Client.FdbDatabaseOption' FoundationDB.Client.FdbError' FoundationDB.Client.FdbException' FoundationDB.Client.FdbMutationType' FoundationDB.Client.FdbOperationContext' FoundationDB.Client.FdbRangeChunk' FoundationDB.Client.FdbRangeOptions' FoundationDB.Client.FdbTransactionMode' FoundationDB.Client.IFdbDatabase' FoundationDB.Client.IFdbReadOnlyRetryable' FoundationDB.Client.IFdbReadOnlyTransaction' FoundationDB.Client.IFdbRetryable' FoundationDB.Client.IFdbTransaction' FoundationDB.Client.KeyRange' FoundationDB.Client.KeySelector' JetBrains.Annotations.NotNullAttribute' JetBrains.Annotations.ItemNotNullAttribute' JetBrains.Annotations.PublicAPIAttribute' JetBrains.Annotations.PureAttribute' Doxense.Diagnostics.Contracts.Contract' System.Slice,
FoundationDB.Client,FdbDatabaseOption,0,0,0,0,0,25,0,0,0,-1,0,7,,FoundationDB.Client.Native.FdbNativeDatabase' FoundationDB.Client.IFdbDatabase' FoundationDB.Client.Core.IFdbDatabaseHandler' FoundationDB.Client.FdbDatabase' FoundationDB.Client.FdbDatabaseExtensions' FoundationDB.Filters.FdbDatabaseFilter' FoundationDB.Client.Native.FdbNative
FoundationDB.Client,FdbEndPoint,1,6,1,0,6,50,8,0,0,0.33,0,1,,FoundationDB.Client.FdbClusterFile
FoundationDB.Client,FdbError,0,0,0,0,0,136,0,0,0,-1,1,20,JetBrains.Annotations.PublicAPIAttribute,FoundationDB.Client.Core.IFdbTransactionHandler' FoundationDB.Client.Snapshotted' FoundationDB.Client.FdbRangeOptions' FoundationDB.Client.Errors' FoundationDB.Filters.FdbTransactionFilter' FoundationDB.Filters.FdbReadOnlyTransactionFilter' FoundationDB.Client.FdbDatabaseExtensions' FoundationDB.Filters.Logging.FdbLoggedTransaction' FoundationDB.Client.IFdbReadOnlyTransaction' FoundationDB.Filters.Logging.FdbTransactionLog' FoundationDB.Client.System' FoundationDB.Client.FdbException' FoundationDB.Client.Native.FdbFutureArray<T>' FoundationDB.Client.Native.FdbNativeTransaction' FoundationDB.Client.Native.FdbNativeDatabase' FoundationDB.Client.FdbOperationContext' FoundationDB.Client.Native.FdbFutureSingle<T>' FoundationDB.Client.FdbTransaction' FoundationDB.Client.Fdb' FoundationDB.Client.Native.FdbNative
FoundationDB.Client,FdbException,0,5,2,0,4,35,5,0,0,-1,2,9,FoundationDB.Client.Fdb' FoundationDB.Client.FdbError,FoundationDB.Filters.Logging.FdbTransactionLog' FoundationDB.Client.FdbDatabaseExtensions' FoundationDB.Client.FdbTransaction' FoundationDB.Client.Errors' FoundationDB.Client.FdbTransactionExtensions' FoundationDB.Client.FdbRangeOptions' FoundationDB.Client.System' FoundationDB.Client.FdbOperationContext' FoundationDB.Client.Fdb
FoundationDB.Client,FdbKey,4,10,0,4,9,384,37,0,0,0.6,10,14,FoundationDB.Client.Fdb' FoundationDB.Client.Errors' FoundationDB.Client.BatchIterator' FoundationDB.Client.PrettyPrintMode' JetBrains.Annotations.NotNullAttribute' Doxense.Diagnostics.Contracts.Contract' System.Slice' Doxense.Memory.SliceWriter' Doxense.Collections.Tuples.TuPack' Doxense.Collections.Tuples.IVarTuple,FoundationDB.Client.FdbWatch' FoundationDB.Filters.Logging.FdbLoggedTransaction' FoundationDB.Layers.Directories.FdbDirectoryPartition' FoundationDB.Client.FdbDatabase' FoundationDB.Client.Errors' FoundationDB.Layers.Directories.FdbHighContentionAllocator' FoundationDB.Client.KeySelector' FoundationDB.Client.KeySelectorPair' FoundationDB.Client.KeySubspace' FoundationDB.Filters.Logging.FdbTransactionLog' FoundationDB.Client.KeyRange' FoundationDB.Client.FdbTransaction' FoundationDB.Layers.Directories.FdbDirectoryLayer' FoundationDB.Client.FdbTransactionExtensions
FoundationDB.Client,BatchIterator,5,5,0,0,2,50,10,0,0,0,0,1,,FoundationDB.Client.FdbKey
