Implementation smell,Namespace,Class,File,Method,Description
Complex Method,Caliburn.Micro,AttachedCollection,C:\repos\DrNorton_RedmineClient\Caliburn\Caliburn.Micro.SL5\..\Caliburn.Micro.Silverlight\AttachedCollection.cs,OnCollectionChanged,Cyclomatic complexity of the method is 14
Complex Method,Caliburn.Micro,MessageBinder,C:\repos\DrNorton_RedmineClient\Caliburn\Caliburn.Micro.SL5\..\Caliburn.Micro.Silverlight\MessageBinder.cs,CoerceValue,Cyclomatic complexity of the method is 12
Complex Method,Caliburn.Micro,Parser,C:\repos\DrNorton_RedmineClient\Caliburn\Caliburn.Micro.SL5\..\Caliburn.Micro.Silverlight\Parser.cs,Split,Cyclomatic complexity of the method is 8
Complex Method,Caliburn.Micro,Parser,C:\repos\DrNorton_RedmineClient\Caliburn\Caliburn.Micro.SL5\..\Caliburn.Micro.Silverlight\Parser.cs,SplitParameters,Cyclomatic complexity of the method is 26
Long Parameter List,Caliburn.Micro,Action,C:\repos\DrNorton_RedmineClient\Caliburn\Caliburn.Micro.SL5\..\Caliburn.Micro.Silverlight\Action.cs,Invoke,The method has 7 parameters.
Long Parameter List,Caliburn.Micro,ConventionManager,C:\repos\DrNorton_RedmineClient\Caliburn\Caliburn.Micro.SL5\..\Caliburn.Micro.Silverlight\ConventionManager.cs,ConventionManager,The method has 11 parameters.
Long Parameter List,Caliburn.Micro,ConventionManager,C:\repos\DrNorton_RedmineClient\Caliburn\Caliburn.Micro.SL5\..\Caliburn.Micro.Silverlight\ConventionManager.cs,SetBindingWithoutBindingOverwrite,The method has 6 parameters.
Long Parameter List,Caliburn.Micro,ConventionManager,C:\repos\DrNorton_RedmineClient\Caliburn\Caliburn.Micro.SL5\..\Caliburn.Micro.Silverlight\ConventionManager.cs,SetBindingWithoutBindingOrValueOverwrite,The method has 6 parameters.
Long Parameter List,Caliburn.Micro,Parser,C:\repos\DrNorton_RedmineClient\Caliburn\Caliburn.Micro.SL5\..\Caliburn.Micro.Silverlight\Parser.cs,BindParameter,The method has 5 parameters.
Long Parameter List,Caliburn.Micro,ScreenExtensions,C:\repos\DrNorton_RedmineClient\Caliburn\Caliburn.Micro.SL5\..\Caliburn.Micro.Silverlight\ScreenExtensions.cs,ActivateWith,The method has 6 parameters.
Long Parameter List,Caliburn.Micro,SimpleContainer,C:\repos\DrNorton_RedmineClient\Caliburn\Caliburn.Micro.SL5\..\Caliburn.Micro.Silverlight\SimpleContainer.cs,GetEntry,The method has 6 parameters.
Long Parameter List,Caliburn.Micro,ViewModelLocator,C:\repos\DrNorton_RedmineClient\Caliburn\Caliburn.Micro.SL5\..\Caliburn.Micro.Silverlight\ViewModelLocator.cs,AddTypeMapping,The method has 8 parameters.
Long Identifier,Caliburn.Micro,ConventionManager,C:\repos\DrNorton_RedmineClient\Caliburn\Caliburn.Micro.SL5\..\Caliburn.Micro.Silverlight\ConventionManager.cs,ApplyHeaderTemplate,The length of the parameter headerTemplateSelectorProperty is 30.
Long Identifier,Caliburn.Micro,DefaultCloseStrategy,C:\repos\DrNorton_RedmineClient\Caliburn\Caliburn.Micro.SL5\..\Caliburn.Micro.Silverlight\DefaultCloseStrategy.cs,DefaultCloseStrategy,The length of the parameter closeConductedItemsWhenConductorCannotClose is 43.
Long Statement,Caliburn.Micro,Action,C:\repos\DrNorton_RedmineClient\Caliburn\Caliburn.Micro.SL5\..\Caliburn.Micro.Silverlight\Action.cs,HasTargetSet,The length of the statement  "	return ConventionManager.HasBinding (frameworkElement' TargetProperty) || ConventionManager.HasBinding (frameworkElement' TargetWithoutContextProperty); " is 152.
Long Statement,Caliburn.Micro,ActionMessage,C:\repos\DrNorton_RedmineClient\Caliburn\Caliburn.Micro.SL5\..\Caliburn.Micro.Silverlight\ActionMessage.cs,OnAttached,The length of the statement  "			var trigger = Interaction.GetTriggers (AssociatedObject).FirstOrDefault (t => t.Actions.Contains (this)) as EventTrigger; " is 121.
Long Statement,Caliburn.Micro,ActionMessage,C:\repos\DrNorton_RedmineClient\Caliburn\Caliburn.Micro.SL5\..\Caliburn.Micro.Silverlight\ActionMessage.cs,ElementLoaded,The length of the statement  "	const string bindingText = "<Binding xmlns='http://schemas.microsoft.com/winfx/2006/xaml/presentation\' xmlns:cal='clr-namespace:Caliburn.Micro;assembly=Caliburn.Micro' Path='(cal:Message.Handler)' />"; " is 202.
Long Statement,Caliburn.Micro,ActionMessage,C:\repos\DrNorton_RedmineClient\Caliburn\Caliburn.Micro.SL5\..\Caliburn.Micro.Silverlight\ActionMessage.cs,Invoke,The length of the statement  "		var ex = new Exception (string.Format ("Method {0} not found on target of type {1}."' context.Message.MethodName' context.Target.GetType ())); " is 142.
Long Statement,Caliburn.Micro,BootstrapperBase,C:\repos\DrNorton_RedmineClient\Caliburn\Caliburn.Micro.SL5\..\Caliburn.Micro.Silverlight\Bootstrapper.cs,SelectAssemblies,The length of the statement  "		var assemblies = appDomain.GetType ().GetMethod ("GetAssemblies").Invoke (appDomain' null) as Assembly[] ?? new Assembly[] { " is 124.
Long Statement,Caliburn.Micro,ConventionManager,C:\repos\DrNorton_RedmineClient\Caliburn\Caliburn.Micro.SL5\..\Caliburn.Micro.Silverlight\ConventionManager.cs,ApplyItemTemplate,The length of the statement  "	if (!string.IsNullOrEmpty (itemsControl.DisplayMemberPath) || HasBinding (itemsControl' ItemsControl.DisplayMemberPathProperty) || itemsControl.ItemTemplate != null) { " is 167.
Long Statement,Caliburn.Micro,ConventionManager,C:\repos\DrNorton_RedmineClient\Caliburn\Caliburn.Micro.SL5\..\Caliburn.Micro.Silverlight\ConventionManager.cs,GetPropertyCaseInsensitive,The length of the statement  "	return typeList.Select (interfaceType => interfaceType.GetProperty (propertyName' flags)).FirstOrDefault (property => property != null); " is 136.
Long Statement,Caliburn.Micro,Execute,C:\repos\DrNorton_RedmineClient\Caliburn\Caliburn.Micro.SL5\..\Caliburn.Micro.Silverlight\INPC.cs,OnUIThread,The length of the statement  "                    throw new System.Reflection.TargetInvocationException("An error occurred while dispatching a call to the UI Thread"' exception);" is 128.
Long Statement,Caliburn.Micro,NameTransformer,C:\repos\DrNorton_RedmineClient\Caliburn\Caliburn.Micro.SL5\..\Caliburn.Micro.Silverlight\NameTransformer.cs,Transform,The length of the statement  "		nameList.AddRange (rule.ReplacementValues.Select (getReplaceString).Select (repString => Regex.Replace (source' rule.ReplacePattern' repString))); " is 146.
Long Statement,Caliburn.Micro,Parser,C:\repos\DrNorton_RedmineClient\Caliburn\Caliburn.Micro.SL5\..\Caliburn.Micro.Silverlight\Parser.cs,CreateMessage,The length of the statement  "			var paramString = messageText.Substring (openingParenthesisIndex + 1' closingParenthesisIndex - openingParenthesisIndex - 1); " is 125.
Long Statement,Caliburn.Micro,Parser,C:\repos\DrNorton_RedmineClient\Caliburn\Caliburn.Micro.SL5\..\Caliburn.Micro.Silverlight\Parser.cs,BindParameter,The length of the statement  "            var field = element.GetType().GetField(path + "Property"' BindingFlags.Public | BindingFlags.Static | BindingFlags.FlattenHierarchy);" is 133.
Long Statement,Caliburn.Micro,Parser,C:\repos\DrNorton_RedmineClient\Caliburn\Caliburn.Micro.SL5\..\Caliburn.Micro.Silverlight\Parser.cs,BindParameter,The length of the statement  "            ConventionManager.ApplySilverlightTriggers(element' (DependencyProperty)field.GetValue(null)' x => expression' null' null);" is 123.
Long Statement,Caliburn.Micro,SimpleContainer,C:\repos\DrNorton_RedmineClient\Caliburn\Caliburn.Micro.SL5\..\Caliburn.Micro.Silverlight\SimpleContainer.cs,GetEntry,The length of the statement  "		return entries.FirstOrDefault (x => x.Service == service && x.Key == null) ?? entries.FirstOrDefault (x => x.Service == service); " is 129.
Long Statement,Caliburn.Micro,TaskResult,C:\repos\DrNorton_RedmineClient\Caliburn\Caliburn.Micro.SL5\..\Caliburn.Micro.Silverlight\TaskExtensions.cs,Execute,The length of the statement  "		innerTask.ContinueWith (OnCompleted' System.Threading.SynchronizationContext.Current != null ? TaskScheduler.FromCurrentSynchronizationContext () : TaskScheduler.Current); " is 171.
Long Statement,Caliburn.Micro,ViewLocator,C:\repos\DrNorton_RedmineClient\Caliburn\Caliburn.Micro.SL5\..\Caliburn.Micro.Silverlight\ViewLocator.cs,AddTypeMapping,The length of the statement  "	var rxsrcfilter = String.IsNullOrEmpty (nsSourceFilterRegEx) ? null : String.Concat (nsSourceFilterRegEx' String.Format (nameFormat' RegExHelper.NameRegEx' suffix)' "$"); " is 170.
Long Statement,Caliburn.Micro,ViewLocator,C:\repos\DrNorton_RedmineClient\Caliburn\Caliburn.Micro.SL5\..\Caliburn.Micro.Silverlight\ViewLocator.cs,AddTypeMapping,The length of the statement  "	NameTransformer.AddRule (String.Concat (nsSourceReplaceRegEx' String.Format (nameFormat' rxbase' rxsuffix)' "$")' replist.ToArray ()' rxsrcfilter); " is 147.
Long Statement,Caliburn.Micro,ViewModelLocator,C:\repos\DrNorton_RedmineClient\Caliburn\Caliburn.Micro.SL5\..\Caliburn.Micro.Silverlight\ViewModelLocator.cs,AddTypeMapping,The length of the statement  "	var srcfilterregx = String.IsNullOrEmpty (nsSourceFilterRegEx) ? null : String.Concat (nsSourceFilterRegEx' String.Format (nameFormat' RegExHelper.NameRegEx' suffix)' "$"); " is 172.
Long Statement,Caliburn.Micro,ViewModelLocator,C:\repos\DrNorton_RedmineClient\Caliburn\Caliburn.Micro.SL5\..\Caliburn.Micro.Silverlight\ViewModelLocator.cs,AddTypeMapping,The length of the statement  "	NameTransformer.AddRule (String.Concat (nsSourceReplaceRegEx' String.Format (nameFormat' rxbase' rxsuffix)' "$"' rxinterface)' replist.ToArray ()' srcfilterregx); " is 162.
Complex Conditional,Caliburn.Micro,Parser,C:\repos\DrNorton_RedmineClient\Caliburn\Caliburn.Micro.SL5\..\Caliburn.Micro.Silverlight\Parser.cs,SplitParameters,The conditional expression  "current == ''' && roundBrackets == 0 && squareBrackets == 0 && curlyBrackets == 0"  is complex.
Empty Catch Block,Caliburn.Micro,BootstrapperBase,C:\repos\DrNorton_RedmineClient\Caliburn\Caliburn.Micro.SL5\..\Caliburn.Micro.Silverlight\Bootstrapper.cs,ContainsApplicationClass,The method has an empty catch block.
Missing Default,Caliburn.Micro,AttachedCollection,C:\repos\DrNorton_RedmineClient\Caliburn\Caliburn.Micro.SL5\..\Caliburn.Micro.Silverlight\AttachedCollection.cs,OnCollectionChanged,The following switch statement is missing a default case: switch (e.Action) {  case NotifyCollectionChangedAction.Add:  	e.NewItems.OfType<T> ().Where (x => !Contains (x)).Apply (OnItemAdded);  	break;  case NotifyCollectionChangedAction.Remove:  	e.OldItems.OfType<T> ().Apply (OnItemRemoved);  	break;  case NotifyCollectionChangedAction.Replace:  	e.OldItems.OfType<T> ().Apply (OnItemRemoved);  	e.NewItems.OfType<T> ().Where (x => !Contains (x)).Apply (OnItemAdded);  	break;  case NotifyCollectionChangedAction.Reset:  	this.Apply (OnItemRemoved);  	this.Apply (OnItemAdded);  	break;  }  
