Method,LOC,CC,PC
FeatureLayerQuery:FeatureLayerQuery,5,1,0
FeatureLayerQuery:Initialize,25,1,0
FeatureLayerQuery:OnQueryClicked,6,1,2
FeatureLayerQuery:QueryStateFeature,34,2,1
EditAndSyncFeatures:EditAndSyncFeatures,5,1,0
EditAndSyncFeatures:Initialize,41,3,0
EditAndSyncFeatures:GeoViewTapped,59,6,2
EditAndSyncFeatures:UpdateMapExtent,32,6,0
EditAndSyncFeatures:StartGeodatabaseGeneration,24,1,0
EditAndSyncFeatures:HandleGenerationStatusChange,43,5,1
EditAndSyncFeatures:HandleSyncStatusChange,30,4,1
EditAndSyncFeatures:SyncGeodatabase,28,3,0
EditAndSyncFeatures:Job_ProgressChanged,6,1,2
EditAndSyncFeatures:GetTpkPath,17,2,0
EditAndSyncFeatures:ShowStatusMessage,5,1,1
EditAndSyncFeatures:GenerateButton_Clicked,4,1,2
EditAndSyncFeatures:MapViewExtentChanged,4,1,2
EditAndSyncFeatures:GenerateGdbJobChanged,21,1,2
EditAndSyncFeatures:UpdateProgressBar,10,1,1
EditAndSyncFeatures:SyncButton_Click,3,1,2
EditAndSyncFeatures:Job_JobChanged,25,1,2
GenerateGeodatabase:GenerateGeodatabase,5,1,0
GenerateGeodatabase:Initialize,38,3,0
GenerateGeodatabase:UpdateMapExtent,32,6,0
GenerateGeodatabase:StartGeodatabaseGeneration,19,1,0
GenerateGeodatabase:HandleGenerationStatusChange,41,5,1
GenerateGeodatabase:GetTpkPath,17,2,0
GenerateGeodatabase:GetGdbPath,5,1,0
GenerateGeodatabase:ShowStatusMessage,5,1,1
GenerateGeodatabase:GenerateButton_Clicked,4,1,2
GenerateGeodatabase:MapViewExtentChanged,4,1,2
GenerateGeodatabase:GenerateGdbJobChanged,20,1,2
GenerateGeodatabase:UpdateProgressBar,9,1,0
ServiceFeatureTableCache:ServiceFeatureTableCache,5,1,0
ServiceFeatureTableCache:Initialize,22,1,0
ServiceFeatureTableManualCache:ServiceFeatureTableManualCache,5,1,0
ServiceFeatureTableManualCache:Initialize,23,1,0
ServiceFeatureTableManualCache:OnLoadedPopulateData,14,2,2
ServiceFeatureTableNoCache:ServiceFeatureTableNoCache,5,1,0
ServiceFeatureTableNoCache:Initialize,22,1,0
AnalyzeHotspots:AnalyzeHotspots,5,1,0
AnalyzeHotspots:Initialize,14,1,0
AnalyzeHotspots:OnCancelTaskClicked,7,2,2
AnalyzeHotspots:OnAnalyzeHotspotsClicked,63,2,2
AnalyzeHotspots:ShowBusyOverlay,18,2,1
ListGeodatabaseVersions:ListGeodatabaseVersions,5,1,0
ListGeodatabaseVersions:Initialize,35,4,0
ListGeodatabaseVersions:GetGeodatabaseVersionsAsync,40,1,0
ListGeodatabaseVersions:SetBusy,14,2,1
AnalyzeViewshed:AnalyzeViewshed,5,1,0
AnalyzeViewshed:Initialize,10,1,0
AnalyzeViewshed:OnMapViewTapped,18,2,2
AnalyzeViewshed:CalculateViewshed,56,2,1
AnalyzeViewshed:CreateOverlays,34,1,0
AnalyzeViewshed:SetBusy,20,2,1
AddGraphicsRenderer:AddGraphicsRenderer,5,1,0
AddGraphicsRenderer:Initialize,8,1,0
AddGraphicsRenderer:OnViewpointChanged,42,2,2
IdentifyGraphics:IdentifyGraphics,5,1,0
IdentifyGraphics:Initialize,10,1,0
IdentifyGraphics:CreateOverlay,22,1,0
IdentifyGraphics:OnMapViewTapped,18,2,2
SketchOnMap:SketchOnMap,5,1,0
SketchOnMap:Initialize,19,1,0
SketchOnMap:CreateGraphic,43,2,1
SketchOnMap:GetGraphicAsync,17,2,0
SketchOnMap:DrawButtonClick,26,1,2
SketchOnMap:ClearButtonClick,12,2,2
SketchOnMap:EditButtonClick,24,2,2
SurfacePlacements:SurfacePlacements,4,1,0
SurfacePlacements:Initialize,48,1,0
ArcGISMapImageLayerUrl:ArcGISMapImageLayerUrl,5,1,0
ArcGISMapImageLayerUrl:Initialize,13,1,0
ArcGISTiledLayerUrl:ArcGISTiledLayerUrl,5,1,0
ArcGISTiledLayerUrl:Initialize,13,1,0
ArcGISVectorTiledLayerUrl:ArcGISVectorTiledLayerUrl,5,1,0
ArcGISVectorTiledLayerUrl:Initialize,10,1,0
ArcGISVectorTiledLayerUrl:OnVectorLayersChooserSelectionChanged,24,2,2
CreateFeatureCollectionLayer:CreateFeatureCollectionLayer,5,1,0
CreateFeatureCollectionLayer:Initialize,15,1,0
CreateFeatureCollectionLayer:CreateNewFeatureCollection,55,1,0
CreateFeatureCollectionLayer:CollectionLayer_Loaded,7,1,2
CreateFeatureCollectionLayer:CreateRenderer,25,2,1
DisplayScene:DisplayScene,5,1,0
DisplayScene:Initialize,28,1,0
RasterLayerFile:RasterLayerFile,5,1,0
RasterLayerFile:Initialize,18,1,0
RasterLayerFile:GetRasterPath,17,2,0
ExportTiles:ExportTiles,5,1,0
ExportTiles:Initialize,20,1,0
ExportTiles:MyMapView_ViewpointChanged,3,1,2
ExportTiles:UpdateMapExtentGraphic,32,6,0
ExportTiles:GetTilePath,5,1,0
ExportTiles:StartExport,14,1,0
ExportTiles:GetExportParameters,20,2,0
ExportTiles:Job_JobChanged,35,2,2
ExportTiles:UpdatePreviewMap,14,1,0
ExportTiles:MyExportButton_Click,14,1,2
ExportTiles:ShowStatusMessage,5,1,1
ExportTiles:ClosePreview_Click,8,1,2
FeatureCollectionLayerFromQuery:FeatureCollectionLayerFromQuery,5,1,0
FeatureCollectionLayerFromQuery:Initialize,15,1,0
FeatureCollectionLayerFromQuery:GetFeaturesFromQuery,17,1,0
FeatureCollectionLayerFromPortal:FeatureCollectionLayerFromPortal,5,1,0
FeatureCollectionLayerFromPortal:Initialize,7,1,0
FeatureCollectionLayerFromPortal:OpenFeaturesFromArcGISOnline,27,2,1
FeatureCollectionLayerFromPortal:OpenPortalFeatureCollectionClick,13,2,2
