Implementation smell,Namespace,Class,File,Method,Description
Long Method,EventStore.TestClient.Commands,RunTestScenariosProcessor,D:\research\architectureSmells\repos\EventStore_EventStore\src\EventStore.TestClient\Commands\RunTestScenariosProcessor.cs,Execute,The method has 167 lines of code.
Long Method,EventStore.TestClient.Commands,TransactionWriteProcessor,D:\research\architectureSmells\repos\EventStore_EventStore\src\EventStore.TestClient\Commands\TransactionWriteProcessor.cs,Execute,The method has 125 lines of code.
Long Method,EventStore.TestClient.Commands,WriteFloodProcessor,D:\research\architectureSmells\repos\EventStore_EventStore\src\EventStore.TestClient\Commands\WriteFloodProcessor.cs,WriteFlood,The method has 143 lines of code.
Long Method,EventStore.TestClient.Commands,WriteLongTermProcessor,D:\research\architectureSmells\repos\EventStore_EventStore\src\EventStore.TestClient\Commands\WriteLongTermProcessor.cs,Flood,The method has 126 lines of code.
Complex Method,EventStore.TestClient.Commands,ReadAllProcessor,D:\research\architectureSmells\repos\EventStore_EventStore\src\EventStore.TestClient\Commands\ReadAllProcessor.cs,Execute,Cyclomatic complexity of the method is 9
Complex Method,EventStore.TestClient.Commands,RunTestScenariosProcessor,D:\research\architectureSmells\repos\EventStore_EventStore\src\EventStore.TestClient\Commands\RunTestScenariosProcessor.cs,Execute,Cyclomatic complexity of the method is 10
Complex Method,EventStore.TestClient.Commands.DvuBasic,DvuBasicProcessor,D:\research\architectureSmells\repos\EventStore_EventStore\src\EventStore.TestClient\Commands\DvuBasic\DvuBasicProcessor.cs,Execute,Cyclomatic complexity of the method is 9
Complex Method,EventStore.TestClient.Commands.DvuBasic,DvuBasicProcessor,D:\research\architectureSmells\repos\EventStore_EventStore\src\EventStore.TestClient\Commands\DvuBasic\DvuBasicProcessor.cs,Verify,Cyclomatic complexity of the method is 8
Complex Method,EventStore.TestClient.Commands.RunTestScenarios,MassProjectionsScenario,D:\research\architectureSmells\repos\EventStore_EventStore\src\EventStore.TestClient\Commands\RunTestScenarios\MassProjectionsScenario.cs,RunInternal,Cyclomatic complexity of the method is 9
Complex Method,EventStore.TestClient.Commands.RunTestScenarios,ProjectionsKillScenario,D:\research\architectureSmells\repos\EventStore_EventStore\src\EventStore.TestClient\Commands\RunTestScenarios\ProjectionsKillScenario.cs,RunInternal,Cyclomatic complexity of the method is 8
Complex Method,EventStore.TestClient.Commands.RunTestScenarios,ProjForeachForcedCommonNameScenario,D:\research\architectureSmells\repos\EventStore_EventStore\src\EventStore.TestClient\Commands\RunTestScenarios\ProjForeachForcedCommonNameScenario.cs,InnerRun,Cyclomatic complexity of the method is 15
Long Parameter List,EventStore.TestClient,Client,D:\research\architectureSmells\repos\EventStore_EventStore\src\EventStore.TestClient\Client.cs,CreateTcpConnection,The method has 6 parameters. Parameters: context' handlePackage' connectionEstablished' connectionClosed' failContextOnError' tcpEndPoint
Long Parameter List,EventStore.TestClient.Commands,ReadFloodProcessor,D:\research\architectureSmells\repos\EventStore_EventStore\src\EventStore.TestClient\Commands\ReadFloodProcessor.cs,ReadFlood,The method has 7 parameters. Parameters: context' eventStreamId' clientsCnt' requestsCnt' resolveLinkTos' requireMaster' monitor
Long Parameter List,EventStore.TestClient.Commands,WriteFloodClientApiProcessor,D:\research\architectureSmells\repos\EventStore_EventStore\src\EventStore.TestClient\Commands\WriteFloodClientApiProcessor.cs,WriteFlood,The method has 5 parameters. Parameters: context' clientsCnt' requestsCnt' streamsCnt' size
Long Parameter List,EventStore.TestClient.Commands,WriteFloodProcessor,D:\research\architectureSmells\repos\EventStore_EventStore\src\EventStore.TestClient\Commands\WriteFloodProcessor.cs,WriteFlood,The method has 7 parameters. Parameters: context' clientsCnt' requestsCnt' streamsCnt' size' batchSize' monitor
Long Parameter List,EventStore.TestClient.Commands,WriteLongTermProcessor,D:\research\architectureSmells\repos\EventStore_EventStore\src\EventStore.TestClient\Commands\WriteLongTermProcessor.cs,Flood,The method has 6 parameters. Parameters: context' eventStreamId' clientsCnt' minPerSecond' maxPerSecond' runTimeMinutes
Long Parameter List,EventStore.TestClient.Commands.DvuBasic,DvuBasicProcessor,D:\research\architectureSmells\repos\EventStore_EventStore\src\EventStore.TestClient\Commands\DvuBasic\DvuBasicProcessor.cs,Run,The method has 5 parameters. Parameters: context' writers' readers' events' streams
Long Parameter List,EventStore.TestClient.Commands.DvuBasic,DvuBasicProcessor,D:\research\architectureSmells\repos\EventStore_EventStore\src\EventStore.TestClient\Commands\DvuBasic\DvuBasicProcessor.cs,Write,The method has 5 parameters. Parameters: status' writerIdx' context' requests' finish
Long Parameter List,EventStore.TestClient.Commands.DvuBasic,Status,D:\research\architectureSmells\repos\EventStore_EventStore\src\EventStore.TestClient\Commands\DvuBasic\Status.cs,ReportWritesProgress,The method has 9 parameters. Parameters: threadId' sent' prepareTimeouts' commitTimeouts' forwardTimeouts' wrongExpctdVersions' streamsDeleted' fails' requests
