Method,LOC,CC,PC
App:InitializeComponent,8,1,0
App:Main,5,1,0
MainWindow:MainWindow,5,1,0
MainWindow:InitClient,12,1,0
MainWindow:MainWindow_KeyDown,21,3,2
MainWindow:OnConnectionStateChanged,11,3,1
MainWindow:ButtonCalibrateClicked,10,3,2
MainWindow:ButtonMouseClicked,9,3,2
MainWindow:Calibrate,8,1,0
MainWindow:calRunner_OnResult,16,3,2
MainWindow:UpdateState,24,3,0
MainWindow:RatingFunction,14,6,1
MainWindow:WindowClosed,3,1,2
MainWindow:InitializeComponent,13,2,0
MainWindow:Connect,41,2,2
Resources:Resources,2,1,0
