Architecture smell,Project,Namespace,Cause,Responsible Classes,Participating Classes
Cyclic Dependency,GEDCOM X Model,Gx.Agent,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Gx.Agent' Gx.Common,Gx.Agent.Address' Gx.Agent.Agent' Gx.Common.Attribution' Gx.Common.EvidenceReference,Gx.Agent.Address' Gx.Agent.Agent' Gx.Common.Attribution' Gx.Common.EvidenceReference
Cyclic Dependency,GEDCOM X Model,Gx.Agent,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Gx.Agent' Gedcomx.Model.Rt' Gx.Common,Gx.Agent.Address' Gx.Agent.Agent' Gedcomx.Model.Rt.GedcomxLocalReferenceResolver' Gx.Common.Attribution' Gx.Common.EvidenceReference,Gx.Agent.Address' Gx.Agent.Agent' Gedcomx.Model.Rt.GedcomxLocalReferenceResolver' Gx.Common.Attribution' Gx.Common.EvidenceReference
Cyclic Dependency,GEDCOM X Model,Gx.Agent,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Gx.Agent' Gx.Common' Gx.Links' Gx.Common,Gx.Agent.Address' Gx.Agent.Agent' Gx.Common.Attribution' Gx.Common.EvidenceReference' Gx.Links.HypermediaEnabledData,Gx.Agent.Address' Gx.Agent.Agent' Gx.Common.Attribution' Gx.Common.EvidenceReference' Gx.Links.HypermediaEnabledData
Cyclic Dependency,GEDCOM X Model,Gx.Agent,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Gx.Agent' Gx.Common' Gx.Links' Gedcomx.Model.Util' Gx.Common,Gx.Agent.Address' Gx.Agent.Agent' Gx.Common.Attribution' Gx.Common.EvidenceReference' Gx.Links.HypermediaEnabledData' Gedcomx.Model.Util.JsonHypermediaLinksConverter' Gedcomx.Model.Util.JsonIdentifiersConverter,Gx.Agent.Address' Gx.Agent.Agent' Gx.Common.Attribution' Gx.Common.EvidenceReference' Gx.Links.HypermediaEnabledData' Gedcomx.Model.Util.JsonHypermediaLinksConverter' Gedcomx.Model.Util.JsonIdentifiersConverter
Cyclic Dependency,GEDCOM X Model,Gx.Source,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Gx.Source' Gx.Conclusion,Gx.Source.DiscussionReference' Gx.Source.Coverage' Gx.Source.SourceCitation' Gx.Source.SourceDescription' Gx.Conclusion.Conclusion' Gx.Conclusion.DateInfo,Gx.Source.DiscussionReference' Gx.Source.Coverage' Gx.Source.SourceCitation' Gx.Source.SourceDescription' Gx.Conclusion.Conclusion' Gx.Conclusion.DateInfo
Cyclic Dependency,GEDCOM X Model,Gx.Source,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Gx.Source' Gedcomx.Model.Rt' Gx.Common,Gx.Source.DiscussionReference' Gx.Source.Coverage' Gx.Source.SourceCitation' Gx.Source.SourceDescription' Gedcomx.Model.Rt.GedcomxLocalReferenceResolver' Gx.Common.Attribution' Gx.Common.EvidenceReference,Gx.Source.DiscussionReference' Gx.Source.Coverage' Gx.Source.SourceCitation' Gx.Source.SourceDescription' Gedcomx.Model.Rt.GedcomxLocalReferenceResolver' Gx.Common.Attribution' Gx.Common.EvidenceReference
Cyclic Dependency,GEDCOM X Model,Gx.Source,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Gx.Source' Gx.Conclusion' Gx.Agent' Gx.Common,Gx.Source.DiscussionReference' Gx.Source.Coverage' Gx.Source.SourceCitation' Gx.Source.SourceDescription' Gx.Conclusion.Conclusion' Gx.Conclusion.DateInfo' Gx.Agent.Address' Gx.Agent.Agent' Gx.Common.Attribution' Gx.Common.EvidenceReference,Gx.Source.DiscussionReference' Gx.Source.Coverage' Gx.Source.SourceCitation' Gx.Source.SourceDescription' Gx.Conclusion.Conclusion' Gx.Conclusion.DateInfo' Gx.Agent.Address' Gx.Agent.Agent' Gx.Common.Attribution' Gx.Common.EvidenceReference
Cyclic Dependency,GEDCOM X Model,Gx.Source,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Gx.Source' Gedcomx.Model.Rt' Gx.Common' Gx.Agent' Gx.Common,Gx.Source.DiscussionReference' Gx.Source.Coverage' Gx.Source.SourceCitation' Gx.Source.SourceDescription' Gedcomx.Model.Rt.GedcomxLocalReferenceResolver' Gx.Common.Attribution' Gx.Common.EvidenceReference' Gx.Agent.Address' Gx.Agent.Agent,Gx.Source.DiscussionReference' Gx.Source.Coverage' Gx.Source.SourceCitation' Gx.Source.SourceDescription' Gedcomx.Model.Rt.GedcomxLocalReferenceResolver' Gx.Common.Attribution' Gx.Common.EvidenceReference' Gx.Agent.Address' Gx.Agent.Agent
Cyclic Dependency,GEDCOM X Model,Gx.Common,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Gx.Common' Gx.Conclusion' Gx.Agent,Gx.Common.Attribution' Gx.Common.EvidenceReference' Gx.Conclusion.Conclusion' Gx.Conclusion.DateInfo' Gx.Agent.Address' Gx.Agent.Agent,Gx.Common.Attribution' Gx.Common.EvidenceReference' Gx.Conclusion.Conclusion' Gx.Conclusion.DateInfo' Gx.Agent.Address' Gx.Agent.Agent
Cyclic Dependency,GEDCOM X Model,Gx.Common,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Gx.Common' Gx.Links' Gx.Source' Gx.Conclusion' Gx.Agent,Gx.Common.Attribution' Gx.Common.EvidenceReference' Gx.Links.HypermediaEnabledData' Gx.Source.DiscussionReference' Gx.Source.Coverage' Gx.Source.SourceCitation' Gx.Source.SourceDescription' Gx.Conclusion.Conclusion' Gx.Conclusion.DateInfo' Gx.Agent.Address' Gx.Agent.Agent,Gx.Common.Attribution' Gx.Common.EvidenceReference' Gx.Links.HypermediaEnabledData' Gx.Source.DiscussionReference' Gx.Source.Coverage' Gx.Source.SourceCitation' Gx.Source.SourceDescription' Gx.Conclusion.Conclusion' Gx.Conclusion.DateInfo' Gx.Agent.Address' Gx.Agent.Agent
Cyclic Dependency,GEDCOM X Model,Gx.Records,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Gx.Records' Gedcomx.Model.Rt,Gx.Records.Collection' Gx.Records.CollectionContent' Gx.Records.FieldValue' Gx.Records.RecordSet' Gedcomx.Model.Rt.GedcomxLocalReferenceResolver,Gx.Records.Collection' Gx.Records.CollectionContent' Gx.Records.FieldValue' Gx.Records.RecordSet' Gedcomx.Model.Rt.GedcomxLocalReferenceResolver
Cyclic Dependency,GEDCOM X Model,Gx.Records,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Gx.Records' Gedcomx.Model.Rt' Gx.Common,Gx.Records.Collection' Gx.Records.CollectionContent' Gx.Records.FieldValue' Gx.Records.RecordSet' Gedcomx.Model.Rt.GedcomxLocalReferenceResolver' Gx.Common.Attribution' Gx.Common.EvidenceReference,Gx.Records.Collection' Gx.Records.CollectionContent' Gx.Records.FieldValue' Gx.Records.RecordSet' Gedcomx.Model.Rt.GedcomxLocalReferenceResolver' Gx.Common.Attribution' Gx.Common.EvidenceReference
Cyclic Dependency,GEDCOM X Model,Gx.Records,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Gx.Records' Gx.Conclusion' Gx.Agent' Gx.Common,Gx.Records.Collection' Gx.Records.CollectionContent' Gx.Records.FieldValue' Gx.Records.RecordSet' Gx.Conclusion.Conclusion' Gx.Conclusion.DateInfo' Gx.Agent.Address' Gx.Agent.Agent' Gx.Common.Attribution' Gx.Common.EvidenceReference,Gx.Records.Collection' Gx.Records.CollectionContent' Gx.Records.FieldValue' Gx.Records.RecordSet' Gx.Conclusion.Conclusion' Gx.Conclusion.DateInfo' Gx.Agent.Address' Gx.Agent.Agent' Gx.Common.Attribution' Gx.Common.EvidenceReference
Cyclic Dependency,GEDCOM X Model,Gx.Records,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Gx.Records' Gedcomx.Model.Rt' Gx.Common' Gx.Agent' Gx.Common,Gx.Records.Collection' Gx.Records.CollectionContent' Gx.Records.FieldValue' Gx.Records.RecordSet' Gedcomx.Model.Rt.GedcomxLocalReferenceResolver' Gx.Common.Attribution' Gx.Common.EvidenceReference' Gx.Agent.Address' Gx.Agent.Agent,Gx.Records.Collection' Gx.Records.CollectionContent' Gx.Records.FieldValue' Gx.Records.RecordSet' Gedcomx.Model.Rt.GedcomxLocalReferenceResolver' Gx.Common.Attribution' Gx.Common.EvidenceReference' Gx.Agent.Address' Gx.Agent.Agent
Cyclic Dependency,GEDCOM X Model,Gx.Conclusion,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Gx.Conclusion' Gedcomx.Model.Util' Gx.Source,Gx.Conclusion.Conclusion' Gx.Conclusion.DateInfo' Gedcomx.Model.Util.JsonHypermediaLinksConverter' Gedcomx.Model.Util.JsonIdentifiersConverter' Gx.Source.DiscussionReference' Gx.Source.Coverage' Gx.Source.SourceCitation' Gx.Source.SourceDescription,Gx.Conclusion.Conclusion' Gx.Conclusion.DateInfo' Gedcomx.Model.Util.JsonHypermediaLinksConverter' Gedcomx.Model.Util.JsonIdentifiersConverter' Gx.Source.DiscussionReference' Gx.Source.Coverage' Gx.Source.SourceCitation' Gx.Source.SourceDescription
Cyclic Dependency,GEDCOM X Model,Gx.Conclusion,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Gx.Conclusion' Gedcomx.Model.Rt' Gx.Agent' Gx.Common' Gx.Source,Gx.Conclusion.Conclusion' Gx.Conclusion.DateInfo' Gedcomx.Model.Rt.GedcomxLocalReferenceResolver' Gx.Agent.Address' Gx.Agent.Agent' Gx.Common.Attribution' Gx.Common.EvidenceReference' Gx.Source.DiscussionReference' Gx.Source.Coverage' Gx.Source.SourceCitation' Gx.Source.SourceDescription,Gx.Conclusion.Conclusion' Gx.Conclusion.DateInfo' Gedcomx.Model.Rt.GedcomxLocalReferenceResolver' Gx.Agent.Address' Gx.Agent.Agent' Gx.Common.Attribution' Gx.Common.EvidenceReference' Gx.Source.DiscussionReference' Gx.Source.Coverage' Gx.Source.SourceCitation' Gx.Source.SourceDescription
Cyclic Dependency,GEDCOM X Model,Gx,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Gx' Gx.Records,Gx.Gedcomx' Gx.Records.Collection' Gx.Records.CollectionContent' Gx.Records.FieldValue' Gx.Records.RecordSet,Gx.Gedcomx' Gx.Records.Collection' Gx.Records.CollectionContent' Gx.Records.FieldValue' Gx.Records.RecordSet
