Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
Gx.Agent,Address,11,11,11,0,11,314,11,0,1,1,0,3,,Gx.Agent.Agent' Gedcomx.Rs.Api.Test.Examples.SamuelHamExampleTest' Gedcomx.Rs.Api.Test.Examples.WongAloiauExampleTest
Gx.Agent,Agent,8,17,8,0,17,327,23,0,1,0.65,6,14,Gx.Common.ResourceReference' Gedcomx.Model.Rt.IGedcomxModelVisitor' Gx.Common.TextValue' Gx.Conclusion.Identifier' Gx.Agent.OnlineAccount' Gx.Agent.Address,Gx.Source.SourceDescription' Gx.Common.Attribution' Gx.Gedcomx' Gedcomx.Model.Rt.GedcomxLocalReferenceResolver' Gedcomx.Model.Rt.IGedcomxModelVisitor' Gedcomx.Model.Rt.GedcomxModelVisitorBase' Gx.Fs.Rt.FamilySearchPlatformLocalReferenceResolver' Gx.Util.IGedcomxModelVisitor' Gx.Util.GedcomxModelVisitorBase' Gx.Util.GedcomxIdDictionary' Gedcomx.Rs.Api.Test.Examples.EmmaBocockExampleTest' Gedcomx.Rs.Api.Test.Examples.GeorgeMarthaWashingtonExampleTest' Gedcomx.Rs.Api.Test.Examples.SamuelHamExampleTest' Gedcomx.Rs.Api.Test.Examples.WongAloiauExampleTest
Gx.Agent,OnlineAccount,2,2,2,0,2,60,2,0,1,1,1,1,Gx.Common.ResourceReference,Gx.Agent.Agent
Gx.Source,DiscussionReference,3,2,3,0,2,79,2,0,1,1,1,1,Gx.Common.Attribution,FamilySearch.Api.Ft.FamilyTreePersonState
Gx.Source,CitationField,2,2,2,0,2,60,2,0,0,1,0,1,,Gx.Source.SourceCitation
Gx.Source,Coverage,3,4,4,0,4,116,4,0,1,1,3,2,Gx.Conclusion.PlaceReference' Gx.Conclusion.DateInfo' Gx.Types.RecordType,Gx.Source.SourceDescription' Gx.Util.RecordHelper
Gx.Source,Tag,1,2,1,0,2,30,2,0,0,1,1,1,Gedcomx.Model.Util.XmlQNameEnumUtil,Gedcomx.Rs.Api.Test.PersonTests
Gx.Source,SourceCitation,4,6,4,0,6,139,8,0,1,0.83,3,14,Gx.Common.ResourceReference' Gedcomx.Model.Rt.IGedcomxModelVisitor' Gx.Source.CitationField,Gx.Source.SourceDescription' Gedcomx.Model.Rt.GedcomxLocalReferenceResolver' Gedcomx.Model.Rt.IGedcomxModelVisitor' Gedcomx.Model.Rt.GedcomxModelVisitorBase' Gx.Fs.Rt.FamilySearchPlatformLocalReferenceResolver' Gx.Rs.Api.CollectionState' Gx.Util.IGedcomxModelVisitor' Gx.Util.GedcomxModelVisitorBase' Gx.Util.GedcomxIdDictionary' Gedcomx.Rs.Api.Test.Examples.EmmaBocockExampleTest' Gedcomx.Rs.Api.Test.Examples.GeorgeMarthaWashingtonExampleTest' Gedcomx.Rs.Api.Test.Examples.SamuelHamExampleTest' Gedcomx.Rs.Api.Test.Examples.WongAloiauExampleTest' Gedcomx.Rs.Api.Test.MemoriesTests
Gx.Source,SourceDescription,25,34,26,0,34,819,46,0,1,0.88,12,26,Gx.Common.ResourceReference' Gx.Source.SourceReference' Gx.Common.TextValue' Gx.Common.Attribution' Gedcomx.Model.Rt.IGedcomxModelVisitor' Gx.Types.ResourceType' Gx.Source.SourceCitation' Gx.Common.Note' Gx.Conclusion.Identifier' Gx.Source.Coverage' Gx.Records.Field' Gx.Agent.Agent,FamilySearch.Api.FamilySearchSourceDescriptionState' Gx.Source.SourceReference' Gx.Conclusion.Conclusion' Gx.Conclusion.Subject' Gx.Gedcomx' Gedcomx.Model.Rt.GedcomxLocalReferenceResolver' Gedcomx.Model.Rt.IGedcomxModelVisitor' Gedcomx.Model.Rt.GedcomxModelVisitorBase' Gx.Fs.Rt.FamilySearchPlatformLocalReferenceResolver' Gx.Rs.Api.CollectionsState' Gx.Rs.Api.CollectionState' Gx.Rs.Api.PersonState' Gx.Rs.Api.SourceDescriptionsState' Gx.Rs.Api.SourceDescriptionState' Gx.Util.IGedcomxModelVisitor' Gx.Util.GedcomxModelVisitorBase' Gx.Util.GedcomxIdDictionary' Gx.Util.RecordHelper' Gx.Util.FieldValueTableBuildingVisitor' Gedcomx.Rs.Api.Test.Examples.EmmaBocockExampleTest' Gedcomx.Rs.Api.Test.Examples.GeorgeMarthaWashingtonExampleTest' Gedcomx.Rs.Api.Test.Examples.SamuelHamExampleTest' Gedcomx.Rs.Api.Test.Examples.WongAloiauExampleTest' Gedcomx.Rs.Api.Test.MemoriesTests' Gedcomx.Rs.Api.Test.SourcesTests' Gedcomx.Rs.Api.Test.TestBacking
Gx.Source,SourceReference,4,6,4,0,6,143,8,0,1,0.67,4,19,Gx.Common.Attribution' Gedcomx.Model.Rt.IGedcomxModelVisitor' Gx.Source.SourceDescription' Gx.Common.Qualifier,FamilySearch.Api.Ft.ChildAndParentsRelationshipState' Gx.Source.SourceDescription' Gx.Conclusion.Conclusion' Gx.Conclusion.Subject' Gedcomx.Model.Rt.GedcomxLocalReferenceResolver' Gedcomx.Model.Rt.IGedcomxModelVisitor' Gedcomx.Model.Rt.GedcomxModelVisitorBase' Gx.Fs.Rt.FamilySearchPlatformLocalReferenceResolver' Gx.Rs.Api.PersonState' Gx.Rs.Api.RelationshipState' Gx.Util.IGedcomxModelVisitor' Gx.Util.GedcomxModelVisitorBase' Gx.Util.GedcomxIdDictionary' Gedcomx.Rs.Api.Test.Examples.GeorgeMarthaWashingtonExampleTest' Gedcomx.Rs.Api.Test.Examples.SamuelHamExampleTest' Gedcomx.Rs.Api.Test.Examples.WongAloiauExampleTest' Gedcomx.Rs.Api.Test.PersonTests' Gedcomx.Rs.Api.Test.SourcesTests' Gedcomx.Rs.Api.Test.TestBacking
