Design smell,Namespace,Class,File,Cause
Unnecessary Abstraction,DaggerLib.UI.Windows,AstarHelper,C:\repos\FerozAhmed_DSGraphEdit\DaggerLib.UI.Windows\DaggerNoodle.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: ' grid' pathCost' grain' diagonalCost
Unutilized Abstraction,DaggerLib.UI.Windows,DaggerGraphPropertyGrid,C:\repos\FerozAhmed_DSGraphEdit\DaggerLib.UI.Windows\DaggerPropertyGrid\DaggerGraphPropertyGrid.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Multifaceted Abstraction,DaggerLib.UI.Windows,DaggerUIGraph,C:\repos\FerozAhmed_DSGraphEdit\DaggerLib.UI.Windows\DaggerUIGraph.cs,The tool detected the smell in this class because the cohesion among the methods of this class is low. LCOM of this class is: 0.97
Duplicate Abstraction,DaggerLib.UI.Windows,DaggerUIGraph,C:\repos\FerozAhmed_DSGraphEdit\DaggerLib.UI.Windows\DaggerUIGraph.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are: DaggerUIGraph[1275' 1298]' DaggerUIGraph[1300' 1323]
Multifaceted Abstraction,DaggerLib.UI.Windows,DaggerUINode,C:\repos\FerozAhmed_DSGraphEdit\DaggerLib.UI.Windows\DaggerUINode.cs,The tool detected the smell in this class because the cohesion among the methods of this class is low. LCOM of this class is: 0.93
Imperative Abstraction,DaggerLib.UI.Windows,DaggerOverlay,C:\repos\FerozAhmed_DSGraphEdit\DaggerLib.UI.Windows\DaggerUIOverlay.cs,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: BeginOperations
Multifaceted Abstraction,DaggerLib.UI.Windows,GenericValueEditor,C:\repos\FerozAhmed_DSGraphEdit\DaggerLib.UI.Windows\GenericValueEditor.cs,The tool detected the smell in this class because the cohesion among the methods of this class is low. LCOM of this class is: 0.93
Unutilized Abstraction,DaggerLib.UI.Windows,DropDownForm,C:\repos\FerozAhmed_DSGraphEdit\DaggerLib.UI.Windows\GenericValueEditor.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Multifaceted Abstraction,DaggerLib.UI.Windows,Selector,C:\repos\FerozAhmed_DSGraphEdit\DaggerLib.UI.Windows\Selector.cs,The tool detected the smell in this class because the cohesion among the methods of this class is low. LCOM of this class is: 0.8
Multifaceted Abstraction,DaggerLib.UI.Windows,SimpleImageButton,C:\repos\FerozAhmed_DSGraphEdit\DaggerLib.UI.Windows\SimpleImageButton.cs,The tool detected the smell in this class because the cohesion among the methods of this class is low. LCOM of this class is: 0.9
Unutilized Abstraction,DaggerLib.UI.Windows,SimpleImageButtonDesigner,C:\repos\FerozAhmed_DSGraphEdit\DaggerLib.UI.Windows\SimpleImageButton.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Imperative Abstraction,PropertyGridEx,CustomProperty,C:\repos\FerozAhmed_DSGraphEdit\DaggerLib.UI.Windows\DaggerPropertyGrid\PropertyGridEx\CustomProperty.cs,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: RebuildAttributes
Multifaceted Abstraction,PropertyGridEx,CustomProperty,C:\repos\FerozAhmed_DSGraphEdit\DaggerLib.UI.Windows\DaggerPropertyGrid\PropertyGridEx\CustomProperty.cs,The tool detected the smell in this class because the cohesion among the methods of this class is low. LCOM of this class is: 0.87
Unutilized Abstraction,PropertyGridEx,PropertyGridEx,C:\repos\FerozAhmed_DSGraphEdit\DaggerLib.UI.Windows\DaggerPropertyGrid\PropertyGridEx\PropertyGridEx.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Deficient Encapsulation,DaggerLib.UI.AStar,Cell,C:\repos\FerozAhmed_DSGraphEdit\DaggerLib.UI.Windows\AStar\Grid.cs,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: BackDirection' CellCost' CurrentCost' EstimatedCost' TurnCount' iHeapIndex
Unexloited Encapsulation,DaggerLib.UI.Windows,BasePinContextMenuStrip,C:\repos\FerozAhmed_DSGraphEdit\DaggerLib.UI.Windows\BasePinContextMenuStrip.cs,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: DaggerOutputPin' DaggerInputPin (in method "OnOpening" of class "BasePinContextMenuStrip").
Deficient Encapsulation,DaggerLib.UI.Windows,DaggerNodeTreeViewSubnodeItem,C:\repos\FerozAhmed_DSGraphEdit\DaggerLib.UI.Windows\DaggerNodeTreeView.cs,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: Category' SubnodeName' ReadOnly' DaggerNodeSerializedBuffer' DaggerNodeType' ToolTipText' InputpinTypes' OutputPinTypes
Deficient Encapsulation,DaggerLib.UI.Windows,DaggerNoodle,C:\repos\FerozAhmed_DSGraphEdit\DaggerLib.UI.Windows\DaggerNoodle.cs,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: path
Deficient Encapsulation,DaggerLib.UI.Windows,AstarHelper,C:\repos\FerozAhmed_DSGraphEdit\DaggerLib.UI.Windows\DaggerNoodle.cs,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: grid' pathCost' grain' diagonalCost
Deficient Encapsulation,DaggerLib.UI.Windows,DaggerNoodleBisector,C:\repos\FerozAhmed_DSGraphEdit\DaggerLib.UI.Windows\DaggerNoodleBisector.cs,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: Noodle' BisectLocation
