Method,LOC,CC,PC
YAMPSetsFunctionNotMemberException:YAMPSetsFunctionNotMemberException,2,1,1
BitHelper:BitHelper,4,1,2
BitHelper:MarkBit,17,3,1
BitHelper:IsMarked,18,3,1
BitHelper:ToIntArrayLength,3,1,1
EnumerableHelpers:ToArray,6,1,1
EnumerableHelpers:ToArray,73,3,2
SortedSet<T>:SortedSet,3,1,0
SortedSet<T>:SortedSet,10,2,1
SortedSet<T>:SortedSet,1,1,1
SortedSet<T>:SortedSet,75,8,2
SortedSet<T>:AddAllElements,7,3,1
SortedSet<T>:RemoveAllElements,9,3,1
SortedSet<T>:ContainsAllElements,10,3,1
SortedSet<T>:InOrderTreeWalk,3,1,1
SortedSet<T>:InOrderTreeWalk,32,6,2
SortedSet<T>:BreadthFirstTreeWalk,26,6,1
SortedSet<T>:VersionCheck,1,1,0
SortedSet<T>:IsWithinRange,3,1,1
SortedSet<T>:Add,3,1,1
SortedSet<T>:Add,3,1,1
SortedSet<T>:AddIfNotPresent,68,8,1
SortedSet<T>:Remove,3,1,1
SortedSet<T>:DoRemove,140,9,1
SortedSet<T>:Clear,5,1,0
SortedSet<T>:Contains,3,1,1
SortedSet<T>:CopyTo,1,1,1
SortedSet<T>:CopyTo,1,1,2
SortedSet<T>:CopyTo,39,5,3
SortedSet<T>:CopyTo,50,7,2
SortedSet<T>:GetEnumerator,3,1,0
SortedSet<T>:GetEnumerator,3,1,0
SortedSet<T>:GetEnumerator,3,1,0
SortedSet<T>:GetSibling,7,2,2
SortedSet<T>:InsertionBalance,20,2,4
SortedSet<T>:Is2Node,4,1,1
SortedSet<T>:Is4Node,3,1,1
SortedSet<T>:IsBlack,3,1,1
SortedSet<T>:IsNullOrBlack,3,1,1
SortedSet<T>:IsRed,3,1,1
SortedSet<T>:Merge2Nodes,7,1,3
SortedSet<T>:ReplaceChildOfNodeOrRoot,17,3,3
SortedSet<T>:ReplaceNode,28,3,4
SortedSet<T>:FindNode,16,3,1
SortedSet<T>:InternalIndexOf,18,3,1
SortedSet<T>:FindRange,3,1,2
SortedSet<T>:FindRange,22,3,4
SortedSet<T>:UpdateVersion,3,1,0
SortedSet<T>:RotateLeft,6,1,1
SortedSet<T>:RotateLeftRight,9,1,1
SortedSet<T>:RotateRight,6,1,1
SortedSet<T>:RotateRightLeft,9,1,1
SortedSet<T>:RotationNeeded,19,3,3
SortedSet<T>:AreComparersEqual,3,1,2
SortedSet<T>:Split4Node,5,1,1
SortedSet<T>:UnionWith,68,8,1
SortedSet<T>:ConstructRootFromSortedArray,71,4,4
SortedSet<T>:IntersectWith,55,7,1
SortedSet<T>:IntersectWithEnumerable,14,3,1
SortedSet<T>:ExceptWith,36,9,1
SortedSet<T>:SymmetricExceptWith,30,5,1
SortedSet<T>:SymmetricExceptWithSameEC,18,3,1
SortedSet<T>:SymmetricExceptWithSameEC,25,6,2
SortedSet<T>:IsSubsetOf,24,5,1
SortedSet<T>:IsSubsetOfSortedSetWithSameEC,9,3,1
SortedSet<T>:IsProperSubsetOf,26,6,1
SortedSet<T>:IsSupersetOf,26,7,1
SortedSet<T>:IsProperSupersetOf,32,8,1
SortedSet<T>:SetEquals,29,5,1
SortedSet<T>:Overlaps,24,7,1
SortedSet<T>:CheckUniqueAndUnfoundElements,62,7,2
SortedSet<T>:RemoveWhere,26,4,1
SortedSet<T>:Reverse,7,2,0
SortedSet<T>:GetViewBetween,8,2,2
SortedSet<T>:versionUpToDate,3,1,0
SortedSet<T>:log2,10,2,1
TreeSubSet:versionUpToDate,3,1,0
TreeSubSet:TreeSubSet,11,1,5
TreeSubSet:AddIfNotPresent,13,2,1
TreeSubSet:Contains,7,1,1
TreeSubSet:DoRemove,12,2,1
TreeSubSet:Clear,16,3,0
TreeSubSet:IsWithinRange,13,3,1
TreeSubSet:InOrderTreeWalk,53,8,2
TreeSubSet:BreadthFirstTreeWalk,27,6,1
TreeSubSet:FindNode,11,2,1
TreeSubSet:InternalIndexOf,13,3,1
TreeSubSet:VersionCheck,3,1,0
TreeSubSet:VersionCheckImpl,10,2,0
TreeSubSet:GetViewBetween,16,3,2
TreeSubSet:IntersectWithEnumerable,16,3,1
Node:Node,5,1,1
Node:Node,5,1,2
Enumerator:Enumerator,12,1,1
Enumerator:Enumerator,12,1,2
Enumerator:Intialize,23,3,0
Enumerator:MoveNext,37,5,0
Enumerator:Dispose,2,1,0
Enumerator:Reset,9,2,0
Enumerator:Reset,3,1,0
NewSetFunction:Function,23,3,2
NewRandomSetFunction:Function,3,1,3
NewRandomSetFunction:Function,10,2,4
NewSortedSetFunction:Function,23,3,2
TAddFunction:Function,11,2,2
TAsSortFunction:Function,4,1,1
TContainsFunction:Function,4,1,2
TCountFunction:Function,5,2,1
TEqualsFunction:Function,4,1,2
TExceptFunction:Function,3,1,2
TIntersectFunction:Function,3,1,2
TIsProperSubsetOfFunction:Function,4,1,2
TIsProperSupersetOfFunction:Function,4,1,2
TIsSortedFunction:Function,4,1,1
TIsSubsetOfFunction:Function,4,1,2
TIsSupersetOfFunction:Function,4,1,2
TOverlapsFunction:Function,4,1,2
TRemoveFunction:Function,11,2,2
TToMatrixFunction:Function,3,1,1
TUnionFunction:Function,3,1,2
TAsUnsortFunction:Function,4,1,1
TExceptXorFunction:Function,3,1,2
IntersectOperator:IntersectOperator,2,1,0
IntersectOperator:Perform,3,1,2
IntersectOperator:Create,3,1,0
SetsPlugin:SetsPlugin,2,1,0
SetValue:SetValue,2,1,0
SetValue:SetValue,2,1,1
SetValue:SetValue,2,1,2
SetValue:SetValue,2,1,2
SetValue:SetValue,5,1,3
SetValue:SetValue,9,2,3
SetValue:CreateSet,3,1,1
SetValue:CreateSet,5,2,2
SetValue:Copy,3,1,0
