Design smell,Namespace,Class,File,Cause
Unutilized Abstraction,Anotar.Log4Net,LogTo,C:\repos\Fody_Anotar\Log4NetReferenceAssembly\LogTo.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,Anotar.Log4Net,LogToFatalOnExceptionAttribute,C:\repos\Fody_Anotar\Log4NetReferenceAssembly\LogToFatalOnExceptionAttribute.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
Unutilized Abstraction,Anotar.Log4Net,LogToFatalOnExceptionAttribute,C:\repos\Fody_Anotar\Log4NetReferenceAssembly\LogToFatalOnExceptionAttribute.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,Anotar.Log4Net,LogMinimalMessageAttribute,C:\repos\Fody_Anotar\Log4NetReferenceAssembly\LogMinimalMessageAttribute.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
Unutilized Abstraction,Anotar.Log4Net,LogMinimalMessageAttribute,C:\repos\Fody_Anotar\Log4NetReferenceAssembly\LogMinimalMessageAttribute.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,Anotar.Log4Net,LogToDebugOnExceptionAttribute,C:\repos\Fody_Anotar\Log4NetReferenceAssembly\LogToDebugOnExceptionAttribute.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
Unutilized Abstraction,Anotar.Log4Net,LogToDebugOnExceptionAttribute,C:\repos\Fody_Anotar\Log4NetReferenceAssembly\LogToDebugOnExceptionAttribute.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,Anotar.Log4Net,LogToErrorOnExceptionAttribute,C:\repos\Fody_Anotar\Log4NetReferenceAssembly\LogToErrorOnExceptionAttribute.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
Unutilized Abstraction,Anotar.Log4Net,LogToErrorOnExceptionAttribute,C:\repos\Fody_Anotar\Log4NetReferenceAssembly\LogToErrorOnExceptionAttribute.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,Anotar.Log4Net,LogToInfoOnExceptionAttribute,C:\repos\Fody_Anotar\Log4NetReferenceAssembly\LogToInfoOnExceptionAttribute.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
Unutilized Abstraction,Anotar.Log4Net,LogToInfoOnExceptionAttribute,C:\repos\Fody_Anotar\Log4NetReferenceAssembly\LogToInfoOnExceptionAttribute.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,Anotar.Log4Net,LogToWarnOnExceptionAttribute,C:\repos\Fody_Anotar\Log4NetReferenceAssembly\LogToWarnOnExceptionAttribute.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
Unutilized Abstraction,Anotar.Log4Net,LogToWarnOnExceptionAttribute,C:\repos\Fody_Anotar\Log4NetReferenceAssembly\LogToWarnOnExceptionAttribute.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,JetBrains.Annotations,StringFormatMethodAttribute,C:\repos\Fody_Anotar\Log4NetReferenceAssembly\StringFormatMethodAttribute.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Insufficient Modularization,Anotar.Log4Net,LogTo,C:\repos\Fody_Anotar\Log4NetReferenceAssembly\LogTo.cs,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 30 public methods
Insufficient Modularization,Anotar.Log4Net,LogTo,C:\repos\Fody_Anotar\Log4NetReferenceAssembly\LogTo.cs,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 30 methods
