Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
Grid,0,2,1,0,2,58,2,0,2,-1,5,0
DownloadManagerInterface,3,8,0,0,3,96,9,0,0,0,4,1
DownloadUserJob,4,6,0,0,4,82,10,0,1,0.33,1,1
SortTypeComparer,1,2,1,0,2,14,2,0,0,1,0,0
PodcastFeedPropertiesDialog,9,8,2,0,1,203,18,0,0,0.25,9,0
PodcastPropertiesDialog,1,4,0,0,1,90,8,0,0,0.5,3,0
PodcastSubscribeDialog,4,3,3,0,1,110,7,0,0,0,3,1
SyncPreferenceComboBox,1,2,1,0,2,24,3,0,0,1,1,0
ColumnCellPodcast,4,3,0,0,3,99,10,0,1,0,6,0
PodcastActions,3,27,3,0,1,385,63,0,1,0.41,14,1
ColumnCellPublished,0,1,0,0,1,8,1,0,1,-1,0,0
PodcastFeedView,1,2,0,0,1,15,2,0,2,1,1,1
PodcastUnheardFilterView,0,1,0,0,1,9,1,0,2,-1,1,1
ColumnCellUnheard,0,2,0,0,1,17,3,0,0,-1,2,1
PodcastFeedModel,0,3,1,0,2,26,3,0,2,-1,5,2
PodcastSource,3,9,14,0,4,302,12,0,5,1,12,6
PodcastSourceContents,6,5,3,2,3,76,10,0,2,0.4,5,0
OldNewFilter,0,0,0,0,0,5,0,0,0,-1,0,1
PodcastUnheardFilterModel,0,4,1,0,4,42,5,0,4,-1,1,1
PodcastTrackListModel,0,4,3,0,3,73,20,0,2,-1,8,1
ColumnCellPodcastStatusIndicator,0,5,1,0,3,51,14,0,1,-1,5,1
ColumnCellYesNo,2,2,0,0,1,17,3,0,0,0,0,0
PodcastEpisodePage,6,4,5,0,3,73,5,0,1,0.5,5,0
PodcastService,11,23,1,0,6,552,60,0,2,0.13,22,4
PodcastImportManager,0,2,0,0,2,17,3,0,2,-1,3,0
PodcastImageFetchJob,1,3,0,0,3,33,9,0,3,0,5,0
ItmsPodcast,3,3,2,0,1,63,9,0,0,0,1,1
PodcastItemActivity,0,0,0,0,0,11,0,0,0,-1,0,2
PodcastTrackInfo,2,7,11,0,5,153,17,0,1,0.29,8,7
