Method,LOC,CC,PC
Artist:Artist,2,1,1
Artist:Artist,4,1,2
Artist:Artist,2,1,1
Artist:CreateIncCore,4,1,1
Artist:LoadMissingDataCore,5,1,0
Artist:ProcessAttributes,10,6,1
Artist:ProcessXmlCore,16,9,1
Artist:GetName,3,1,0
Artist:GetArtistType,3,1,0
Artist:GetReleases,3,1,0
Artist:GetReleases,3,1,1
Artist:Get,5,2,1
Artist:Query,5,2,1
Artist:QueryLucene,5,2,1
ArtistReleaseType:ArtistReleaseType,2,1,2
ArtistReleaseType:ArtistReleaseType,2,1,2
ArtistReleaseType:ArtistReleaseType,7,1,3
ArtistReleaseType:ArtistReleaseType,5,1,2
ArtistReleaseType:Format,4,1,3
ArtistReleaseType:ToString,3,1,0
ArtistReleaseType:Equals,3,1,1
ArtistReleaseType:GetHashCode,3,1,0
Disc:Disc,2,1,0
Disc:Disc,6,1,1
Event:Event,14,2,1
Label:Label,2,1,1
Label:Label,2,1,1
Label:LoadMissingDataCore,6,1,0
Label:ProcessAttributes,3,1,1
Label:ProcessXmlCore,6,2,1
Label:GetCountry,3,1,0
Label:GetLabelType,3,1,0
Label:Get,5,2,1
Label:Query,5,2,1
Label:QueryLucene,5,2,1
LocalDisc:LocalDisc,2,1,0
LocalDisc:Init,8,2,0
LocalDisc:GenerateId,26,5,0
LocalDisc:GetTrackDurations,3,1,0
LocalDisc:BuildSubmissionUrl,19,2,0
LocalDisc:GetFromDevice,22,6,1
LocalDiscException:LocalDiscException,2,1,1
LocalDiscException:LocalDiscException,2,1,1
MusicBrainzEntity:MusicBrainzEntity,2,1,2
MusicBrainzEntity:MusicBrainzEntity,2,1,2
MusicBrainzEntity:CreateIncCore,5,2,1
MusicBrainzEntity:LoadMissingDataCore,10,2,1
MusicBrainzEntity:ProcessXmlCore,29,22,1
MusicBrainzEntity:CreateNameParameter,6,1,1
MusicBrainzEntity:GetName,3,1,0
MusicBrainzEntity:GetSortName,3,1,0
MusicBrainzEntity:GetDisambiguation,3,1,0
MusicBrainzEntity:GetBeginDate,3,1,0
MusicBrainzEntity:GetEndDate,3,1,0
MusicBrainzEntity:GetAliases,3,1,0
MusicBrainzEntity:ToString,3,1,0
MusicBrainzInvalidParameterException:MusicBrainzInvalidParameterException,2,1,0
MusicBrainzNotFoundException:MusicBrainzNotFoundException,2,1,0
MusicBrainzUnauthorizedException:MusicBrainzUnauthorizedException,2,1,0
MusicBrainzItem:MusicBrainzItem,2,1,1
MusicBrainzItem:MusicBrainzItem,4,2,3
MusicBrainzItem:CreateIncCore,5,2,1
MusicBrainzItem:LoadMissingDataCore,6,2,1
MusicBrainzItem:ProcessXmlCore,13,9,1
MusicBrainzItem:GetTitle,3,1,0
MusicBrainzItem:GetArtist,3,1,0
MusicBrainzItem:ToString,3,1,0
ItemQueryParameters:ItemQueryParameters,2,1,0
ItemQueryParameters:ToStringCore,1,1,1
ItemQueryParameters:ToString,29,7,0
MusicBrainzObject:MusicBrainzObject,4,1,2
MusicBrainzObject:MusicBrainzObject,4,1,2
MusicBrainzObject:CreateInc,5,1,0
MusicBrainzObject:CreateFromId,8,1,2
MusicBrainzObject:CreateFromXml,30,17,1
MusicBrainzObject:ProcessXml,5,1,1
MusicBrainzObject:CreateIncCore,4,2,1
MusicBrainzObject:AppendIncParameters,4,1,2
MusicBrainzObject:AppendIncParameters,6,1,3
MusicBrainzObject:AppendIncParameters,4,3,2
MusicBrainzObject:LoadMissingData,6,2,0
MusicBrainzObject:LoadMissingDataCore,9,2,1
MusicBrainzObject:GetPropertyOrNull,5,2,1
MusicBrainzObject:GetPropertyOrDefault,3,1,1
MusicBrainzObject:GetPropertyOrDefault,5,2,2
MusicBrainzObject:GetPropertyOrNew,3,1,1
MusicBrainzObject:GetPropertyOrNew,5,2,2
MusicBrainzObject:ProcessXmlCore,4,1,1
MusicBrainzObject:ProcessAttributes,2,1,1
MusicBrainzObject:LoadMissingDataCore,1,1,0
MusicBrainzObject:GetArtistRelations,3,1,0
MusicBrainzObject:GetReleaseRelations,3,1,0
MusicBrainzObject:GetTrackRelations,3,1,0
MusicBrainzObject:GetLabelRelations,3,1,0
MusicBrainzObject:GetUrlRelations,3,1,0
MusicBrainzObject:Equals,3,1,1
MusicBrainzObject:GetHashCode,3,1,0
MusicBrainzObject:CreateRelation,18,3,1
MusicBrainzObject:CreateUrlRelation,13,3,1
MusicBrainzObject:CreateUrl,13,3,4
MusicBrainzObject:CreateUrl,10,1,3
MusicBrainzObject:XmlProcessingClosure,60,20,2
MusicBrainzObject:CreateLuceneParameter,6,1,1
MusicBrainzObject:Query,14,1,5
MusicBrainzObject:ConstructMusicBrainzObjectFromXml,8,1,1
MusicBrainzService:OnXmlRequest,5,2,2
Query:LoadResults,3,1,0
Query:Query,4,1,2
Query:First,7,1,0
Query:PerfectMatch,8,1,0
Query:Best,3,1,0
Query:Best,7,3,1
Query:GetEnumerator,4,3,0
Query:GetEnumerator,3,1,0
QueryableAttribute:QueryableAttribute,3,1,1
QueryableMemberAttribute:QueryableMemberAttribute,4,1,2
RelationBase:RelationBase,8,1,6
Relation:Relation,2,1,6
UrlRelation:UrlRelation,2,1,6
Release:Release,2,1,1
Release:Release,2,1,1
Release:CreateIncCore,10,3,1
Release:LoadMissingDataCore,14,3,0
Release:ProcessAttributes,15,5,1
Release:ProcessXmlCore,49,33,1
Release:GetTitle,3,1,0
Release:GetReleaseType,3,1,0
Release:GetReleaseStatus,3,1,0
Release:GetLanguage,3,1,0
Release:GetScript,3,1,0
Release:GetAsin,3,1,0
Release:GetDiscs,3,1,0
Release:GetEvents,3,1,0
Release:GetTracks,3,1,0
Release:Get,5,2,1
Release:Query,7,2,1
Release:Query,10,3,2
Release:Query,7,2,1
Release:Query,5,2,1
Release:QueryFromDevice,7,2,1
Release:QueryLucene,5,2,1
ReleaseQueryParameters:ToStringCore,22,6,1
Track:Track,2,1,1
Track:Track,2,1,1
Track:Track,2,1,3
Track:CreateIncCore,9,4,1
Track:LoadMissingDataCore,11,4,0
Track:ProcessXmlCore,37,24,1
Track:GetTitle,3,1,0
Track:GetDuration,3,1,0
Track:GetReleases,3,1,0
Track:GetPuids,3,1,0
Track:GetIsrcs,3,1,0
Track:GetTrackNumber,8,4,1
Track:Get,5,2,1
Track:Query,7,2,1
Track:Query,10,3,2
Track:Query,13,4,3
Track:Query,5,2,1
Track:QueryLucene,5,2,1
TrackQueryParameters:ToStringCore,22,6,1
Utils:EnumToString,6,1,1
Utils:EnumToString,8,3,2
Utils:StringToEnum,3,1,1
Utils:StringToEnumOrNull,7,4,1
Utils:PercentEncode,12,5,2
XmlRequestEventArgs:XmlRequestEventArgs,4,1,2
DiscFreeBsd:open,1,1,2
DiscFreeBsd:close,1,1,1
DiscFreeBsd:cd_read_toc_header,1,1,3
DiscFreeBsd:cd_read_toc_header,3,1,2
DiscFreeBsd:cd_read_toc_entrys,1,1,3
DiscFreeBsd:cd_read_toc_entrys,3,1,2
DiscFreeBsd:DiscFreeBsd,42,6,1
DiscLinux:open,1,1,2
DiscLinux:close,1,1,1
DiscLinux:read_toc_header,1,1,3
DiscLinux:read_toc_header,3,1,2
DiscLinux:read_multisession,1,1,3
DiscLinux:read_multisession,3,1,2
DiscLinux:read_toc_entry,1,1,3
DiscLinux:read_toc_entry,3,1,2
DiscLinux:ReadTocHeader,14,2,1
DiscLinux:ReadTocEntry,9,2,3
DiscLinux:ReadLeadout,10,2,2
DiscLinux:DiscLinux,21,5,1
DiscWin32:mciSendString,1,1,4
DiscWin32:mciGetErrorString,1,1,3
DiscWin32:DiscWin32,23,3,1
DiscWin32:MciClosure,8,3,3
