Method,LOC,CC,PC
AnonymousConnection:Get,3,1,2
AnonymousConnection:Delete,3,1,2
AnonymousConnection:Put,3,1,3
AnonymousConnection:Post,3,1,3
AnonymousConnection:WebRequest,19,1,2
AnonymousConnection:BuildUri,15,3,2
CertificateManager:CheckValidationResult,15,2,4
IWebConnection:Get,0,1,2
IWebConnection:Delete,0,1,2
IWebConnection:Put,0,1,3
IWebConnection:Post,0,1,3
NoteInfo:ParseJson,8,1,1
NoteInfo:ParseJson,55,14,1
NoteInfo:ToUpdateObject,43,13,0
OAuth:OAuth,3,1,0
OAuth:GetAuthorizationUrl,16,3,0
OAuth:GetAccessAfterAuthorization,21,5,0
OAuth:Get,5,1,2
OAuth:Delete,5,1,2
OAuth:Put,5,1,3
OAuth:Post,5,1,3
OAuth:WebRequest,29,6,3
OAuth:MakeWebRequest,39,5,4
OAuth:BuildUri,15,3,2
ResourceReference:ParseJson,13,4,1
RootInfo:GetRoot,6,1,2
RootInfo:ParseJson,22,3,1
UserInfo:GetUser,8,1,2
UserInfo:ParseJson,32,5,1
UserInfo:GetNotes,3,1,2
UserInfo:GetNotes,13,3,3
UserInfo:UpdateNotes,16,2,2
UserInfo:ParseJsonNotes,16,2,2
UserInfo:ParseJsonNoteArray,9,3,1
UserInfo:CreateNoteChangesJsonString,16,3,2
Deserializer:Deserializer,1,1,0
Deserializer:Deserializer,1,1,1
Deserializer:Deserializer,1,1,1
Deserializer:Deserializer,1,1,1
Deserializer:SetInput,4,1,1
Deserializer:SetInput,4,1,1
Deserializer:SetInput,4,1,1
Deserializer:Deserialize,8,2,0
Deserializer:Parse,9,2,1
Deserializer:ParseObject,29,5,0
Deserializer:ParseArray,19,4,0
Deserializer:CheckScan,3,1,1
Deserializer:CheckScan,11,2,2
Deserializer:UnexpectedToken,4,1,2
Deserializer:UnexpectedEof,3,1,1
IJsonCollection:Dump,0,1,0
IJsonCollection:Dump,0,1,1
JsonArray:Dump,3,1,0
JsonArray:Dump,17,4,1
JsonObject:Dump,3,1,0
JsonObject:Dump,17,4,1
Serializer:Serializer,1,1,0
Serializer:Serializer,1,1,1
Serializer:SetInput,3,1,1
Serializer:Serialize,3,1,0
Serializer:SerializeBool,3,1,1
Serializer:SerializeInt,3,1,1
Serializer:SerializeDouble,3,1,1
Serializer:SerializeString,12,1,1
Serializer:SerializeArray,10,3,1
Serializer:SerializeObject,14,3,1
Serializer:Serialize,25,8,1
Token:Token,2,1,1
Token:Token,4,1,2
Token:Number,3,1,1
Token:Integer,3,1,1
Token:String,3,1,1
Token:Bool,3,1,1
Tokenizer:Tokenizer,1,1,0
Tokenizer:Tokenizer,1,1,1
Tokenizer:Tokenizer,1,1,1
Tokenizer:Tokenizer,1,1,1
Tokenizer:Reset,7,1,0
Tokenizer:SetInput,4,1,1
Tokenizer:SetInput,3,1,1
Tokenizer:SetInput,3,1,1
Tokenizer:ReadChar,4,1,0
Tokenizer:UnexpectedCharacter,4,1,1
Tokenizer:InvalidSyntax,4,1,1
Tokenizer:GetStringBuilder,9,2,0
Tokenizer:LexString,46,6,0
Tokenizer:LexId,8,1,0
Tokenizer:LexInt,3,1,0
Tokenizer:LexInt,23,1,2
Tokenizer:LexFraction,15,3,0
Tokenizer:LexNumber,45,8,1
Tokenizer:Scan,10,2,0
Tokenizer:InnerScan,49,4,0
ChunkedInputStream:ChunkedInputStream,5,1,5
ChunkedInputStream:Read,4,1,3
ChunkedInputStream:BeginRead,40,8,5
ChunkedInputStream:OnRead,23,2,1
ChunkedInputStream:EndRead,12,5,1
ChunkedInputStream:Close,6,2,0
ReadBufferState:ReadBufferState,7,1,4
ChunkStream:ChunkStream,3,1,4
ChunkStream:ChunkStream,6,1,1
ChunkStream:ResetBuffer,5,1,0
ChunkStream:WriteAndReadBack,5,2,4
ChunkStream:Read,3,1,3
ChunkStream:ReadFromChunks,18,5,3
ChunkStream:Write,3,1,3
ChunkStream:InternalWrite,35,10,3
ChunkStream:ReadBody,14,3,3
ChunkStream:GetChunkSize,44,12,3
ChunkStream:ReadCRLF,13,5,3
ChunkStream:ReadTrailer,41,10,3
ChunkStream:ThrowProtocolViolation,4,1,1
Chunk:Chunk,3,1,1
Chunk:Read,6,1,3
EndPointListener:EndPointListener,14,1,3
EndPointListener:OnAccept,28,3,1
EndPointListener:BindContext,11,2,1
EndPointListener:UnbindContext,9,3,1
EndPointListener:SearchListener,49,5,3
EndPointListener:MatchFromList,19,5,4
EndPointListener:AddSpecial,9,4,2
EndPointListener:RemoveSpecial,13,4,2
EndPointListener:CheckIfRemove,9,4,0
EndPointListener:Close,3,1,0
EndPointListener:AddPrefix,25,1,2
EndPointListener:RemovePrefix,15,1,2
EndPointManager:EndPointManager,2,1,0
EndPointManager:AddListener,16,1,1
EndPointManager:AddPrefix,5,1,2
EndPointManager:AddPrefixInternal,10,3,2
EndPointManager:GetEPListener,17,3,4
EndPointManager:RemoveEndPoint,9,1,2
EndPointManager:RemoveListener,7,1,1
EndPointManager:RemovePrefix,5,1,2
EndPointManager:RemovePrefixInternal,9,3,2
IHttpListenerContextBinder:BindContext,0,1,1
IHttpListenerContextBinder:UnbindContext,0,1,1
HttpConnection:HttpConnection,6,1,2
HttpConnection:Init,12,1,0
HttpConnection:BeginReadRequest,9,2,0
HttpConnection:GetRequestStream,15,3,2
HttpConnection:GetResponseStream,8,2,0
HttpConnection:OnRead,37,6,1
HttpConnection:ProcessInput,31,8,1
HttpConnection:ReadLine,24,5,4
HttpConnection:SendError,13,2,2
HttpConnection:SendError,3,1,0
HttpConnection:Close,32,6,0
HttpListener:HttpListener,7,1,0
HttpListener:Abort,8,3,0
HttpListener:Close,10,3,0
HttpListener:Close,5,1,1
HttpListener:Cleanup,21,1,1
HttpListener:BeginGetContext,18,2,2
HttpListener:EndGetContext,20,5,1
HttpListener:GetContext,7,2,0
HttpListener:Start,7,2,0
HttpListener:Stop,5,1,0
HttpListener:Dispose,6,2,0
