Namespace,Type,Method,LOC,CC,PC
Gallio.VisualStudio.Shell.Core,BaseShellExtension,Initialize,2,1,0
Gallio.VisualStudio.Shell.Core,BaseShellExtension,Shutdown,2,1,0
Gallio.VisualStudio.Shell.Core,IShell,GetVsService,0,1,1
Gallio.VisualStudio.Shell.Core,IShell,GetVsService,0,1,1
Gallio.VisualStudio.Shell.Core,IShell,ProfferVsService,0,1,2
Gallio.VisualStudio.Shell.Core,IShellExtension,Initialize,0,1,0
Gallio.VisualStudio.Shell.Core,IShellExtension,Shutdown,0,1,0
Gallio.VisualStudio.Shell.Core,ShellException,ShellException,2,1,0
Gallio.VisualStudio.Shell.Core,ShellException,ShellException,2,1,1
Gallio.VisualStudio.Shell.Core,ShellException,ShellException,2,1,2
Gallio.VisualStudio.Shell.Core,ShellException,ShellException,2,1,2
Gallio.VisualStudio.Shell.UI.Commands,CommandTraits,CommandTraits,8,3,2
Gallio.VisualStudio.Shell.UI.Commands,BaseCommand,Execute,2,1,1
Gallio.VisualStudio.Shell.UI.Commands,BaseCommand,Update,2,1,1
Gallio.VisualStudio.Shell.UI.Commands,ICommand,Execute,0,1,1
Gallio.VisualStudio.Shell.UI.Commands,ICommand,Update,0,1,1
Gallio.VisualStudio.Shell.UI.ToolWindows,IToolWindowPane,Close,0,1,0
Gallio.VisualStudio.Shell.UI.ToolWindows,IToolWindowPane,Show,0,1,0
Gallio.VisualStudio.Shell.UI.ToolWindows,IToolWindowPane,Hide,0,1,0
Gallio.VisualStudio.Shell.UI.ToolWindows,IToolWindowManager,FindToolWindow,0,1,1
Gallio.VisualStudio.Shell.UI.ToolWindows,IToolWindowManager,OpenToolWindow,0,1,2
Gallio.VisualStudio.Shell.UI.ToolWindows,IToolWindowManager,CloseToolWindow,0,1,1
Gallio.VisualStudio.Shell.UI.ToolWindows,ToolWindowContainer,ToolWindowContainer,4,1,1
Gallio.VisualStudio.Shell.UI.ToolWindows,ToolWindowContainer,InitializeComponent,10,1,0
Gallio.VisualStudio.Shell.UI.ToolWindows,ToolWindow,ToolWindow,2,1,0
Gallio.VisualStudio.Shell.UI.ToolWindows,ToolWindow,Close,4,1,0
Gallio.VisualStudio.Shell.UI.ToolWindows,ToolWindow,OnParentChanged,12,2,1
Gallio.VisualStudio.Shell.UI.ToolWindows,ToolWindow,SetVisibleCore,10,3,1
Gallio.VisualStudio.Shell.UI.ToolWindows,ToolWindow,ThrowIfNoPane,4,2,0
