Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
AccountController,0,10,0,0,8,143,27,0,0,-1,4,0
CheckoutController,2,3,0,0,3,52,6,0,0,0.67,3,0
FileUploadController,0,3,0,0,3,25,4,0,0,-1,0,0
HomeController,1,6,0,0,3,175,40,0,0,0.5,4,0
ModelBindingTestsController,0,3,0,0,3,65,3,0,0,-1,0,0
ShoppingCartController,1,4,0,0,4,59,4,0,0,0.75,5,0
StoreController,1,5,0,0,4,52,10,0,0,0,1,0
StoreManagerController,1,9,0,0,8,86,11,0,0,0,2,0
Configuration,0,0,1,0,0,7,0,0,0,-1,1,0
ConfigurationModel,0,0,4,0,0,19,0,0,0,-1,0,1
SqlMapper,10,47,0,0,22,2478,272,0,0,0.13,5,2
DynamicParameters,4,8,1,0,5,223,32,0,0,0.38,1,1
DbString,0,2,4,0,2,64,4,0,0,-1,0,1
FeatureSupport,1,1,1,0,1,41,1,0,0,0,0,1
SimpleMemberMap,4,3,5,0,3,100,9,0,0,0,0,2
DefaultTypeMap,3,7,0,0,4,91,14,0,0,0.29,2,1
CustomPropertyTypeMap,2,4,0,0,4,54,6,0,0,0.5,1,0
MvcApplication,0,5,0,0,2,122,8,0,0,-1,1,0
ChangePasswordModel,0,0,3,0,0,25,0,0,0,-1,0,1
LogOnModel,0,0,3,0,0,21,0,0,0,-1,0,1
RegisterModel,0,0,4,0,0,31,0,0,0,-1,0,1
Album,0,0,9,0,0,48,0,0,0,-1,3,7
Artist,0,0,2,0,0,11,0,0,0,-1,0,3
Cart,0,0,6,0,0,28,0,0,0,-1,1,2
CartItem,0,0,9,0,0,39,0,0,0,-1,0,1
Genre,0,0,4,0,0,19,0,0,0,-1,1,3
Inventory,0,1,2,0,1,16,1,0,0,-1,2,2
InventoryDetail,0,1,6,0,1,34,1,0,0,-1,1,1
InventoryLocations,0,0,4,0,0,19,0,0,0,-1,0,1
InventoryManager,4,2,0,0,2,44,5,0,0,0,2,0
MusicStoreEntities,0,1,6,0,0,31,1,0,0,-1,6,8
Order,0,0,14,0,0,87,0,0,0,-1,1,4
OrderDetail,0,0,7,0,0,31,0,0,0,-1,2,4
SampleData,0,1,0,0,0,2211,1,0,0,-1,3,0
ShoppingCart,2,12,1,1,12,149,22,0,0,0.33,5,3
ShoppingCartRemoveViewModel,0,0,5,0,0,23,0,0,0,-1,0,1
ShoppingCartViewModel,0,0,2,0,0,11,0,0,0,-1,1,1
