Method,LOC,CC,PC
XmlEditorNodeTypeCondition:IsValid,23,7,2
LrXmlStepCommand:GetCurrentStepResponseParameter,6,1,0
LrXmlStepCommand:SetCurrentStepResponseParameter,17,3,2
LrXmlStepCommand:ExtractElementName,13,1,1
LrXmlStepCommand:ExtractElementValue,13,1,1
LrXmlStepCommand:Run,65,7,0
LrXmlStepCommand:FillParameters,0,1,1
CreateLrXmlFindStepCommand:FillParameters,4,1,1
CreateLrXmlExctarctStepCommand:FillParameters,4,1,1
CreateLrXmlGetValuesStepCommand:FillParameters,4,1,1
HighlightCommand:Run,24,5,0
