Design smell,Namespace,Class,File,Cause
Unutilized Abstraction,DomainModel,EntityPropertyNames,D:\research\architectureSmells\repos\IdeaBlade_Punch\Samples\TempHire\DomainModel\Address.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,DomainModel,AuditEntityBase,D:\research\architectureSmells\repos\IdeaBlade_Punch\Samples\TempHire\DomainModel\EntityBase.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Created' CreatedUser' Modified' ModifyUser
Unnecessary Abstraction,DomainModel,IHasRoot,D:\research\architectureSmells\repos\IdeaBlade_Punch\Samples\TempHire\DomainModel\IHasRoot.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Root
Unutilized Abstraction,DomainModel,SaveInterceptor,D:\research\architectureSmells\repos\IdeaBlade_Punch\Samples\TempHire\DomainModel\SaveInterceptor.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,DomainModel,TempHireEntities,D:\research\architectureSmells\repos\IdeaBlade_Punch\Samples\TempHire\DomainModel\TempHireEntities.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,DomainModel.Projections,StaffingResourceListItem,D:\research\architectureSmells\repos\IdeaBlade_Punch\Samples\TempHire\DomainModel\Projections\StaffingResourceListItem.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Broken Modularization,DomainModel,EntityPropertyNames,D:\research\architectureSmells\repos\IdeaBlade_Punch\Samples\TempHire\DomainModel\Address.cs,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields and properties are declared in this class: ' Id' Address1' Address2' City' StaffingResourceId' AddressTypeId' Zipcode' Primary' StateId' Resource' AddressType' PrimaryResources' State' Id' AreaCode' Number' PhoneNumberTypeId' StaffingResourceId' Primary' Resource' PhoneNumberType' PrimaryResources
Broken Modularization,DomainModel.Projections,StaffingResourceListItem,D:\research\architectureSmells\repos\IdeaBlade_Punch\Samples\TempHire\DomainModel\Projections\StaffingResourceListItem.cs,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields and properties are declared in this class: Id' FirstName' MiddleName' LastName' Address1' Address2' City' State' Zipcode' AreaCode' Number' FullName' PhoneNumber
Cyclically-dependent Modularization,DomainModel,Address,D:\research\architectureSmells\repos\IdeaBlade_Punch\Samples\TempHire\DomainModel\Address.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: DomainModel.Address' DomainModel.StaffingResource
Cyclically-dependent Modularization,DomainModel,PhoneNumber,D:\research\architectureSmells\repos\IdeaBlade_Punch\Samples\TempHire\DomainModel\PhoneNumber.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: DomainModel.PhoneNumber' DomainModel.StaffingResource
