Method,LOC,CC,PC
MembershipRebootUserService:MembershipRebootUserService,5,2,1
MembershipRebootUserService:GetProfileDataAsync,14,3,2
MembershipRebootUserService:GetClaimsFromAccount,19,3,2
MembershipRebootUserService:GetSubjectForAccount,3,1,1
MembershipRebootUserService:GetDisplayNameForAccount,9,2,7
MembershipRebootUserService:GetClaimsForAuthenticateResultAsync,3,1,1
MembershipRebootUserService:AuthenticateLocalAsync,32,7,1
MembershipRebootUserService:PostAuthenticateLocalAsync,3,1,2
MembershipRebootUserService:ValidateLocalCredentials,4,1,4
MembershipRebootUserService:AuthenticateExternalAsync,20,4,1
MembershipRebootUserService:ProcessNewExternalAccountAsync,13,2,4
MembershipRebootUserService:TryGetExistingUserFromExternalProviderClaimsAsync,3,1,2
MembershipRebootUserService:InstantiateNewAccountFromExternalProviderAsync,4,1,3
MembershipRebootUserService:AccountCreatedFromExternalProviderAsync,5,1,4
MembershipRebootUserService:SignInFromExternalProviderAsync,5,1,2
MembershipRebootUserService:UpdateAccountFromExternalClaimsAsync,4,1,4
MembershipRebootUserService:ProcessExistingExternalAccountAsync,3,1,4
MembershipRebootUserService:SetAccountEmail,26,5,3
MembershipRebootUserService:SetAccountPhone,26,5,3
MembershipRebootUserService:IsActiveAsync,6,1,1
Extensions:ToGuid,7,2,1
