Design smell,Namespace,Class,File,Cause
Unutilized Abstraction,PowerStudio.LanguageServices.PowerShell.Editor,MethodGlyphFactoryProvider,D:\research\architectureSmells\repos\IntelliTect_PowerStudio\source\PowerStudio.LanguageServices.PowerShell\Editor\MethodGlyphFactoryProvider.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,PowerStudio.LanguageServices.PowerShell.Formatting,ParagraphPropertiesFactoryService,D:\research\architectureSmells\repos\IntelliTect_PowerStudio\source\PowerStudio.LanguageServices.PowerShell\Formatting\ParagraphPropertiesFactoryService.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,PowerStudio.LanguageServices.PowerShell.Intellisense.QuickInfo,QuickInfoErrorSourceProvider,D:\research\architectureSmells\repos\IntelliTect_PowerStudio\source\PowerStudio.LanguageServices.PowerShell\Intellisense\QuickInfo\QuickInfoErrorSourceProvider.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,PowerStudio.LanguageServices.PowerShell.Intellisense.QuickInfo,QuickInfoTokenSourceProvider,D:\research\architectureSmells\repos\IntelliTect_PowerStudio\source\PowerStudio.LanguageServices.PowerShell\Intellisense\QuickInfo\QuickInfoTokenSourceProvider.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,PowerStudio.LanguageServices.PowerShell.Project,GeneralSettingsPage,D:\research\architectureSmells\repos\IntelliTect_PowerStudio\source\PowerStudio.LanguageServices.PowerShell\Project\GeneralSettingsPage.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,PowerStudio.LanguageServices.PowerShell.Tagging.Providers,BraceMatchingTaggerProvider,D:\research\architectureSmells\repos\IntelliTect_PowerStudio\source\PowerStudio.LanguageServices.PowerShell\Tagging\Providers\BraceMatchingTaggerProvider.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,PowerStudio.LanguageServices.PowerShell.Tagging.Providers,ClassificationTaggerProvider,D:\research\architectureSmells\repos\IntelliTect_PowerStudio\source\PowerStudio.LanguageServices.PowerShell\Tagging\Providers\ClassificationTaggerProvider.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,PowerStudio.LanguageServices.PowerShell.Tagging.Providers,ErrorTokenTaggerProvider,D:\research\architectureSmells\repos\IntelliTect_PowerStudio\source\PowerStudio.LanguageServices.PowerShell\Tagging\Providers\ErrorTokenTaggerProvider.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,PowerStudio.LanguageServices.PowerShell.Tagging.Providers,HighlightWordTaggerProvider,D:\research\architectureSmells\repos\IntelliTect_PowerStudio\source\PowerStudio.LanguageServices.PowerShell\Tagging\Providers\HighlightWordTaggerProvider.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,PowerStudio.LanguageServices.PowerShell.Tagging.Providers,MethodTokenTaggerProvider,D:\research\architectureSmells\repos\IntelliTect_PowerStudio\source\PowerStudio.LanguageServices.PowerShell\Tagging\Providers\MethodTokenTaggerProvider.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
