Design smell,Namespace,Class,File,Cause
Unutilized Abstraction,WX.Common,DataSecret,C:\repos\JamesYing_JCWX\Business\Common\DataSecret.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,WX.Common,ShelfModuleConverter,C:\repos\JamesYing_JCWX\Business\Common\ShelfModuleConverter.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Duplicate Abstraction,WX.Common,HttpHelper,C:\repos\JamesYing_JCWX\Business\Common\HttpHelper.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  HttpHelper (C:\repos\JamesYing_JCWX\Business\Common\HttpHelper.cs' [133' 153])' HttpHelper (C:\repos\JamesYing_JCWX\Business\Common\HttpHelper.cs' [188' 208])
Unutilized Abstraction,WX,CustomAccount,C:\repos\JamesYing_JCWX\Business\CustomAccount.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,WX,DateTimeExtend,C:\repos\JamesYing_JCWX\Business\Common\DateTimeExtend.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,WX.Model.ApiRequests,ApiGetNeedTokenRequest<T>,C:\repos\JamesYing_JCWX\Business\Model\ApiRequests\ApiGetNeedTokenRequest.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,WX.Model.ApiRequests,ApiPostNeedTokenRequest<T>,C:\repos\JamesYing_JCWX\Business\Model\ApiRequests\ApiPostNeedTokenRequest.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Duplicate Abstraction,WX.Model.ApiRequests,ApiPostNeedTokenRequest<T>,C:\repos\JamesYing_JCWX\Business\Model\ApiRequests\ApiPostNeedTokenRequest.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  ApiPostNeedTokenRequest<T> (C:\repos\JamesYing_JCWX\Business\Model\ApiRequests\ApiPostNeedTokenRequest.cs' [13' 36])' DatacubeGetInterfaceRequest (C:\repos\JamesYing_JCWX\Business\Model\ApiRequests\DatacubeGetInterfaceRequest.cs' [18' 41])' DatacubeGetStreamMsgRequest (C:\repos\JamesYing_JCWX\Business\Model\ApiRequests\DatacubeGetStreamMsgRequest.cs' [18' 41])
Unutilized Abstraction,WX.Model.ApiRequests,CustomserviceGetkflistRequest,C:\repos\JamesYing_JCWX\Business\Model\ApiRequests\CustomserviceGetkflistRequest.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,WX.Model.ApiRequests,CustomserviceGetonlinekflistRequest,C:\repos\JamesYing_JCWX\Business\Model\ApiRequests\CustomserviceGetonlinekflistRequest.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,WX.Model.ApiRequests,CustomserviceKfaccountAddRequest,C:\repos\JamesYing_JCWX\Business\Model\ApiRequests\CustomserviceKfaccountAddRequest.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Duplicate Abstraction,WX.Model.ApiRequests,CustomserviceKfaccountAddRequest,C:\repos\JamesYing_JCWX\Business\Model\ApiRequests\CustomserviceKfaccountAddRequest.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  CustomserviceKfaccountAddRequest (C:\repos\JamesYing_JCWX\Business\Model\ApiRequests\CustomserviceKfaccountAddRequest.cs' [11' 36])' CustomserviceKfaccountUpdateRequest (C:\repos\JamesYing_JCWX\Business\Model\ApiRequests\CustomserviceKfaccountUpdateRequest.cs' [11' 36])
