Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
Senparc.Weixin.MP.Sample,BundleConfig,0,1,0,0,1,38,1,0,0,-1,0,1,,Senparc.Weixin.MP.Sample.WebApiApplication
Senparc.Weixin.MP.Sample,FilterConfig,0,1,0,0,1,7,1,0,0,-1,0,1,,Senparc.Weixin.MP.Sample.WebApiApplication
Senparc.Weixin.MP.Sample,RouteConfig,0,1,0,0,1,25,1,0,0,-1,0,1,,Senparc.Weixin.MP.Sample.WebApiApplication
Senparc.Weixin.MP.Sample,WebApiConfig,0,1,0,0,1,16,1,0,0,-1,0,1,,Senparc.Weixin.MP.Sample.WebApiApplication
Senparc.Weixin.MP.Sample,WebApiApplication,0,3,0,0,0,205,5,0,0,-1,0,0,,
Senparc.Weixin.MP.Sample.App_Start,Startup,0,1,0,0,1,7,1,0,0,-1,0,0,,
Senparc.Weixin.MP.Sample.Controllers,AsyncMethodsController,2,10,0,0,8,137,11,0,0,0.6,0,0,,
Senparc.Weixin.MP.Sample.Controllers,BaseController,0,1,1,0,0,15,1,6,0,-1,0,6,,Senparc.Weixin.MP.Sample.Controllers.OpenOAuthController' Senparc.Weixin.MP.Sample.Controllers.MenuController' Senparc.Weixin.MP.Sample.Controllers.HomeController' Senparc.Weixin.MP.Sample.Controllers.DocumentController' Senparc.Weixin.MP.Sample.Controllers.SimulateToolController' Senparc.Weixin.MP.Sample.Controllers.CacheController
Senparc.Weixin.MP.Sample.Controllers,TestContainerBag1,1,0,1,0,0,10,0,0,1,-1,0,2,,Senparc.Weixin.MP.Sample.Controllers.TestContainer1' Senparc.Weixin.MP.Sample.Controllers.CacheController
Senparc.Weixin.MP.Sample.Controllers,TestContainer1,0,0,0,0,0,3,0,0,0,-1,0,1,,Senparc.Weixin.MP.Sample.Controllers.CacheController
Senparc.Weixin.MP.Sample.Controllers,CacheController,0,3,0,0,3,107,8,0,1,-1,0,0,,
Senparc.Weixin.MP.Sample.Controllers,DocumentController,1,4,0,0,3,117,4,0,1,0.5,0,0,,
Senparc.Weixin.MP.Sample.Controllers,FilterTestController,0,3,0,0,3,21,3,0,0,-1,0,0,,
Senparc.Weixin.MP.Sample.Controllers,HomeController,0,8,0,0,8,106,9,0,1,-1,0,0,,
Senparc.Weixin.MP.Sample.Controllers,WeixinJSSDKController,2,1,0,0,1,30,1,0,0,0,0,0,,
Senparc.Weixin.MP.Sample.Controllers,MediaController,1,2,0,0,2,41,5,0,0,1,0,0,,
Senparc.Weixin.MP.Sample.Controllers,MenuController,0,7,1,0,6,178,14,0,1,-1,0,0,,
Senparc.Weixin.MP.Sample.Controllers,OAuth2Controller,2,4,0,0,4,145,12,0,0,0.5,0,0,,
Senparc.Weixin.MP.Sample.Controllers,OpenController,4,4,0,0,4,156,8,0,0,0,0,0,,
Senparc.Weixin.MP.Sample.Controllers,OpenOAuthController,2,7,0,0,7,183,14,0,1,0.29,0,0,,
Senparc.Weixin.MP.Sample.Controllers,SimulateToolController,0,5,0,0,3,307,30,0,1,-1,0,0,,
Senparc.Weixin.MP.Sample.Controllers,TenPayV3Controller,1,24,1,0,23,873,46,0,0,0.96,0,0,,
Senparc.Weixin.MP.Sample.Controllers,WeixinAsyncController,5,4,0,4,4,84,5,0,0,0.75,0,0,,
Senparc.Weixin.MP.Sample.Controllers,WeixinController,4,7,0,3,7,339,21,0,0,0.57,0,1,,Senparc.Weixin.MP.Sample.Controllers.SimulateToolController
Senparc.Weixin.MP.Sample.Controllers,TenPayController,1,10,1,0,9,382,20,0,0,1,0,0,,
Senparc.Weixin.MP.Sample.Controllers.WxOpen,WxOpenController,5,9,0,4,9,238,15,0,0,0.44,0,0,,
Senparc.Weixin.MP.Sample.Models,ProductModel,0,3,4,0,3,37,3,0,0,-1,0,2,,Senparc.Weixin.MP.Sample.Controllers.TenPayV3Controller' Senparc.Weixin.MP.Sample.Models.ProductModel
