Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
Ramone.Hypermedia,ControlBase,0,10,1,0,10,37,10,3,1,-1,1,0,Ramone.ISession,
Ramone.Hypermedia,ControlCollection,1,2,0,0,2,39,4,0,1,0,1,0,Ramone.Hypermedia.IControl,
Ramone.Hypermedia,DynamicDictionary,1,4,0,0,4,49,5,0,0,0,0,0,,
Ramone.Hypermedia,ExtensionMethods,0,6,0,0,6,33,6,0,0,-1,4,0,Ramone.Request' Ramone.Response' Ramone.Hypermedia.IControl' Ramone.ISession,
Ramone.Hypermedia,IControl,0,9,1,0,0,13,9,1,0,-1,1,3,Ramone.ISession,Ramone.Hypermedia.ControlCollection' Ramone.Hypermedia.ExtensionMethods' Ramone.Hypermedia.IControlCollection
Ramone.Hypermedia,IControlCollection,0,2,0,0,0,6,2,1,0,-1,1,1,Ramone.Hypermedia.IControl,Ramone.Hypermedia.Mason.Builder
Ramone.Hypermedia,IResource,0,0,1,0,0,4,0,1,0,-1,0,0,,
Ramone.Hypermedia,Resource,0,4,2,0,4,36,5,1,1,-1,0,2,,Ramone.Hypermedia.Mason.Builder' Ramone.Hypermedia.Mason.MasonCodec
Ramone.Hypermedia.Mason,ActionBase,0,1,2,0,1,12,1,3,2,-1,0,0,,
Ramone.Hypermedia.Mason,Builder,1,8,0,0,1,207,24,0,0,0.25,12,1,Ramone.Hypermedia.Utilities.NamespaceManager' Ramone.Hypermedia.Resource' Ramone.Hypermedia.Mason.MasonResource' Ramone.Hypermedia.Mason.MasonProperties' Ramone.Hypermedia.IControlCollection' Ramone.Hypermedia.Mason.Link' Ramone.Hypermedia.Mason.LinkTemplate' Ramone.Hypermedia.Mason.ActionTypes' Ramone.Hypermedia.Mason.VoidAction' Ramone.Hypermedia.Mason.JsonAction' Ramone.Hypermedia.Mason.JsonFilesAction' Ramone.Hypermedia.Mason.NamespaceProperties,Ramone.Hypermedia.Mason.MasonCodec
Ramone.Hypermedia.Mason,JsonAction,0,7,0,0,7,37,7,0,3,-1,3,1,Ramone.Request' Ramone.ISession' Ramone.Response,Ramone.Hypermedia.Mason.Builder
Ramone.Hypermedia.Mason,JsonFilesAction,0,11,1,0,10,74,11,0,3,-1,5,1,Ramone.Request' Ramone.ISession' Ramone.Hypermedia.Mason.JsonFilesPropertiesVisitor' Ramone.Utility.ObjectSerialization.ObjectSerializer' Ramone.Response,Ramone.Hypermedia.Mason.Builder
Ramone.Hypermedia.Mason,JsonFilesPropertiesVisitor,1,5,0,0,5,24,5,0,1,0.8,1,1,Ramone.IO.IFile,Ramone.Hypermedia.Mason.JsonFilesAction
Ramone.Hypermedia.Mason,Link,0,7,1,0,7,40,7,0,2,-1,3,1,Ramone.Request' Ramone.ISession' Ramone.Response,Ramone.Hypermedia.Mason.Builder
Ramone.Hypermedia.Mason,LinkTemplate,0,7,1,0,7,40,7,0,2,-1,3,1,Ramone.Request' Ramone.ISession' Ramone.Response,Ramone.Hypermedia.Mason.Builder
Ramone.Hypermedia.Mason,MasonCodec,0,2,1,0,0,22,2,0,0,-1,4,0,Ramone.Hypermedia.Mason.Builder' Ramone.ReaderContext' Ramone.Hypermedia.Resource' Ramone.WriterContext,
Ramone.Hypermedia.Mason,MasonProperties,9,0,0,9,0,43,0,0,0,-1,0,1,,Ramone.Hypermedia.Mason.Builder
Ramone.Hypermedia.Mason,NamespaceProperties,1,0,0,1,0,4,0,0,0,-1,0,1,,Ramone.Hypermedia.Mason.Builder
Ramone.Hypermedia.Mason,MetaProperties,2,0,0,2,0,5,0,0,0,-1,0,0,,
Ramone.Hypermedia.Mason,ActionTypes,3,0,0,3,0,6,0,0,0,-1,0,1,,Ramone.Hypermedia.Mason.Builder
Ramone.Hypermedia.Mason,ActionProperties,4,0,0,4,0,7,0,0,0,-1,0,0,,
Ramone.Hypermedia.Mason,ErrorProperties,6,0,0,6,0,9,0,0,0,-1,0,0,,
Ramone.Hypermedia.Mason,MasonResource,0,0,0,0,0,3,0,0,2,-1,0,1,,Ramone.Hypermedia.Mason.Builder
Ramone.Hypermedia.Mason,VoidAction,0,7,0,0,7,37,7,0,3,-1,3,1,Ramone.Request' Ramone.ISession' Ramone.Response,Ramone.Hypermedia.Mason.Builder
Ramone.Hypermedia.Utilities,NamespaceManager,0,4,1,0,4,44,7,0,0,-1,0,1,,Ramone.Hypermedia.Mason.Builder
