Design smell,Namespace,Class,File,Cause
Unutilized Abstraction,EDSDKWrapper.Framework.Enums,CameraState,F:\newReposMay17\Jossef_edsdk-wrapper\EDSDKWrapper.Framework\Enums\CameraState.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,EDSDKWrapper.Framework.Enums,ColorMatrix,F:\newReposMay17\Jossef_edsdk-wrapper\EDSDKWrapper.Framework\Enums\ColorMatrix.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,EDSDKWrapper.Framework.Enums,ComponentId,F:\newReposMay17\Jossef_edsdk-wrapper\EDSDKWrapper.Framework\Enums\ComponentId.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,EDSDKWrapper.Framework.Enums,CompressQuality,F:\newReposMay17\Jossef_edsdk-wrapper\EDSDKWrapper.Framework\Enums\CompressQuality.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,EDSDKWrapper.Framework.Enums,StorageType,F:\newReposMay17\Jossef_edsdk-wrapper\EDSDKWrapper.Framework\Enums\StorageType.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,EDSDKWrapper.Framework.Enums,TransferOption,F:\newReposMay17\Jossef_edsdk-wrapper\EDSDKWrapper.Framework\Enums\TransferOption.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,EDSDKWrapper.Framework.Enums,ErrorCodeMask,F:\newReposMay17\Jossef_edsdk-wrapper\EDSDKWrapper.Framework\Enums\ErrorCodeMask.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,EDSDKWrapper.Framework.Enums,LiveViewDepthOfFieldPreview,F:\newReposMay17\Jossef_edsdk-wrapper\EDSDKWrapper.Framework\Enums\LiveViewDepthOfFieldPreview.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,EDSDKWrapper.Framework.Enums,LiveViewDriveLens,F:\newReposMay17\Jossef_edsdk-wrapper\EDSDKWrapper.Framework\Enums\LiveViewDriveLens.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,EDSDKWrapper.Framework.Enums,FilterEffect,F:\newReposMay17\Jossef_edsdk-wrapper\EDSDKWrapper.Framework\Enums\FilterEffect.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,EDSDKWrapper.Framework.Enums,ImageFormat,F:\newReposMay17\Jossef_edsdk-wrapper\EDSDKWrapper.Framework\Enums\ImageFormat.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,EDSDKWrapper.Framework.Enums,ImageSize,F:\newReposMay17\Jossef_edsdk-wrapper\EDSDKWrapper.Framework\Enums\ImageSize.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,EDSDKWrapper.Framework.Enums,PhotoEffect,F:\newReposMay17\Jossef_edsdk-wrapper\EDSDKWrapper.Framework\Enums\PhotoEffect.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,EDSDKWrapper.Framework.Enums,PropertyEvent,F:\newReposMay17\Jossef_edsdk-wrapper\EDSDKWrapper.Framework\Enums\PropertyEvent.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
