Method,LOC,CC,PC
Camera:Camera,2,1,0
Camera:Camera,16,2,8
Camera:MakeDirty,3,1,0
Camera:RebuildMatrix,15,2,0
Camera:CalculateImage,15,2,1
Camera:CalculateImage,79,7,2
Camera:ToBitmap,3,1,0
Camera:Save,3,1,1
CastResult:SetNull,3,1,0
CastResult:IsNull,3,1,0
CastResult:IsActive,3,1,0
CastResult:Copy,5,1,4
CastResult:Copy,6,1,4
CastResult:Copy,7,1,7
CastResult:Copy,9,1,9
CastResult:PerformNormalAction,6,2,1
CastResult:Copy,5,1,1
CastResult:NormalizeNormal,3,1,0
CombinedList:CombinedList,6,1,1
CombinedList:CombinedList,8,1,2
CombinedList:Fill,5,2,1
CombinedList:AddSubList,16,5,1
CombinedList:Combine,30,6,2
CombinedList:CalculateReduction,20,4,2
CombinedList:GetItems,11,4,0
FinalList:FinalList,73,16,2
GridAccelerator:GridAccelerator,16,1,1
GridAccelerator:Align,5,1,15
GridAccelerator:CalculateHit,42,6,3
GridAccelerator:checkTile,10,3,4
GridAccelerator:addMigrations,9,2,8
GridAccelerator:buildGrid,41,7,15
GridAccelerator:ToString,19,5,0
IRenderable:Surface,1,1,0
IRenderable:SplitSurface,1,1,2
IRenderable:SplitAt,1,1,2
IRenderable:GetBounds,1,1,6
IRenderable:GetDimensionBounds,1,1,3
IRenderable:GetFaceNormalBounds,1,1,3
Light:Light,2,1,3
Light:Light,5,1,3
Light:Light,5,1,3
Material:Material,35,6,13
Material:NullBump,2,1,4
Material:ADSAtAndBump,19,1,7
Material:FresnelLaw,3,1,1
Material:ReflectanceConstant,3,1,1
Maths:Border,3,1,3
Maths:Border,3,1,3
Maths:Border,3,1,3
Maths:Border,3,1,3
Maths:Border,3,1,3
Maths:Border,3,1,3
Maths:Border,3,1,3
Maths:Border,3,1,3
Maths:Border,3,1,3
Maths:Border,3,1,3
Maths:Border,3,1,3
Maths:Border,8,1,3
Maths:MaxIndex,18,4,3
Maths:SoftInv,8,2,1
Maths:ZeroInv,8,2,1
Maths:SoftSign,8,2,1
Maths:BinarySign,4,1,1
Maths:Random,3,1,1
Maths:MinPos,11,3,2
Maths:LinearInterpolate,3,1,3
Maths:Interpolate,3,1,3
Maths:Interpolate,3,1,3
Maths:Max,6,1,2
Maths:Max,3,1,3
Maths:Max,3,1,3
Maths:Max,3,1,3
Maths:Max,3,1,3
Maths:Max,3,1,3
Maths:Max,3,1,3
Maths:Max,3,1,3
Maths:Max,3,1,3
Maths:Max,3,1,3
Maths:Max,3,1,3
Maths:Max,3,1,3
Maths:Max,3,1,3
Maths:Min,6,1,2
Maths:Min,3,1,3
Maths:Min,3,1,3
Maths:Min,3,1,3
Maths:Min,3,1,3
Maths:Min,3,1,3
Maths:Min,3,1,3
Maths:Min,3,1,3
Maths:Min,3,1,3
Maths:Min,3,1,3
Maths:Min,3,1,3
Maths:Min,3,1,3
Maths:Min,3,1,3
Maths:Order,9,2,2
Maths:Order,9,2,2
Maths:Order,9,2,3
Maths:MinGeqZero,10,2,2
Maths:LinEq,3,1,3
Maths:LinEqOrder,6,1,6
Maths:Pythagoras,3,1,2
Maths:Random,3,1,0
Maths:GenerateRandomCirclePoint,6,1,3
Maths:Random,3,1,2
Maths:RandomWithDelta,3,1,2
Maths:ClosestInterval,13,3,3
Matrix4:Matrix4,2,1,0
Matrix4:Matrix4,11,1,3
Matrix4:Matrix4,14,1,4
Matrix4:Matrix4,14,1,12
Matrix4:Matrix4,14,1,1
Matrix4:LoadColumns,14,1,3
Matrix4:LoadMatrix,14,1,1
Matrix4:Reset,14,1,0
Matrix4:Invert,20,1,0
Matrix4:CreateRotateMatrix,6,1,4
Matrix4:CreateRotateMatrix,3,1,2
Matrix4:Rotate,26,1,4
Matrix4:RotateX,13,1,1
Matrix4:CreateRotateXMatrix,5,1,1
Matrix4:RotateY,13,1,1
Matrix4:CreateRotateYMatrix,5,1,1
Matrix4:RotateZ,13,1,1
Matrix4:CreateRotateZMatrix,5,1,1
Matrix4:Shift,5,1,3
Matrix4:CreateShiftMatrix,3,1,3
Matrix4:CreateShiftMatrix,3,1,1
Matrix4:Shift,5,1,1
Matrix4:Scale,14,1,3
Matrix4:CreateScaleMatrix,3,1,3
Matrix4:CreateScaleMatrix,3,1,1
Matrix4:CreateScaleMatrix,3,1,1
Matrix4:Transform,26,1,1
Matrix4:CopyTransform,15,1,1
Matrix4:TransformMatrix,3,1,2
Matrix4:ToString,3,1,0
Matrix4:Equals,9,2,1
Matrix4:GetHashCode,3,1,0
Matrix4:InterpolateParse,50,11,3
Matrix4:Parse,60,12,1
