Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
KillrVideo.SuggestedVideos.MLT,MLTQueryResult,0,0,1,0,0,5,0,0,0,-1,1,1,KillrVideo.SuggestedVideos.MLT.MLTResponse,KillrVideo.SuggestedVideos.DataStaxEnterpriseSuggestedVideos
KillrVideo.SuggestedVideos.MLT,MLTResponse,0,0,3,0,0,7,0,0,0,-1,1,1,KillrVideo.SuggestedVideos.MLT.MLTVideoPreview,KillrVideo.SuggestedVideos.MLT.MLTQueryResult
KillrVideo.SuggestedVideos.MLT,MLTVideoPreview,0,0,5,0,0,9,0,0,0,-1,0,1,,KillrVideo.SuggestedVideos.MLT.MLTResponse
KillrVideo.SuggestedVideos,SuggestedVideosServiceReflection,1,1,1,0,0,50,1,0,0,0,5,6,KillrVideo.SuggestedVideos.GetRelatedVideosRequest' KillrVideo.SuggestedVideos.GetRelatedVideosResponse' KillrVideo.SuggestedVideos.GetSuggestedForUserRequest' KillrVideo.SuggestedVideos.GetSuggestedForUserResponse' KillrVideo.SuggestedVideos.SuggestedVideoPreview,KillrVideo.SuggestedVideos.SuggestedVideoService' KillrVideo.SuggestedVideos.GetRelatedVideosRequest' KillrVideo.SuggestedVideos.GetRelatedVideosResponse' KillrVideo.SuggestedVideos.GetSuggestedForUserRequest' KillrVideo.SuggestedVideos.GetSuggestedForUserResponse' KillrVideo.SuggestedVideos.SuggestedVideoPreview
KillrVideo.SuggestedVideos,GetRelatedVideosRequest,7,12,6,3,11,160,36,0,0,0.5,1,4,KillrVideo.SuggestedVideos.SuggestedVideosServiceReflection,KillrVideo.SuggestedVideos.SuggestVideosByTag' KillrVideo.SuggestedVideos.DataStaxEnterpriseSuggestedVideos' KillrVideo.SuggestedVideos.SuggestedVideoService' KillrVideo.SuggestedVideos.SuggestedVideosServiceReflection
KillrVideo.SuggestedVideos,GetRelatedVideosResponse,8,12,6,3,11,152,32,0,0,0.42,2,4,KillrVideo.SuggestedVideos.SuggestedVideosServiceReflection' KillrVideo.SuggestedVideos.SuggestedVideoPreview,KillrVideo.SuggestedVideos.DataStaxEnterpriseSuggestedVideos' KillrVideo.SuggestedVideos.SuggestVideosByTag' KillrVideo.SuggestedVideos.SuggestedVideoService' KillrVideo.SuggestedVideos.SuggestedVideosServiceReflection
KillrVideo.SuggestedVideos,GetSuggestedForUserRequest,7,12,6,3,11,160,36,0,0,0.5,1,4,KillrVideo.SuggestedVideos.SuggestedVideosServiceReflection,KillrVideo.SuggestedVideos.DataStaxEnterpriseSuggestedVideos' KillrVideo.SuggestedVideos.SuggestVideosByTag' KillrVideo.SuggestedVideos.SuggestedVideoService' KillrVideo.SuggestedVideos.SuggestedVideosServiceReflection
KillrVideo.SuggestedVideos,GetSuggestedForUserResponse,8,12,6,3,11,152,32,0,0,0.42,2,4,KillrVideo.SuggestedVideos.SuggestedVideosServiceReflection' KillrVideo.SuggestedVideos.SuggestedVideoPreview,KillrVideo.SuggestedVideos.SuggestVideosByTag' KillrVideo.SuggestedVideos.DataStaxEnterpriseSuggestedVideos' KillrVideo.SuggestedVideos.SuggestedVideoService' KillrVideo.SuggestedVideos.SuggestedVideosServiceReflection
KillrVideo.SuggestedVideos,SuggestedVideoPreview,11,12,8,5,11,226,52,0,0,0.5,1,5,KillrVideo.SuggestedVideos.SuggestedVideosServiceReflection,KillrVideo.SuggestedVideos.DataStaxEnterpriseSuggestedVideos' KillrVideo.SuggestedVideos.SuggestVideosByTag' KillrVideo.SuggestedVideos.SuggestedVideosServiceReflection' KillrVideo.SuggestedVideos.GetRelatedVideosResponse' KillrVideo.SuggestedVideos.GetSuggestedForUserResponse
KillrVideo.SuggestedVideos,SuggestedVideoService,7,1,1,0,1,133,1,0,0,0,7,2,KillrVideo.SuggestedVideos.SuggestedVideosServiceReflection' KillrVideo.SuggestedVideos.GetRelatedVideosRequest' KillrVideo.SuggestedVideos.GetRelatedVideosResponse' KillrVideo.SuggestedVideos.GetSuggestedForUserRequest' KillrVideo.SuggestedVideos.GetSuggestedForUserResponse' KillrVideo.SuggestedVideos.SuggestedVideoServiceBase' KillrVideo.SuggestedVideos.SuggestedVideoServiceClient,KillrVideo.SuggestedVideos.DataStaxEnterpriseSuggestedVideos' KillrVideo.SuggestedVideos.SuggestVideosByTag
KillrVideo.SuggestedVideos,SuggestedVideoServiceBase,0,2,0,0,2,17,2,2,0,-1,0,3,,KillrVideo.SuggestedVideos.SuggestVideosByTag' KillrVideo.SuggestedVideos.DataStaxEnterpriseSuggestedVideos' KillrVideo.SuggestedVideos.SuggestedVideoService
KillrVideo.SuggestedVideos,SuggestedVideoServiceClient,0,13,0,0,10,82,13,0,0,-1,0,1,,KillrVideo.SuggestedVideos.SuggestedVideoService
KillrVideo.SuggestedVideos,SuggestionsOptions,0,0,1,0,0,7,0,0,0,-1,0,2,,KillrVideo.SuggestedVideos.DataStaxEnterpriseSuggestedVideos' KillrVideo.SuggestedVideos.SuggestVideosByTag
KillrVideo.SuggestedVideos,SuggestVideosByTag,4,6,1,0,5,125,20,0,2,0.5,8,0,KillrVideo.SuggestedVideos.GetRelatedVideosRequest' KillrVideo.SuggestedVideos.GetRelatedVideosResponse' KillrVideo.SuggestedVideos.GetSuggestedForUserRequest' KillrVideo.SuggestedVideos.GetSuggestedForUserResponse' KillrVideo.SuggestedVideos.SuggestedVideoPreview' KillrVideo.SuggestedVideos.SuggestedVideoService' KillrVideo.SuggestedVideos.SuggestedVideoServiceBase' KillrVideo.SuggestedVideos.SuggestionsOptions,
