Design smell,Namespace,Class,File,Cause
Duplicate Abstraction,MPExtended.Applications.Development.DevTool.DocGen,CommonGenerator,C:\research\architectureSmells\repos\MPExtended_MPExtended\Applications\MPExtended.Applications.Development.DevTool\DocGen\CommonGenerator.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  CommonGenerator (C:\research\architectureSmells\repos\MPExtended_MPExtended\Applications\MPExtended.Applications.Development.DevTool\DocGen\CommonGenerator.cs' [1' 25])' USSGenerator (C:\research\architectureSmells\repos\MPExtended_MPExtended\Applications\MPExtended.Applications.Development.DevTool\DocGen\USSGenerator.cs' [1' 25])' TASGenerator (C:\research\architectureSmells\repos\MPExtended_MPExtended\Applications\MPExtended.Applications.Development.DevTool\DocGen\TASGenerator.cs' [1' 25])' WSSGenerator (C:\research\architectureSmells\repos\MPExtended_MPExtended\Applications\MPExtended.Applications.Development.DevTool\DocGen\WSSGenerator.cs' [1' 25])' Generator (C:\research\architectureSmells\repos\MPExtended_MPExtended\Applications\MPExtended.Applications.Development.DevTool\DocGen\Generator.cs' [1' 25])' InterfaceCheck (C:\research\architectureSmells\repos\MPExtended_MPExtended\Applications\MPExtended.Applications.Development.DevTool\Tools\InterfaceCheck.cs' [1' 25])
Duplicate Abstraction,MPExtended.Applications.Development.DevTool.DocGen,CommonGenerator,C:\research\architectureSmells\repos\MPExtended_MPExtended\Applications\MPExtended.Applications.Development.DevTool\DocGen\CommonGenerator.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  CommonGenerator (C:\research\architectureSmells\repos\MPExtended_MPExtended\Applications\MPExtended.Applications.Development.DevTool\DocGen\CommonGenerator.cs' [1' 21])' DocGenItem (C:\research\architectureSmells\repos\MPExtended_MPExtended\Applications\MPExtended.Applications.Development.DevTool\DocGen\DocGenItem.cs' [1' 21])' DocDevTool (C:\research\architectureSmells\repos\MPExtended_MPExtended\Applications\MPExtended.Applications.Development.DevTool\DocGen\DocDevTool.cs' [1' 21])' IDevTool (C:\research\architectureSmells\repos\MPExtended_MPExtended\Applications\MPExtended.Applications.Development.DevTool\IDevTool.cs' [1' 21])' USSGenerator (C:\research\architectureSmells\repos\MPExtended_MPExtended\Applications\MPExtended.Applications.Development.DevTool\DocGen\USSGenerator.cs' [1' 21])' Generator (C:\research\architectureSmells\repos\MPExtended_MPExtended\Applications\MPExtended.Applications.Development.DevTool\DocGen\Generator.cs' [1' 21])' TASGenerator (C:\research\architectureSmells\repos\MPExtended_MPExtended\Applications\MPExtended.Applications.Development.DevTool\DocGen\TASGenerator.cs' [1' 21])' WSSGenerator (C:\research\architectureSmells\repos\MPExtended_MPExtended\Applications\MPExtended.Applications.Development.DevTool\DocGen\WSSGenerator.cs' [1' 21])' InterfaceCheck (C:\research\architectureSmells\repos\MPExtended_MPExtended\Applications\MPExtended.Applications.Development.DevTool\Tools\InterfaceCheck.cs' [1' 21])
Duplicate Abstraction,MPExtended.Applications.Development.DevTool.DocGen,CommonGenerator,C:\research\architectureSmells\repos\MPExtended_MPExtended\Applications\MPExtended.Applications.Development.DevTool\DocGen\CommonGenerator.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  CommonGenerator (C:\research\architectureSmells\repos\MPExtended_MPExtended\Applications\MPExtended.Applications.Development.DevTool\DocGen\CommonGenerator.cs' [1' 22])' Generator (C:\research\architectureSmells\repos\MPExtended_MPExtended\Applications\MPExtended.Applications.Development.DevTool\DocGen\Generator.cs' [1' 22])' InterfaceCheck (C:\research\architectureSmells\repos\MPExtended_MPExtended\Applications\MPExtended.Applications.Development.DevTool\Tools\InterfaceCheck.cs' [1' 22])' USSGenerator (C:\research\architectureSmells\repos\MPExtended_MPExtended\Applications\MPExtended.Applications.Development.DevTool\DocGen\USSGenerator.cs' [1' 22])' TASGenerator (C:\research\architectureSmells\repos\MPExtended_MPExtended\Applications\MPExtended.Applications.Development.DevTool\DocGen\TASGenerator.cs' [1' 22])' WSSGenerator (C:\research\architectureSmells\repos\MPExtended_MPExtended\Applications\MPExtended.Applications.Development.DevTool\DocGen\WSSGenerator.cs' [1' 22])' DocDevTool (C:\research\architectureSmells\repos\MPExtended_MPExtended\Applications\MPExtended.Applications.Development.DevTool\DocGen\DocDevTool.cs' [1' 22])' IDevTool (C:\research\architectureSmells\repos\MPExtended_MPExtended\Applications\MPExtended.Applications.Development.DevTool\IDevTool.cs' [1' 22])
Unnecessary Abstraction,MPExtended.Applications.Development.DevTool.DocGen,DocGenItem,C:\research\architectureSmells\repos\MPExtended_MPExtended\Applications\MPExtended.Applications.Development.DevTool\DocGen\DocGenItem.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Reflected' Order' Name' URLPrefix
Duplicate Abstraction,MPExtended.Applications.Development.DevTool.DocGen,DocGenItem,C:\research\architectureSmells\repos\MPExtended_MPExtended\Applications\MPExtended.Applications.Development.DevTool\DocGen\DocGenItem.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  DocGenItem (C:\research\architectureSmells\repos\MPExtended_MPExtended\Applications\MPExtended.Applications.Development.DevTool\DocGen\DocGenItem.cs' [3' 22])' Question (C:\research\architectureSmells\repos\MPExtended_MPExtended\Applications\MPExtended.Applications.Development.DevTool\Question.cs' [3' 22])
Imperative Abstraction,MPExtended.Applications.Development.DevTool.DocGen,Generator,C:\research\architectureSmells\repos\MPExtended_MPExtended\Applications\MPExtended.Applications.Development.DevTool\DocGen\Generator.cs,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: Generate
Duplicate Abstraction,MPExtended.Applications.Development.DevTool.DocGen,MASGenerator,C:\research\architectureSmells\repos\MPExtended_MPExtended\Applications\MPExtended.Applications.Development.DevTool\DocGen\MASGenerator.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  MASGenerator (C:\research\architectureSmells\repos\MPExtended_MPExtended\Applications\MPExtended.Applications.Development.DevTool\DocGen\MASGenerator.cs' [1' 21])' Program (C:\research\architectureSmells\repos\MPExtended_MPExtended\Applications\MPExtended.Applications.Development.DevTool\Program.cs' [1' 21])
Duplicate Abstraction,MPExtended.Applications.Development.DevTool.DocGen,DocDevTool,C:\research\architectureSmells\repos\MPExtended_MPExtended\Applications\MPExtended.Applications.Development.DevTool\DocGen\DocDevTool.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  DocDevTool (C:\research\architectureSmells\repos\MPExtended_MPExtended\Applications\MPExtended.Applications.Development.DevTool\DocGen\DocDevTool.cs' [3' 22])' IQuestioningDevTool (C:\research\architectureSmells\repos\MPExtended_MPExtended\Applications\MPExtended.Applications.Development.DevTool\IQuestioningDevTool.cs' [3' 22])
Unnecessary Abstraction,MPExtended.Applications.Development.DevTool,IQuestioningDevTool,C:\research\architectureSmells\repos\MPExtended_MPExtended\Applications\MPExtended.Applications.Development.DevTool\IQuestioningDevTool.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Questions' Answers
Duplicate Abstraction,MPExtended.Applications.Development.DevTool,IQuestioningDevTool,C:\research\architectureSmells\repos\MPExtended_MPExtended\Applications\MPExtended.Applications.Development.DevTool\IQuestioningDevTool.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  IQuestioningDevTool (C:\research\architectureSmells\repos\MPExtended_MPExtended\Applications\MPExtended.Applications.Development.DevTool\IQuestioningDevTool.cs' [3' 25])' IDevTool (C:\research\architectureSmells\repos\MPExtended_MPExtended\Applications\MPExtended.Applications.Development.DevTool\IDevTool.cs' [3' 25])
