Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
MPExtended.PlugIns.MAS.MPMusic,MPMusic,1,30,1,0,22,566,37,0,1,0.23,21,0,MPExtended.Services.MediaAccessService.Interfaces.IPluginData' MPExtended.Services.MediaAccessService.Interfaces.Music.WebMusicTrackDetailed' MPExtended.Libraries.SQLitePlugin.DataReaders' MPExtended.Services.MediaAccessService.Interfaces.Music.WebMusicArtistBasic' MPExtended.Libraries.Service.Util.PathUtil' MPExtended.Services.Common.Interfaces.WebFileType' MPExtended.Services.MediaAccessService.Interfaces.Music.WebMusicTrackBasic' MPExtended.Services.MediaAccessService.Interfaces.Music.WebMusicAlbumBasic' MPExtended.Services.MediaAccessService.Interfaces.Music.WebMusicArtistDetailed' MPExtended.PlugIns.MAS.MPMusic.DetailedArtistInfo' MPExtended.Services.MediaAccessService.Interfaces.WebSearchResult' MPExtended.Services.Common.Interfaces.WebMediaType' MPExtended.Services.MediaAccessService.Interfaces.WebFileInfo' MediaPortal.Playlists.PlayListFactory' MediaPortal.Playlists.PlayList' MediaPortal.Playlists.IPlayListIO' MPExtended.Services.MediaAccessService.Interfaces.Playlist.WebPlaylist' MPExtended.Libraries.Service.Log' MediaPortal.Playlists.PlayListItem' MPExtended.Services.MediaAccessService.Interfaces.Playlist.WebPlaylistItem' MediaPortal.Playlists.PlayListItemType,
MPExtended.PlugIns.MAS.MPMusic,DetailedArtistInfo,0,0,4,0,0,7,0,0,0,-1,0,1,,MPExtended.PlugIns.MAS.MPMusic.MPMusic
MediaPortal.Playlists,IPlayListIO,0,3,0,0,0,6,3,4,0,-1,1,1,MediaPortal.Playlists.PlayList,MPExtended.PlugIns.MAS.MPMusic.MPMusic
MediaPortal.Playlists,PlayList,2,16,2,0,14,245,39,0,0,0.25,2,6,MediaPortal.Playlists.PlayListItem' MPExtended.Libraries.Service.Log,MPExtended.PlugIns.MAS.MPMusic.MPMusic' MediaPortal.Playlists.IPlayListIO' MediaPortal.Playlists.PlayListB4sIO' MediaPortal.Playlists.PlayListM3uIO' MediaPortal.Playlists.PlayListPLSIO' MediaPortal.Playlists.PlayListWPLIO
MediaPortal.Playlists,PlayListItemComparer,1,3,1,0,3,23,3,0,0,1,2,0,MediaPortal.Playlists.SortMethod' MediaPortal.Playlists.PlayListItem,
MediaPortal.Playlists,SortMethod,0,0,0,0,0,6,0,0,0,-1,0,1,,MediaPortal.Playlists.PlayListItemComparer
MediaPortal.Playlists,PlayListB4sIO,0,8,0,0,3,134,18,0,1,-1,4,1,MediaPortal.Playlists.PlayList' MediaPortal.Playlists.PlayListItem' MPExtended.Libraries.Service.Util.PathUtil' MPExtended.Libraries.Service.Log,MediaPortal.Playlists.PlayListFactory
MediaPortal.Playlists,PlayListFactory,0,3,0,0,2,50,11,0,0,-1,4,1,MediaPortal.Playlists.PlayListM3uIO' MediaPortal.Playlists.PlayListPLSIO' MediaPortal.Playlists.PlayListB4sIO' MediaPortal.Playlists.PlayListWPLIO,MPExtended.PlugIns.MAS.MPMusic.MPMusic
MediaPortal.Playlists,PlayListItem,6,3,6,0,3,81,5,0,0,1,1,7,MediaPortal.Playlists.PlayListItemType,MPExtended.PlugIns.MAS.MPMusic.MPMusic' MediaPortal.Playlists.PlayList' MediaPortal.Playlists.PlayListItemComparer' MediaPortal.Playlists.PlayListB4sIO' MediaPortal.Playlists.PlayListM3uIO' MediaPortal.Playlists.PlayListPLSIO' MediaPortal.Playlists.PlayListWPLIO
MediaPortal.Playlists,PlayListItemType,0,0,0,0,0,10,0,0,0,-1,0,5,,MPExtended.PlugIns.MAS.MPMusic.MPMusic' MediaPortal.Playlists.PlayListItem' MediaPortal.Playlists.PlayListM3uIO' MediaPortal.Playlists.PlayListPLSIO' MediaPortal.Playlists.PlayListWPLIO
MediaPortal.Playlists,PlayListM3uIO,5,6,0,0,4,146,11,0,1,0.33,5,1,MediaPortal.Playlists.PlayList' MPExtended.Libraries.Service.Log' MediaPortal.Playlists.PlayListItem' MediaPortal.Playlists.PlayListItemType' MPExtended.Libraries.Service.Util.PathUtil,MediaPortal.Playlists.PlayListFactory
MediaPortal.Playlists,PlayListPLSIO,2,3,0,0,3,192,20,0,1,0,5,1,MediaPortal.Playlists.PlayList' MediaPortal.Playlists.PlayListItem' MediaPortal.Playlists.PlayListItemType' MPExtended.Libraries.Service.Util.PathUtil' MPExtended.Libraries.Service.Log,MediaPortal.Playlists.PlayListFactory
MediaPortal.Playlists,PlayListWPLIO,0,3,0,0,3,58,9,0,1,-1,5,1,MediaPortal.Playlists.PlayList' MediaPortal.Playlists.PlayListItem' MPExtended.Libraries.Service.Util.PathUtil' MediaPortal.Playlists.PlayListItemType' MPExtended.Libraries.Service.Log,MediaPortal.Playlists.PlayListFactory
