Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
MPExtended.Services.Common.Interfaces,WebDiskSpaceInformation,0,0,5,0,0,8,0,0,0,-1,0,2,,MPExtended.Libraries.Service.Shared.DiskSpaceInformation' MPExtended.Services.TVAccessService.TVAccessService
MPExtended.Services.Common.Interfaces,WebFileType,0,0,0,0,0,16,0,0,0,-1,0,20,,MPExtended.Applications.WebMediaPortal.Code.Images' MPExtended.Applications.WebMediaPortal.Controllers.RecordingController' MPExtended.Applications.WebMediaPortal.Controllers.MovieLibraryController' MPExtended.Applications.WebMediaPortal.Controllers.MusicLibraryController' MPExtended.Applications.WebMediaPortal.Controllers.TelevisionController' MPExtended.Applications.WebMediaPortal.Controllers.TVShowsLibraryController' MPExtended.PlugIns.MAS.MovingPictures.MPMovingPictures' MPExtended.PlugIns.MAS.MPMusic.MPMusic' MPExtended.PlugIns.MAS.MPTVSeries.ArtworkReaderParameters' MPExtended.PlugIns.MAS.MPTVSeries.MPTVSeries' MPExtended.PlugIns.MAS.MPVideos.ArtworkRetriever' MPExtended.PlugIns.MAS.MVCentral.MVCentral' MPExtended.PlugIns.MAS.MyFilms.MyFilms' MPExtended.Services.MediaAccessService.MediaAccessService' MPExtended.Services.MediaAccessService.Interfaces.IMediaAccessService' MPExtended.Services.StreamingService.Code.ImageMediaSource' MPExtended.Services.StreamingService.Code.MediaSource' MPExtended.Services.StreamingService.StreamingService' MPExtended.Services.StreamingService.Interfaces.IStreamingService' MPExtended.Services.StreamingService.Interfaces.IWebStreamingService
MPExtended.Services.Common.Interfaces,WebDictionary<TValue>,1,10,3,0,9,74,12,0,0,0.2,0,0,,
MPExtended.Services.Common.Interfaces,WebFilterOperator,0,1,3,0,1,10,1,0,0,-1,0,0,,
MPExtended.Services.Common.Interfaces,WebIntResult,0,5,1,0,5,40,5,0,0,-1,0,0,,
MPExtended.Services.Common.Interfaces,WebMediaType,0,0,0,0,0,36,0,0,0,-1,0,50,,MPExtended.Applications.Development.FillMediaInfoCache.frmFillCache' MPExtended.Applications.Development.StreamingService.Form1' MPExtended.Applications.WebMediaPortal.Code.Images' MPExtended.Applications.WebMediaPortal.Code.MediaName' MPExtended.Applications.WebMediaPortal.Controllers.RecordingController' MPExtended.Applications.WebMediaPortal.Controllers.SearchController' MPExtended.Applications.WebMediaPortal.Controllers.MovieLibraryController' MPExtended.Applications.WebMediaPortal.Controllers.MusicLibraryController' MPExtended.Applications.WebMediaPortal.Controllers.StreamController' MPExtended.Applications.WebMediaPortal.Controllers.TelevisionController' MPExtended.Applications.WebMediaPortal.Controllers.TVShowsLibraryController' MPExtended.Applications.WebMediaPortal.Models.TVCardViewModel' MPExtended.Applications.WebMediaPortal.Models.SearchResultsViewModel' MPExtended.Applications.WebMediaPortal.Models.AlbumPlayerViewModel' MPExtended.Applications.WebMediaPortal.Mvc.UrlHelperExtensionMethods' MPExtended.Applications.WebMediaPortal.Mvc.SkinHelper' MPExtended.PlugIns.MAS.FSPictures.PictureLibraryBase' MPExtended.PlugIns.MAS.LocalFileSystem.LocalFileSystem' MPExtended.PlugIns.MAS.MovingPictures.MPMovingPictures' MPExtended.PlugIns.MAS.MPMusic.MPMusic' MPExtended.PlugIns.MAS.MPShares.ShareLibrary' MPExtended.PlugIns.MAS.MPTVSeries.MPTVSeries' MPExtended.PlugIns.MAS.MPVideos.MPVideos' MPExtended.PlugIns.MAS.MVCentral.MVCentral' MPExtended.PlugIns.MAS.MyFilms.MyFilms' MPExtended.Services.MediaAccessService.IEnumerableExtensionMethods' MPExtended.Services.MediaAccessService.IQueryableExtensionMethods' MPExtended.Services.MediaAccessService.IOrderedQueryableExtensionMethods' MPExtended.Services.MediaAccessService.WebObjectExtensionMethods' MPExtended.Services.MediaAccessService.WebMediaTypeExtensionMethods' MPExtended.Services.MediaAccessService.Finalization' MPExtended.Services.MediaAccessService.MediaAccessService' MPExtended.Services.MediaAccessService.Interfaces.IMediaAccessService' MPExtended.Services.MediaAccessService.Interfaces.ILibrary' MPExtended.Services.ScraperService.ScraperService' MPExtended.Services.ScraperService.Interfaces.IScraperPlugin' MPExtended.Services.ScraperService.Interfaces.IScraperService' MPExtended.Services.StreamingService.Code.ImageMediaSource' MPExtended.Services.StreamingService.Code.Downloads' MPExtended.Services.StreamingService.Code.Images' MPExtended.Services.StreamingService.Code.MediaSource' MPExtended.Services.StreamingService.Code.Streaming' MPExtended.Services.StreamingService.Code.WatchSharing' MPExtended.Services.StreamingService.StreamingService' MPExtended.Services.StreamingService.MediaInfo.MediaInfoWrapper' MPExtended.Services.StreamingService.Transcoders.Direct' MPExtended.Services.StreamingService.Interfaces.IStreamingService' MPExtended.Services.StreamingService.Interfaces.IWebStreamingService' MPExtended.Services.TVAccessService.LogoDownloader' MPExtended.Services.TVAccessService.TVAccessService
MPExtended.Services.Common.Interfaces,WebSortField,0,0,0,0,0,38,0,0,0,-1,0,12,,MPExtended.Applications.WebMediaPortal.Controllers.ScheduleController' MPExtended.Applications.WebMediaPortal.Controllers.MovieLibraryController' MPExtended.Applications.WebMediaPortal.Controllers.MusicLibraryController' MPExtended.Applications.WebMediaPortal.Controllers.StreamController' MPExtended.Applications.WebMediaPortal.Controllers.TVShowsLibraryController' MPExtended.Applications.WebMediaPortal.Models.HomeViewModel' MPExtended.Applications.WebMediaPortal.Models.TVShowViewModel' MPExtended.Applications.WebMediaPortal.Models.TVSeasonViewModel' MPExtended.Services.MediaAccessService.IQueryableExtensionMethods' MPExtended.Services.MediaAccessService.MediaAccessService' MPExtended.Services.TVAccessService.IEnumerableExtensionMethods' MPExtended.Services.TVAccessService.TVAccessService
MPExtended.Services.Common.Interfaces,WebSortOrder,0,0,0,0,0,10,0,0,0,-1,0,13,,MPExtended.Applications.WebMediaPortal.Controllers.ScheduleController' MPExtended.Applications.WebMediaPortal.Controllers.MovieLibraryController' MPExtended.Applications.WebMediaPortal.Controllers.MusicLibraryController' MPExtended.Applications.WebMediaPortal.Controllers.TVShowsLibraryController' MPExtended.Applications.WebMediaPortal.Models.HomeViewModel' MPExtended.Applications.WebMediaPortal.Models.TVShowViewModel' MPExtended.Applications.WebMediaPortal.Models.TVSeasonViewModel' MPExtended.Libraries.Service.Extensions.NaturalSorting' MPExtended.Libraries.Service.Extensions.QueryableExtensionMethods' MPExtended.Libraries.Service.Extensions.EnumerableExtensionMethods' MPExtended.Services.MediaAccessService.IQueryableExtensionMethods' MPExtended.Services.TVAccessService.IEnumerableExtensionMethods' MPExtended.Tests.Libraries.Service.Extensions.NaturalSorting
MPExtended.Services.Common.Interfaces,WebStringResult,0,5,1,0,5,40,5,0,0,-1,0,1,,MPExtended.Applications.WebMediaPortal.Code.Images
MPExtended.Services.Common.Interfaces,WebBoolResult,0,5,1,0,5,40,5,0,0,-1,0,5,,MPExtended.Services.MediaAccessService.MediaAccessService' MPExtended.Services.ScraperService.ScraperService' MPExtended.Services.TVAccessService.TVAccessService' MPExtended.Services.UserSessionService.UserSessionProxyService' MPExtended.Services.UserSessionService.UserSessionService
