Method,LOC,CC,PC
AudioBeamObservableExtensions:SelectAudioBeamFrames,16,2,1
BodyIndexObservableExtensions:SelectBodyIndexData,12,2,2
BodyObservableExtensions:SelectBodies,13,2,2
BodyObservableExtensions:SelectTracked,5,2,1
BodyObservableExtensions:SelectTracked,5,2,2
BodyObservableExtensions:SelectJointOf,16,3,4
BodyObservableExtensions:SelectJoints,6,2,2
ColorObservableExtensions:SelectColorData,19,2,3
DepthObservableExtensions:SelectDepthData,12,2,2
InfraredObservableExtensions:SelectInfraredData,12,2,2
KinectSensorExtensions:AvailabilityObservable,5,2,1
KinectSensorExtensions:AudioBeamFrameArrivedObservable,12,2,1
KinectSensorExtensions:AudioBeamFrameArrivedObservable,4,2,2
KinectSensorExtensions:BodyFrameArrivedObservable,12,2,1
KinectSensorExtensions:BodyFrameArrivedObservable,4,2,2
KinectSensorExtensions:BodyIndexFrameArrivedObservable,12,2,1
KinectSensorExtensions:BodyIndexFrameArrivedObservable,4,2,2
KinectSensorExtensions:ColorFrameArrivedObservable,12,2,1
KinectSensorExtensions:ColorFrameArrivedObservable,4,2,2
KinectSensorExtensions:DepthFrameArrivedObservable,12,2,1
KinectSensorExtensions:DepthFrameArrivedObservable,4,2,2
KinectSensorExtensions:InfraredFrameArrivedObservable,12,2,1
KinectSensorExtensions:InfraredFrameArrivedObservable,4,2,2
KinectSensorExtensions:LongExposureInfraredFrameArrivedObservable,12,2,1
KinectSensorExtensions:LongExposureInfraredFrameArrivedObservable,4,2,2
KinectSensorExtensions:MultiSourceFrameArrivedObservable,13,3,2
KinectSensorExtensions:MultiSourceFrameArrivedObservable,4,2,2
KinectSensorExtensions:SceneChanges,30,1,1
KinectSensorExtensions:FrameArrivedEventArgsFromEventPattern,4,1,1
SceneChangedEventArgs:SceneChangedEventArgs,3,1,1
PersonEnteredScene:PersonEnteredScene,3,1,1
PersonLeftScene:PersonLeftScene,3,1,1
