Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
ProjectTracker.Library.Admin,RoleEdit,3,6,3,3,1,111,6,0,0,1,0,4,,ProjectTracker.Library.Admin.RoleEdit' Admin.RoleEditBindingList' Admin.RoleEditList' ProjectTracker.Library.Admin.RoleEditManager
ProjectTracker.Library.Admin,NoDuplicates,0,1,0,0,0,15,4,0,0,-1,0,1,,ProjectTracker.Library.Admin.RoleEdit
ProjectTracker.Library.Admin,RoleEditManager,2,7,2,2,2,67,9,0,0,0.71,0,1,,ProjectTracker.Library.Admin.RoleEditManager
Admin,RoleEditBindingList,0,11,0,0,6,103,17,0,0,-1,0,1,,Admin.RoleEditBindingList
Admin,RoleEditList,0,12,0,0,6,106,18,0,0,-1,0,3,,ProjectTracker.Library.Admin.RoleEditManager' ProjectTracker.Library.Admin.RoleEdit' Admin.RoleEditList
ProjectTracker.Library,Dashboard,3,3,3,3,2,42,3,0,0,1,0,1,,ProjectTracker.Library.Dashboard
ProjectTracker.Library,ProjectCloser,2,3,2,2,1,43,4,0,0,1,0,1,,ProjectTracker.Library.ProjectCloser
ProjectTracker.Library,ProjectEdit,8,16,8,8,8,244,17,0,0,0.81,0,4,,ProjectTracker.Library.ProjectInfo' ProjectTracker.Library.ProjectResourceEdit' ProjectTracker.Library.ProjectGetter' ProjectTracker.Library.ProjectEdit
ProjectTracker.Library,NoDuplicateResource,0,1,0,0,0,16,3,0,0,-1,0,1,,ProjectTracker.Library.ProjectEdit
ProjectTracker.Library,StartDateGTEndDate,0,1,0,0,0,11,2,0,0,-1,0,1,,ProjectTracker.Library.ProjectEdit
ProjectTracker.Library,ProjectExistsCommand,2,3,2,2,2,30,3,0,0,1,0,2,,ProjectTracker.Library.ProjectExistsCommand' ProjectTracker.Library.ProjectEdit
ProjectTracker.Library,ProjectGetter,2,1,2,2,0,65,3,0,0,0,0,1,,ProjectTracker.Library.ProjectGetter
ProjectTracker.Library,Criteria,4,0,4,4,0,31,0,0,0,-1,0,2,,ProjectTracker.Library.ProjectGetter' ProjectTracker.Library.ResourceGetter
ProjectTracker.Library,ProjectInfo,2,3,2,2,2,33,3,0,0,1,0,2,,ProjectTracker.Library.ProjectInfo' ProjectTracker.Library.ProjectList
ProjectTracker.Library,ProjectList,0,6,0,0,4,67,9,0,0,-1,0,1,,ProjectTracker.Library.ProjectList
ProjectTracker.Library,ProjectResourceEdit,6,10,8,6,1,190,10,0,0,0.7,0,4,,ProjectTracker.Library.ProjectResourceEdit' ProjectTracker.Library.ProjectResources' ProjectTracker.Library.ProjectResourceUpdater' ProjectTracker.Library.ProjectResourceEditCreator
ProjectTracker.Library,NotifyRoleNameChanged,0,2,0,0,1,10,2,0,0,-1,0,1,,ProjectTracker.Library.ProjectResourceEdit
ProjectTracker.Library,ProjectResourceEditCreator,1,6,1,1,4,64,6,0,0,1,0,2,,ProjectTracker.Library.ProjectResources' ProjectTracker.Library.ProjectResourceEditCreator
ProjectTracker.Library,ProjectResourceCriteria,2,0,2,2,0,16,0,0,0,-1,0,1,,ProjectTracker.Library.ProjectResourceEditCreator
ProjectTracker.Library,ProjectResources,0,5,0,0,4,45,7,0,0,-1,0,2,,ProjectTracker.Library.ProjectResources' ProjectTracker.Library.ProjectEdit
ProjectTracker.Library,ProjectResourceUpdater,2,3,2,2,1,37,3,0,0,1,0,1,,ProjectTracker.Library.ProjectResourceUpdater
