Namespace,Type,Method,LOC,CC,PC
RazorPagesExample.Pages,ErrorModel,ErrorModel,3,1,1
RazorPagesExample.Pages,ErrorModel,OnGet,3,1,0
RazorPagesExample.Pages,IndexModel,IndexModel,3,1,1
RazorPagesExample.Pages,IndexModel,OnGet,2,1,0
RazorPagesExample.Pages,ListPeopleModel,OnGet,3,1,0
RazorPagesExample.Pages,PrivacyModel,PrivacyModel,3,1,1
RazorPagesExample.Pages,PrivacyModel,OnGet,2,1,0
RazorPagesExample.Pages.People,DeleteModel,OnGet,3,1,1
RazorPagesExample.Pages.People,DeleteModel,OnPost,4,1,0
RazorPagesExample.Pages.People,EditModel,OnGet,6,2,1
RazorPagesExample.Pages.People,EditModel,OnPost,3,1,0
RazorPagesExample,Program,Main,3,1,1
RazorPagesExample,Program,CreateHostBuilder,0,1,1
RazorPagesExample,Startup,Startup,3,1,1
RazorPagesExample,Startup,ConfigureServices,6,1,1
RazorPagesExample,Startup,Configure,22,2,2
