Implementation smell,Namespace,Class,File,Method,Description
Long Method,Typography.TextLayout,PixelScaleLayoutExtensions,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\Typography.GlyphLayout\PixelScaleLayoutExtensions.cs,MeasureGlyphPlanWithLimitWidth,The method has 129 lines of code.
Long Method,Typography.OpenFont,CharMapFormat14,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\Typography.OpenFont\CharacterMap.cs,Create,The method has 122 lines of code.
Long Method,Typography.OpenFont,IGlyphReaderExtensions,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\Typography.OpenFont\IGlyphTranslator.cs,Read,The method has 286 lines of code.
Long Method,Typography.OpenFont,OpenFontReader,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\Typography.OpenFont\OpenFontReader.cs,ReadTableEntryCollection,The method has 134 lines of code.
Long Method,Typography.OpenFont,SharpFontInterpreter,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\Typography.OpenFont\TrueTypeInterperter\Interpreter.cs,Execute,The method has 955 lines of code.
Long Method,Typography.OpenFont.Tables,LookupTable,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\Typography.OpenFont\Tables.AdvancedLayout\GPOS.cs,ReadLookupType2,The method has 146 lines of code.
Long Method,Typography.OpenFont.Tables,LookupTable,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\Typography.OpenFont\Tables.AdvancedLayout\GPOS.cs,ReadLookupType6,The method has 105 lines of code.
Long Method,Typography.OpenFont.Tables,EBLCTable,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\Typography.OpenFont\Tables.Others\EBLCTable.cs,ReadContentFrom,The method has 109 lines of code.
Long Method,Typography.OpenFont.Tables,Glyf,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\Typography.OpenFont\Tables.TrueType\Glyf.cs,ReadCompositeGlyph,The method has 232 lines of code.
Long Method,Typography.OpenFont.CFF,CffEvaluationEngine,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\Typography.OpenFont\Tables.CFF\CffEvaluationEngine.cs,Run,The method has 114 lines of code.
Long Method,Typography.OpenFont.CFF,Type2EvaluationStack,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\Typography.OpenFont\Tables.CFF\CffEvaluationEngine.cs,HV_CurveTo,The method has 136 lines of code.
Long Method,Typography.OpenFont.CFF,Type2EvaluationStack,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\Typography.OpenFont\Tables.CFF\CffEvaluationEngine.cs,VH_CurveTo,The method has 127 lines of code.
Long Method,Typography.OpenFont.CFF,Type2CharStringParser,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\Typography.OpenFont\Tables.CFF\Type2CharStringParser.cs,ParseType2CharStringBuffer,The method has 186 lines of code.
