Design smell,Namespace,Class,File,Cause
Unutilized Abstraction,DiscogsNet.Api,Discogs,C:\repos\MediaPortal_MPTagThat\Libraries\DiscogsNet\Api\Discogs.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,DiscogsNet.Api,Discogs2,C:\repos\MediaPortal_MPTagThat\Libraries\DiscogsNet\Api\Discogs2.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,DiscogsNet.Api,DiscogsApiException,C:\repos\MediaPortal_MPTagThat\Libraries\DiscogsNet\Api\DiscogsApiException.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,DiscogsNet,DiscogsAssert,C:\repos\MediaPortal_MPTagThat\Libraries\DiscogsNet\DiscogsAssert.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,DiscogsNet,DiscogsUriParser,C:\repos\MediaPortal_MPTagThat\Libraries\DiscogsNet\DiscogsUriParser.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,DiscogsNet,ExtensionMethods,C:\repos\MediaPortal_MPTagThat\Libraries\DiscogsNet\ExtensionMethods.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,DiscogsNet,IDiscogsApi,C:\repos\MediaPortal_MPTagThat\Libraries\DiscogsNet\IDiscogsApi.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,DiscogsNet,TimeSpanParser,C:\repos\MediaPortal_MPTagThat\Libraries\DiscogsNet\TimeSpanParser.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,DiscogsNet,XmlReaderExtensionMethods,C:\repos\MediaPortal_MPTagThat\Libraries\DiscogsNet\XmlReaderExtensionMethods.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,DiscogsNet.Model,ArtistReleases,C:\repos\MediaPortal_MPTagThat\Libraries\DiscogsNet\Model\ArtistReleases.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Pagination' Releases
Unnecessary Abstraction,DiscogsNet.Model,Companies,C:\repos\MediaPortal_MPTagThat\Libraries\DiscogsNet\Model\Companies.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Id' Name' CategoryNo' EntityType' EntityTypeName
Unnecessary Abstraction,DiscogsNet.Model,Identity,C:\repos\MediaPortal_MPTagThat\Libraries\DiscogsNet\Model\Identity.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Id' username' resource_url' consumer_name
Unnecessary Abstraction,DiscogsNet.Model,Members,C:\repos\MediaPortal_MPTagThat\Libraries\DiscogsNet\Model\Members.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Active' ResourceURL' Id' Name
Unnecessary Abstraction,DiscogsNet.Model,PaginationInfo,C:\repos\MediaPortal_MPTagThat\Libraries\DiscogsNet\Model\PaginationInfo.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: PerPage' Pages' Page' Items
Unnecessary Abstraction,DiscogsNet.Model,ArtistAlias,C:\repos\MediaPortal_MPTagThat\Libraries\DiscogsNet\Model\ArtistAlias.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Id' Name
Duplicate Abstraction,DiscogsNet.Model,DataReader2,C:\repos\MediaPortal_MPTagThat\Libraries\DiscogsNet\Model\DataReader2.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  DataReader2 (C:\repos\MediaPortal_MPTagThat\Libraries\DiscogsNet\Model\DataReader2.cs' [536' 569])' DataReader2 (C:\repos\MediaPortal_MPTagThat\Libraries\DiscogsNet\Model\DataReader2.cs' [685' 718])
