Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
Hqub.MusicBrainz.API,Configuration,0,1,3,0,0,23,1,0,0,-1,0,1,,Hqub.MusicBrainz.API.WebRequestHelper
Hqub.MusicBrainz.API,QueryParameters<T>,1,5,0,0,3,110,16,0,0,0.6,7,0,Hqub.MusicBrainz.API.Resources.Messages' Hqub.MusicBrainz.API.QueryNode' Hqub.MusicBrainz.API.Resources.Constants' Hqub.MusicBrainz.API.Entities.Artist' Hqub.MusicBrainz.API.Entities.Recording' Hqub.MusicBrainz.API.Entities.Release' Hqub.MusicBrainz.API.Entities.ReleaseGroup,
Hqub.MusicBrainz.API,QueryNode,0,1,3,0,1,12,1,0,0,-1,0,1,,Hqub.MusicBrainz.API.QueryParameters<T>
Hqub.MusicBrainz.API,WebRequestHelper,4,6,0,0,0,84,11,0,0,0.33,2,1,Hqub.MusicBrainz.API.Configuration' Hqub.MusicBrainz.API.Resources.Messages,Hqub.MusicBrainz.API.Entities.Entity
Hqub.MusicBrainz.API.Entities,Artist,1,7,15,1,7,137,7,0,1,0,2,1,Hqub.MusicBrainz.API.Entities.Metadata.ArtistMetadata' Hqub.MusicBrainz.API.Entities.Collections.ArtistList,Hqub.MusicBrainz.API.QueryParameters<T>
Hqub.MusicBrainz.API.Entities,LifeSpanNode,0,0,3,0,0,19,0,0,0,-1,0,0,,
Hqub.MusicBrainz.API.Entities,CoverArtArchive,0,1,4,0,1,29,1,0,0,-1,0,0,,
Hqub.MusicBrainz.API.Entities,Entity,0,4,0,0,0,70,9,5,0,-1,2,0,Hqub.MusicBrainz.API.Resources.Messages' Hqub.MusicBrainz.API.WebRequestHelper,
Hqub.MusicBrainz.API.Entities,Label,0,0,2,0,0,14,0,0,0,-1,0,0,,
Hqub.MusicBrainz.API.Entities,LabelInfo,0,0,2,0,0,14,0,0,0,-1,0,0,,
Hqub.MusicBrainz.API.Entities,Medium,0,0,3,0,0,19,0,0,0,-1,0,0,,
Hqub.MusicBrainz.API.Entities,DiskList,0,0,1,0,0,9,0,0,0,-1,0,0,,
Hqub.MusicBrainz.API.Entities,MetadataWrapper,0,0,0,0,0,3,0,4,1,-1,0,0,,
Hqub.MusicBrainz.API.Entities,NameCredit,0,0,2,0,0,14,0,0,0,-1,0,0,,
Hqub.MusicBrainz.API.Entities,Rating,0,0,2,0,0,14,0,0,0,-1,0,0,,
Hqub.MusicBrainz.API.Entities,Recording,1,7,8,1,7,109,7,0,1,0,2,1,Hqub.MusicBrainz.API.Entities.Metadata.RecordingMetadata' Hqub.MusicBrainz.API.Entities.Collections.RecordingList,Hqub.MusicBrainz.API.QueryParameters<T>
Hqub.MusicBrainz.API.Entities,Release,1,6,14,1,6,135,6,0,1,0,2,2,Hqub.MusicBrainz.API.Entities.Metadata.ReleaseMetadata' Hqub.MusicBrainz.API.Entities.Collections.ReleaseList,Hqub.MusicBrainz.API.QueryParameters<T>' MPTagThat.Core.AlbumInfo.AlbumSites.MusicBrainz
Hqub.MusicBrainz.API.Entities,TextRepresentation,0,0,2,0,0,15,0,0,0,-1,0,0,,
Hqub.MusicBrainz.API.Entities,ReleaseGroup,1,7,10,1,7,125,7,0,1,0,2,1,Hqub.MusicBrainz.API.Entities.Metadata.ReleaseGroupMetadata' Hqub.MusicBrainz.API.Entities.Collections.ReleaseGroupList,Hqub.MusicBrainz.API.QueryParameters<T>
Hqub.MusicBrainz.API.Entities,Tag,0,0,2,0,0,14,0,0,0,-1,0,0,,
Hqub.MusicBrainz.API.Entities,Track,0,0,4,0,0,25,0,0,0,-1,0,0,,
Hqub.MusicBrainz.API.Entities,Work,0,0,3,0,0,19,0,0,0,-1,0,0,,
Hqub.MusicBrainz.API.Entities.Collections,ArtistList,0,0,1,0,0,9,0,0,1,-1,0,1,,Hqub.MusicBrainz.API.Entities.Artist
Hqub.MusicBrainz.API.Entities.Collections,BaseList,0,0,2,0,0,19,0,8,0,-1,0,0,,
Hqub.MusicBrainz.API.Entities.Collections,MediumList,0,0,2,0,0,17,0,0,1,-1,0,0,,
Hqub.MusicBrainz.API.Entities.Collections,RecordingList,0,0,1,0,0,9,0,0,1,-1,0,1,,Hqub.MusicBrainz.API.Entities.Recording
