Implementation smell,Namespace,Class,File,Method,Description
Long Method,MPLanguageTool,frmEditMP,D:\research\architectureSmells\repos\MediaPortal_MediaPortal-1\Tools\MPLanguageTool\frmEditMP.cs,InitializeComponent,The method has 239 lines of code.
Long Method,MPLanguageTool,XmlHandler,D:\research\architectureSmells\repos\MediaPortal_MediaPortal-1\Tools\MPLanguageTool\XmlHandler.cs,Save,The method has 123 lines of code.
Long Method,MPLanguageTool,frmEditDeploy,D:\research\architectureSmells\repos\MediaPortal_MediaPortal-1\Tools\MPLanguageTool\frmEditDeploy.cs,InitializeComponent,The method has 168 lines of code.
Long Method,MPLanguageTool,frmMain,D:\research\architectureSmells\repos\MediaPortal_MediaPortal-1\Tools\MPLanguageTool\frmMain.cs,InitializeComponent,The method has 249 lines of code.
Complex Method,MPLanguageTool,XmlHandler,D:\research\architectureSmells\repos\MediaPortal_MediaPortal-1\Tools\MPLanguageTool\XmlHandler.cs,Load,Cyclomatic complexity of the method is 8
Complex Method,MPLanguageTool,XmlHandler,D:\research\architectureSmells\repos\MediaPortal_MediaPortal-1\Tools\MPLanguageTool\XmlHandler.cs,Load_Translation,Cyclomatic complexity of the method is 10
Complex Method,MPLanguageTool,XmlHandler,D:\research\architectureSmells\repos\MediaPortal_MediaPortal-1\Tools\MPLanguageTool\XmlHandler.cs,Save,Cyclomatic complexity of the method is 13
Complex Method,MPLanguageTool,frmMain,D:\research\architectureSmells\repos\MediaPortal_MediaPortal-1\Tools\MPLanguageTool\frmMain.cs,InvokeXml,Cyclomatic complexity of the method is 8
Long Parameter List,MPLanguageTool,frmEditMP,D:\research\architectureSmells\repos\MediaPortal_MediaPortal-1\Tools\MPLanguageTool\frmEditMP.cs,ShowDialog,The method has 5 parameters. Parameters: id' translation' defaultTranslation' prefix' prefixTranslation
Long Identifier,MPLanguageTool,frmMain,D:\research\architectureSmells\repos\MediaPortal_MediaPortal-1\Tools\MPLanguageTool\frmMain.cs,,The length of the parameter openDeployToolToolStripMenuItem is 31.
Long Identifier,MPLanguageTool,frmMain,D:\research\architectureSmells\repos\MediaPortal_MediaPortal-1\Tools\MPLanguageTool\frmMain.cs,,The length of the parameter openMovingPicturesToolStripMenuItem is 35.
Long Statement,MPLanguageTool,frmEditMP,D:\research\architectureSmells\repos\MediaPortal_MediaPortal-1\Tools\MPLanguageTool\frmEditMP.cs,InitializeComponent,The length of the statement  "        this.label1.Font = new System.Drawing.Font("Microsoft Sans Serif"' 8.25F' System.Drawing.FontStyle.Bold' System.Drawing.GraphicsUnit.Point' ((byte)(0))); " is 153.
Long Statement,MPLanguageTool,frmEditMP,D:\research\architectureSmells\repos\MediaPortal_MediaPortal-1\Tools\MPLanguageTool\frmEditMP.cs,InitializeComponent,The length of the statement  "        this.btnCancel.Anchor = ((System.Windows.Forms.AnchorStyles)((System.Windows.Forms.AnchorStyles.Top | System.Windows.Forms.AnchorStyles.Right))); " is 145.
Long Statement,MPLanguageTool,frmEditDeploy,D:\research\architectureSmells\repos\MediaPortal_MediaPortal-1\Tools\MPLanguageTool\frmEditDeploy.cs,InitializeComponent,The length of the statement  "      this.label1.Font = new System.Drawing.Font("Microsoft Sans Serif"' 8.25F' System.Drawing.FontStyle.Bold' System.Drawing.GraphicsUnit.Point' ((byte)(0))); " is 153.
Long Statement,MPLanguageTool,frmEditDeploy,D:\research\architectureSmells\repos\MediaPortal_MediaPortal-1\Tools\MPLanguageTool\frmEditDeploy.cs,InitializeComponent,The length of the statement  "      this.btnCancel.Anchor = ((System.Windows.Forms.AnchorStyles)((System.Windows.Forms.AnchorStyles.Top | System.Windows.Forms.AnchorStyles.Right))); " is 145.
Long Statement,MPLanguageTool,frmMain,D:\research\architectureSmells\repos\MediaPortal_MediaPortal-1\Tools\MPLanguageTool\frmMain.cs,saveToolStripMenuItem_Click,The length of the statement  "      //MessageBox.Show("Your translations have been saved."' "MPLanguageTool -- Information"' MessageBoxButtons.OK' MessageBoxIcon.Information); " is 139.
Long Statement,MPLanguageTool,frmMain,D:\research\architectureSmells\repos\MediaPortal_MediaPortal-1\Tools\MPLanguageTool\frmMain.cs,InitializeComponent,The length of the statement  "      this.openMovingPicturesToolStripMenuItem.Click += new System.EventHandler(this.openMovingPicturesToolStripMenuItem_Click); " is 122.
Long Statement,MPLanguageTool,frmMain,D:\research\architectureSmells\repos\MediaPortal_MediaPortal-1\Tools\MPLanguageTool\frmMain.cs,InitializeComponent,The length of the statement  "      dataGridViewCellStyle1.Font = new System.Drawing.Font("Microsoft Sans Serif"' 8.25F' System.Drawing.FontStyle.Regular' System.Drawing.GraphicsUnit.Point' ((byte)(0))); " is 167.
