Architecture smell,Project,Namespace,Cause,Responsible Classes,Participating Classes
Cyclic Dependency,Merchello.Web,Merchello.Web,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Merchello.Web' Merchello.Web.Search,Merchello.Web.MerchelloHelperExtensions' Merchello.Web.ProductCollectionExtensions' Merchello.Web.AutoMapperMappings' Merchello.Web.CheckoutExtensions' Merchello.Web.PluginManagerExtensions' Merchello.Web.MerchelloHelper' Merchello.Web.CustomerContext' Merchello.Web.UmbracoApplicationEventHandler' Merchello.Web.WebBootManager' Merchello.Web.Search.IProductContentQuery' Merchello.Web.Search.ProductFilterGroupNode' Merchello.Web.Search.CmsContentQueryBuilderBase<TCollectionProxy'TFilterProxy'TResult>' Merchello.Web.Search.ProductFilterGroupQuery' Merchello.Web.Search.CachedQueryableCollectionQueryBase<TEntity'TDisplay>' Merchello.Web.Search.CachedCustomerQuery' Merchello.Web.Search.CachedProductQuery,Merchello.Web.MerchelloHelperExtensions' Merchello.Web.ProductCollectionExtensions' Merchello.Web.AutoMapperMappings' Merchello.Web.CheckoutExtensions' Merchello.Web.PluginManagerExtensions' Merchello.Web.MerchelloHelper' Merchello.Web.CustomerContext' Merchello.Web.UmbracoApplicationEventHandler' Merchello.Web.WebBootManager' Merchello.Web.Search.IProductContentQuery' Merchello.Web.Search.ProductFilterGroupNode' Merchello.Web.Search.CmsContentQueryBuilderBase<TCollectionProxy'TFilterProxy'TResult>' Merchello.Web.Search.ProductFilterGroupQuery' Merchello.Web.Search.CachedQueryableCollectionQueryBase<TEntity'TDisplay>' Merchello.Web.Search.CachedCustomerQuery' Merchello.Web.Search.CachedProductQuery
Cyclic Dependency,Merchello.Web,Merchello.Web,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Merchello.Web' Merchello.Web.Models.VirtualContent' Merchello.Web.Search,Merchello.Web.MerchelloHelperExtensions' Merchello.Web.ProductCollectionExtensions' Merchello.Web.AutoMapperMappings' Merchello.Web.CheckoutExtensions' Merchello.Web.PluginManagerExtensions' Merchello.Web.MerchelloHelper' Merchello.Web.CustomerContext' Merchello.Web.UmbracoApplicationEventHandler' Merchello.Web.WebBootManager' Merchello.Web.Models.VirtualContent.ProductAttributeContent' Merchello.Web.Models.VirtualContent.DetachedPublishedProperty' Merchello.Web.Models.VirtualContent.ProductContentBase' Merchello.Web.Models.VirtualContent.ProductContentExtensions' Merchello.Web.Search.IProductContentQuery' Merchello.Web.Search.ProductFilterGroupNode' Merchello.Web.Search.CmsContentQueryBuilderBase<TCollectionProxy'TFilterProxy'TResult>' Merchello.Web.Search.ProductFilterGroupQuery' Merchello.Web.Search.CachedQueryableCollectionQueryBase<TEntity'TDisplay>' Merchello.Web.Search.CachedCustomerQuery' Merchello.Web.Search.CachedProductQuery,Merchello.Web.MerchelloHelperExtensions' Merchello.Web.ProductCollectionExtensions' Merchello.Web.AutoMapperMappings' Merchello.Web.CheckoutExtensions' Merchello.Web.PluginManagerExtensions' Merchello.Web.MerchelloHelper' Merchello.Web.CustomerContext' Merchello.Web.UmbracoApplicationEventHandler' Merchello.Web.WebBootManager' Merchello.Web.Models.VirtualContent.ProductAttributeContent' Merchello.Web.Models.VirtualContent.DetachedPublishedProperty' Merchello.Web.Models.VirtualContent.ProductContentBase' Merchello.Web.Models.VirtualContent.ProductContentExtensions' Merchello.Web.Search.IProductContentQuery' Merchello.Web.Search.ProductFilterGroupNode' Merchello.Web.Search.CmsContentQueryBuilderBase<TCollectionProxy'TFilterProxy'TResult>' Merchello.Web.Search.ProductFilterGroupQuery' Merchello.Web.Search.CachedQueryableCollectionQueryBase<TEntity'TDisplay>' Merchello.Web.Search.CachedCustomerQuery' Merchello.Web.Search.CachedProductQuery
Cyclic Dependency,Merchello.Web,Merchello.Web,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Merchello.Web' Merchello.Web.Models.VirtualContent' Merchello.Web.Caching' Merchello.Web.Search,Merchello.Web.MerchelloHelperExtensions' Merchello.Web.ProductCollectionExtensions' Merchello.Web.AutoMapperMappings' Merchello.Web.CheckoutExtensions' Merchello.Web.PluginManagerExtensions' Merchello.Web.MerchelloHelper' Merchello.Web.CustomerContext' Merchello.Web.UmbracoApplicationEventHandler' Merchello.Web.WebBootManager' Merchello.Web.Models.VirtualContent.ProductAttributeContent' Merchello.Web.Models.VirtualContent.DetachedPublishedProperty' Merchello.Web.Models.VirtualContent.ProductContentBase' Merchello.Web.Models.VirtualContent.ProductContentExtensions' Merchello.Web.Caching.IVirtualProductContentCache' Merchello.Web.Search.IProductContentQuery' Merchello.Web.Search.ProductFilterGroupNode' Merchello.Web.Search.CmsContentQueryBuilderBase<TCollectionProxy'TFilterProxy'TResult>' Merchello.Web.Search.ProductFilterGroupQuery' Merchello.Web.Search.CachedQueryableCollectionQueryBase<TEntity'TDisplay>' Merchello.Web.Search.CachedCustomerQuery' Merchello.Web.Search.CachedProductQuery,Merchello.Web.MerchelloHelperExtensions' Merchello.Web.ProductCollectionExtensions' Merchello.Web.AutoMapperMappings' Merchello.Web.CheckoutExtensions' Merchello.Web.PluginManagerExtensions' Merchello.Web.MerchelloHelper' Merchello.Web.CustomerContext' Merchello.Web.UmbracoApplicationEventHandler' Merchello.Web.WebBootManager' Merchello.Web.Models.VirtualContent.ProductAttributeContent' Merchello.Web.Models.VirtualContent.DetachedPublishedProperty' Merchello.Web.Models.VirtualContent.ProductContentBase' Merchello.Web.Models.VirtualContent.ProductContentExtensions' Merchello.Web.Caching.IVirtualProductContentCache' Merchello.Web.Search.IProductContentQuery' Merchello.Web.Search.ProductFilterGroupNode' Merchello.Web.Search.CmsContentQueryBuilderBase<TCollectionProxy'TFilterProxy'TResult>' Merchello.Web.Search.ProductFilterGroupQuery' Merchello.Web.Search.CachedQueryableCollectionQueryBase<TEntity'TDisplay>' Merchello.Web.Search.CachedCustomerQuery' Merchello.Web.Search.CachedProductQuery
Cyclic Dependency,Merchello.Web,Merchello.Web,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Merchello.Web' Merchello.Web.Models.VirtualContent' Merchello.Web.Models.ContentEditing' Merchello.Web.Models.VirtualContent' Merchello.Web.Search,Merchello.Web.MerchelloHelperExtensions' Merchello.Web.ProductCollectionExtensions' Merchello.Web.AutoMapperMappings' Merchello.Web.CheckoutExtensions' Merchello.Web.PluginManagerExtensions' Merchello.Web.MerchelloHelper' Merchello.Web.CustomerContext' Merchello.Web.UmbracoApplicationEventHandler' Merchello.Web.WebBootManager' Merchello.Web.Models.VirtualContent.ProductAttributeContent' Merchello.Web.Models.VirtualContent.DetachedPublishedProperty' Merchello.Web.Models.VirtualContent.ProductContentBase' Merchello.Web.Models.VirtualContent.ProductContentExtensions' Merchello.Web.Models.ContentEditing.LineItemDisplayCollectionExtensions' Merchello.Web.Models.ContentEditing.FullfillmentMappingExtensions' Merchello.Web.Models.ContentEditing.ProductDisplayExtensions' Merchello.Web.Search.IProductContentQuery' Merchello.Web.Search.ProductFilterGroupNode' Merchello.Web.Search.CmsContentQueryBuilderBase<TCollectionProxy'TFilterProxy'TResult>' Merchello.Web.Search.ProductFilterGroupQuery' Merchello.Web.Search.CachedQueryableCollectionQueryBase<TEntity'TDisplay>' Merchello.Web.Search.CachedCustomerQuery' Merchello.Web.Search.CachedProductQuery,Merchello.Web.MerchelloHelperExtensions' Merchello.Web.ProductCollectionExtensions' Merchello.Web.AutoMapperMappings' Merchello.Web.CheckoutExtensions' Merchello.Web.PluginManagerExtensions' Merchello.Web.MerchelloHelper' Merchello.Web.CustomerContext' Merchello.Web.UmbracoApplicationEventHandler' Merchello.Web.WebBootManager' Merchello.Web.Models.VirtualContent.ProductAttributeContent' Merchello.Web.Models.VirtualContent.DetachedPublishedProperty' Merchello.Web.Models.VirtualContent.ProductContentBase' Merchello.Web.Models.VirtualContent.ProductContentExtensions' Merchello.Web.Models.ContentEditing.LineItemDisplayCollectionExtensions' Merchello.Web.Models.ContentEditing.FullfillmentMappingExtensions' Merchello.Web.Models.ContentEditing.ProductDisplayExtensions' Merchello.Web.Search.IProductContentQuery' Merchello.Web.Search.ProductFilterGroupNode' Merchello.Web.Search.CmsContentQueryBuilderBase<TCollectionProxy'TFilterProxy'TResult>' Merchello.Web.Search.ProductFilterGroupQuery' Merchello.Web.Search.CachedQueryableCollectionQueryBase<TEntity'TDisplay>' Merchello.Web.Search.CachedCustomerQuery' Merchello.Web.Search.CachedProductQuery
Cyclic Dependency,Merchello.Web,Merchello.Web.Caching,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Merchello.Web.Caching' Merchello.Web.Search' Merchello.Web.Models.MapperResolvers' Merchello.Web' Merchello.Web.Models.VirtualContent,Merchello.Web.Caching.IVirtualProductContentCache' Merchello.Web.Search.IProductContentQuery' Merchello.Web.Search.ProductFilterGroupNode' Merchello.Web.Search.CmsContentQueryBuilderBase<TCollectionProxy'TFilterProxy'TResult>' Merchello.Web.Search.ProductFilterGroupQuery' Merchello.Web.Search.CachedQueryableCollectionQueryBase<TEntity'TDisplay>' Merchello.Web.Search.CachedCustomerQuery' Merchello.Web.Search.CachedProductQuery' Merchello.Web.Models.MapperResolvers.EntityCollectionProviderDialogEditorViewResolver' Merchello.Web.Models.MapperResolvers.ItemCacheCustomerResolver' Merchello.Web.MerchelloHelperExtensions' Merchello.Web.ProductCollectionExtensions' Merchello.Web.AutoMapperMappings' Merchello.Web.CheckoutExtensions' Merchello.Web.PluginManagerExtensions' Merchello.Web.MerchelloHelper' Merchello.Web.CustomerContext' Merchello.Web.UmbracoApplicationEventHandler' Merchello.Web.WebBootManager' Merchello.Web.Models.VirtualContent.ProductAttributeContent' Merchello.Web.Models.VirtualContent.DetachedPublishedProperty' Merchello.Web.Models.VirtualContent.ProductContentBase' Merchello.Web.Models.VirtualContent.ProductContentExtensions,Merchello.Web.Caching.IVirtualProductContentCache' Merchello.Web.Search.IProductContentQuery' Merchello.Web.Search.ProductFilterGroupNode' Merchello.Web.Search.CmsContentQueryBuilderBase<TCollectionProxy'TFilterProxy'TResult>' Merchello.Web.Search.ProductFilterGroupQuery' Merchello.Web.Search.CachedQueryableCollectionQueryBase<TEntity'TDisplay>' Merchello.Web.Search.CachedCustomerQuery' Merchello.Web.Search.CachedProductQuery' Merchello.Web.Models.MapperResolvers.EntityCollectionProviderDialogEditorViewResolver' Merchello.Web.Models.MapperResolvers.ItemCacheCustomerResolver' Merchello.Web.MerchelloHelperExtensions' Merchello.Web.ProductCollectionExtensions' Merchello.Web.AutoMapperMappings' Merchello.Web.CheckoutExtensions' Merchello.Web.PluginManagerExtensions' Merchello.Web.MerchelloHelper' Merchello.Web.CustomerContext' Merchello.Web.UmbracoApplicationEventHandler' Merchello.Web.WebBootManager' Merchello.Web.Models.VirtualContent.ProductAttributeContent' Merchello.Web.Models.VirtualContent.DetachedPublishedProperty' Merchello.Web.Models.VirtualContent.ProductContentBase' Merchello.Web.Models.VirtualContent.ProductContentExtensions
Cyclic Dependency,Merchello.Web,Merchello.Web.Models.ContentEditing,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Merchello.Web.Models.ContentEditing' Merchello.Web.Visitors,Merchello.Web.Models.ContentEditing.LineItemDisplayCollectionExtensions' Merchello.Web.Models.ContentEditing.FullfillmentMappingExtensions' Merchello.Web.Models.ContentEditing.ProductDisplayExtensions' Merchello.Web.Visitors.ILineItemDisplayVisitor,Merchello.Web.Models.ContentEditing.LineItemDisplayCollectionExtensions' Merchello.Web.Models.ContentEditing.FullfillmentMappingExtensions' Merchello.Web.Models.ContentEditing.ProductDisplayExtensions' Merchello.Web.Visitors.ILineItemDisplayVisitor
Cyclic Dependency,Merchello.Web,Merchello.Web.Models.ContentEditing,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Merchello.Web.Models.ContentEditing' Merchello.Web.Models.VirtualContent' Merchello.Web.Models.ContentEditing.Content,Merchello.Web.Models.ContentEditing.LineItemDisplayCollectionExtensions' Merchello.Web.Models.ContentEditing.FullfillmentMappingExtensions' Merchello.Web.Models.ContentEditing.ProductDisplayExtensions' Merchello.Web.Models.VirtualContent.ProductAttributeContent' Merchello.Web.Models.VirtualContent.DetachedPublishedProperty' Merchello.Web.Models.VirtualContent.ProductContentBase' Merchello.Web.Models.VirtualContent.ProductContentExtensions' Merchello.Web.Models.ContentEditing.Content.ProductAttributeContentSave' Merchello.Web.Models.ContentEditing.Content.ProductAttributeContentSaveBinder' Merchello.Web.Models.ContentEditing.Content.DetachedContentDisplayExtensions,Merchello.Web.Models.ContentEditing.LineItemDisplayCollectionExtensions' Merchello.Web.Models.ContentEditing.FullfillmentMappingExtensions' Merchello.Web.Models.ContentEditing.ProductDisplayExtensions' Merchello.Web.Models.VirtualContent.ProductAttributeContent' Merchello.Web.Models.VirtualContent.DetachedPublishedProperty' Merchello.Web.Models.VirtualContent.ProductContentBase' Merchello.Web.Models.VirtualContent.ProductContentExtensions' Merchello.Web.Models.ContentEditing.Content.ProductAttributeContentSave' Merchello.Web.Models.ContentEditing.Content.ProductAttributeContentSaveBinder' Merchello.Web.Models.ContentEditing.Content.DetachedContentDisplayExtensions
Cyclic Dependency,Merchello.Web,Merchello.Web.Models.ContentEditing,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Merchello.Web.Models.ContentEditing' Merchello.Web.Models.ContentEditing.Content' Merchello.Web.WebApi.Binders' Merchello.Web.Models.ContentEditing.Content,Merchello.Web.Models.ContentEditing.LineItemDisplayCollectionExtensions' Merchello.Web.Models.ContentEditing.FullfillmentMappingExtensions' Merchello.Web.Models.ContentEditing.ProductDisplayExtensions' Merchello.Web.Models.ContentEditing.Content.ProductAttributeContentSave' Merchello.Web.Models.ContentEditing.Content.ProductAttributeContentSaveBinder' Merchello.Web.Models.ContentEditing.Content.DetachedContentDisplayExtensions' Merchello.Web.WebApi.Binders.ProductContentSaveBinder,Merchello.Web.Models.ContentEditing.LineItemDisplayCollectionExtensions' Merchello.Web.Models.ContentEditing.FullfillmentMappingExtensions' Merchello.Web.Models.ContentEditing.ProductDisplayExtensions' Merchello.Web.Models.ContentEditing.Content.ProductAttributeContentSave' Merchello.Web.Models.ContentEditing.Content.ProductAttributeContentSaveBinder' Merchello.Web.Models.ContentEditing.Content.DetachedContentDisplayExtensions' Merchello.Web.WebApi.Binders.ProductContentSaveBinder
Cyclic Dependency,Merchello.Web,Merchello.Web.Models.ContentEditing,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Merchello.Web.Models.ContentEditing' Merchello.Web.Models.VirtualContent' Merchello.Web.Models.ContentEditing.Content' Merchello.Web.WebApi.Binders' Merchello.Web.Models.ContentEditing.Content,Merchello.Web.Models.ContentEditing.LineItemDisplayCollectionExtensions' Merchello.Web.Models.ContentEditing.FullfillmentMappingExtensions' Merchello.Web.Models.ContentEditing.ProductDisplayExtensions' Merchello.Web.Models.VirtualContent.ProductAttributeContent' Merchello.Web.Models.VirtualContent.DetachedPublishedProperty' Merchello.Web.Models.VirtualContent.ProductContentBase' Merchello.Web.Models.VirtualContent.ProductContentExtensions' Merchello.Web.Models.ContentEditing.Content.ProductAttributeContentSave' Merchello.Web.Models.ContentEditing.Content.ProductAttributeContentSaveBinder' Merchello.Web.Models.ContentEditing.Content.DetachedContentDisplayExtensions' Merchello.Web.WebApi.Binders.ProductContentSaveBinder,Merchello.Web.Models.ContentEditing.LineItemDisplayCollectionExtensions' Merchello.Web.Models.ContentEditing.FullfillmentMappingExtensions' Merchello.Web.Models.ContentEditing.ProductDisplayExtensions' Merchello.Web.Models.VirtualContent.ProductAttributeContent' Merchello.Web.Models.VirtualContent.DetachedPublishedProperty' Merchello.Web.Models.VirtualContent.ProductContentBase' Merchello.Web.Models.VirtualContent.ProductContentExtensions' Merchello.Web.Models.ContentEditing.Content.ProductAttributeContentSave' Merchello.Web.Models.ContentEditing.Content.ProductAttributeContentSaveBinder' Merchello.Web.Models.ContentEditing.Content.DetachedContentDisplayExtensions' Merchello.Web.WebApi.Binders.ProductContentSaveBinder
Cyclic Dependency,Merchello.Web,Merchello.Web.Models,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Merchello.Web.Models' Merchello.Web.Models.Ui.Rendering,Merchello.Web.Models.ProductCollection' Merchello.Web.Models.Ui.Rendering.CustomerSalesHistory' Merchello.Web.Models.Ui.Rendering.ProductContentListView' Merchello.Web.Models.Ui.Rendering.EntityCollectionProxyBase,Merchello.Web.Models.ProductCollection' Merchello.Web.Models.Ui.Rendering.CustomerSalesHistory' Merchello.Web.Models.Ui.Rendering.ProductContentListView' Merchello.Web.Models.Ui.Rendering.EntityCollectionProxyBase
