Implementation smell,Namespace,Class,File,Method,Description
Magic Number,Spelling.Core,Extensions,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Helpers\Extensions.cs,ToUIColor,The following statement contains a magic number: hexString.Length != 6
Magic Number,Spelling.Core,Extensions,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Helpers\Extensions.cs,ToUIColor,The following statement contains a magic number: int red = Int32.Parse(hexString.Substring(0'2)' System.Globalization.NumberStyles.AllowHexSpecifier);
Magic Number,Spelling.Core,Extensions,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Helpers\Extensions.cs,ToUIColor,The following statement contains a magic number: int green = Int32.Parse(hexString.Substring(2'2)' System.Globalization.NumberStyles.AllowHexSpecifier);
Magic Number,Spelling.Core,Extensions,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Helpers\Extensions.cs,ToUIColor,The following statement contains a magic number: int green = Int32.Parse(hexString.Substring(2'2)' System.Globalization.NumberStyles.AllowHexSpecifier);
Magic Number,Spelling.Core,Extensions,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Helpers\Extensions.cs,ToUIColor,The following statement contains a magic number: int blue = Int32.Parse(hexString.Substring(4'2)' System.Globalization.NumberStyles.AllowHexSpecifier);
Magic Number,Spelling.Core,Extensions,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Helpers\Extensions.cs,ToUIColor,The following statement contains a magic number: int blue = Int32.Parse(hexString.Substring(4'2)' System.Globalization.NumberStyles.AllowHexSpecifier);
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: i < 12
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _label = new UILabel(new CGRect(25' 10' rect.Width - 50' 40));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _label = new UILabel(new CGRect(25' 10' rect.Width - 50' 40));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _label = new UILabel(new CGRect(25' 10' rect.Width - 50' 40));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _label = new UILabel(new CGRect(25' 10' rect.Width - 50' 40));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _label.Font = UIFont.FromName("Raleway-Regular"' 32);
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _btnRemoveLastChar.Frame = new CGRect(rect.Width - 50' 10' 40' 40);
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _btnRemoveLastChar.Frame = new CGRect(rect.Width - 50' 10' 40' 40);
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _btnRemoveLastChar.Frame = new CGRect(rect.Width - 50' 10' 40' 40);
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _btnRemoveLastChar.Frame = new CGRect(rect.Width - 50' 10' 40' 40);
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(12' 100' 45' 45));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(12' 100' 45' 45));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(12' 100' 45' 45));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(12' 100' 45' 45));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(62' 100' 45' 45));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(62' 100' 45' 45));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(62' 100' 45' 45));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(62' 100' 45' 45));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(112' 100' 45' 45));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(112' 100' 45' 45));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(112' 100' 45' 45));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(112' 100' 45' 45));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(162' 100' 45' 45));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(162' 100' 45' 45));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(162' 100' 45' 45));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(162' 100' 45' 45));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(212' 100' 45' 45));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(212' 100' 45' 45));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(212' 100' 45' 45));
